"effect.size" "hit.rate"
"1" 0 0.0514
"2" 0.001 0.0524
"3" 0.002 0.054
"4" 0.003 0.0498
"5" 0.004 0.0482
"6" 0.005 0.0486
"7" 0.006 0.059
"8" 0.007 0.0554
"9" 0.008 0.0582
"10" 0.009 0.0586
"11" 0.01 0.0582
"12" 0.011 0.0564
"13" 0.012 0.0592
"14" 0.013 0.056
"15" 0.014 0.0594
"16" 0.015 0.061
"17" 0.016 0.0608
"18" 0.017 0.0638
"19" 0.018 0.0616
"20" 0.019 0.0598
"21" 0.02 0.063
"22" 0.021 0.0618
"23" 0.022 0.0652
"24" 0.023 0.0698
"25" 0.024 0.0644
"26" 0.025 0.0716
"27" 0.026 0.0732
"28" 0.027 0.0684
"29" 0.028 0.0714
"30" 0.029 0.0736
"31" 0.03 0.0718
"32" 0.031 0.0738
"33" 0.032 0.08
"34" 0.033 0.0746
"35" 0.034 0.0816
"36" 0.035 0.0844
"37" 0.036 0.0784
"38" 0.037 0.0796
"39" 0.038 0.0812
"40" 0.039 0.0842
"41" 0.04 0.0854
"42" 0.041 0.0798
"43" 0.042 0.0858
"44" 0.043 0.085
"45" 0.044 0.0846
"46" 0.045 0.0876
"47" 0.046 0.085
"48" 0.047 0.0954
"49" 0.048 0.0916
"50" 0.049 0.0952
"51" 0.05 0.0976
"52" 0.051 0.091
"53" 0.052 0.0966
"54" 0.053 0.0986
"55" 0.054 0.105
"56" 0.055 0.0926
"57" 0.056 0.093
"58" 0.057 0.1006
"59" 0.058 0.109
"60" 0.059 0.1012
"61" 0.06 0.1038
"62" 0.061 0.1108
"63" 0.062 0.112
"64" 0.063 0.1136
"65" 0.064 0.1088
"66" 0.065 0.106
"67" 0.066 0.1172
"68" 0.067 0.118
"69" 0.068 0.1154
"70" 0.069 0.1134
"71" 0.07 0.1192
"72" 0.071 0.1248
"73" 0.072 0.118
"74" 0.073 0.1246
"75" 0.074 0.1348
"76" 0.075 0.1244
"77" 0.076 0.1304
"78" 0.077 0.122
"79" 0.078 0.1346
"80" 0.079 0.1272
"81" 0.08 0.1384
"82" 0.081 0.1358
"83" 0.082 0.1402
"84" 0.083 0.1318
"85" 0.084 0.1356
"86" 0.085 0.1446
"87" 0.086 0.1402
"88" 0.087 0.147
"89" 0.088 0.1476
"90" 0.089 0.149
"91" 0.09 0.1528
"92" 0.091 0.1516
"93" 0.092 0.143
"94" 0.093 0.1522
"95" 0.094 0.153
"96" 0.095 0.1604
"97" 0.096 0.1584
"98" 0.097 0.1612
"99" 0.098 0.1626
"100" 0.099 0.1496
"101" 0.1 0.1784
"102" 0.101 0.1716
"103" 0.102 0.1754
"104" 0.103 0.1716
"105" 0.104 0.17
"106" 0.105 0.169
"107" 0.106 0.1758
"108" 0.107 0.1722
"109" 0.108 0.174
"110" 0.109 0.1868
"111" 0.11 0.183
"112" 0.111 0.1772
"113" 0.112 0.1864
