"effect.size","hit.rate"
0,0.0514
0.001,0.0524
0.002,0.054
0.003,0.0498
0.004,0.0482
0.005,0.0486
0.006,0.059
0.007,0.0554
0.008,0.0582
0.009,0.0586
0.01,0.0582
0.011,0.0564
0.012,0.0592
0.013,0.056
0.014,0.0594
0.015,0.061
0.016,0.0608
0.017,0.0638
0.018,0.0616
0.019,0.0598
0.02,0.063
0.021,0.0618
0.022,0.0652
0.023,0.0698
0.024,0.0644
0.025,0.0716
0.026,0.0732
0.027,0.0684
0.028,0.0714
0.029,0.0736
0.03,0.0718
0.031,0.0738
0.032,0.08
0.033,0.0746
0.034,0.0816
0.035,0.0844
0.036,0.0784
0.037,0.0796
0.038,0.0812
0.039,0.0842
0.04,0.0854
0.041,0.0798
0.042,0.0858
0.043,0.085
0.044,0.0846
0.045,0.0876
0.046,0.085
0.047,0.0954
0.048,0.0916
0.049,0.0952
0.05,0.0976
0.051,0.091
0.052,0.0966
0.053,0.0986
0.054,0.105
0.055,0.0926
0.056,0.093
0.057,0.1006
0.058,0.109
0.059,0.1012
0.06,0.1038
0.061,0.1108
0.062,0.112
0.063,0.1136
0.064,0.1088
0.065,0.106
0.066,0.1172
0.067,0.118
0.068,0.1154
0.069,0.1134
0.07,0.1192
0.071,0.1248
0.072,0.118
0.073,0.1246
0.074,0.1348
0.075,0.1244
0.076,0.1304
0.077,0.122
0.078,0.1346
0.079,0.1272
0.08,0.1384
0.081,0.1358
0.082,0.1402
0.083,0.1318
0.084,0.1356
0.085,0.1446
0.086,0.1402
0.087,0.147
0.088,0.1476
0.089,0.149
0.09,0.1528
0.091,0.1516
0.092,0.143
0.093,0.1522
0.094,0.153
0.095,0.1604
0.096,0.1584
0.097,0.1612
0.098,0.1626
0.099,0.1496
0.1,0.1784
0.101,0.1716
0.102,0.1754
0.103,0.1716
0.104,0.17
0.105,0.169
0.106,0.1758
0.107,0.1722
0.108,0.174
0.109,0.1868
0.11,0.183
0.111,0.1772
0.112,0.1864
0.113,0.1896
0.114,0.1908
0.115,0.1882
0.116,0.2022
0.117,0.1876
0.118,0.194
0.119,0.2058
0.12,0.1906
0.121,0.2046
0.122,0.2088
0.123,0.2054
0.124,0.2124
0.125,0.2066
0.126,0.22
0.127,0.2146
0.128,0.2112
0.129,0.2202
0.13,0.2226
0.131,0.2214
0.132,0.2232
0.133,0.2298
0.134,0.2208
0.135,0.2256
0.136,0.2232
0.137,0.238
0.138,0.2382
0.139,0.2432
0.14,0.2372
0.141,0.231
0.142,0.2458
0.143,0.2508
0.144,0.2532
0.145,0.257
0.146,0.2664
0.147,0.2594
0.148,0.2538
0.149,0.261
0.15,0.2694
0.151,0.2554
0.152,0.263
0.153,0.2608
0.154,0.2726
0.155,0.27
0.156,0.2742
0.157,0.265
0.158,0.288
0.159,0.2868
0.16,0.284
0.161,0.291
0.162,0.299
0.163,0.299
0.164,0.3012
0.165,0.298
0.166,0.2998
0.167,0.2976
0.168,0.305
0.169,0.3104
0.17,0.3128
0.171,0.3066
0.172,0.3258
0.173,0.313
0.174,0.3084
0.175,0.3076
0.176,0.3292
0.177,0.3136
0.178,0.328
0.179,0.3342
0.18,0.3302
0.181,0.3342
0.182,0.3488
0.183,0.341
0.184,0.337
0.185,0.3514
0.186,0.3434
0.187,0.359
0.188,0.346
0.189,0.3442
0.19,0.3624
0.191,0.3566
0.192,0.3678
0.193,0.3618
0.194,0.3694
0.195,0.3698
0.196,0.3644
0.197,0.3724
0.198,0.3826
0.199,0.3786
0.2,0.3854
0.201,0.386
0.202,0.3824
0.203,0.3882
0.204,0.403
0.205,0.3854
0.206,0.388
0.207,0.4008
0.208,0.4148
0.209,0.4114
0.21,0.4012
0.211,0.4046
0.212,0.41
0.213,0.4124
0.214,0.4188
0.215,0.4294
0.216,0.4172
0.217,0.4274
