subID,dmcc,BAS.day,PRO.day,REA.day,
102008,2,9-Feb-17,NA,NA,
115825,2,11-Feb-17,17-Feb-17,12-Feb-17,
123117,2,10-Apr-17,6-May-17,2-May-17,
130114,2,14-Oct-16,17-Oct-16,29-Oct-16,
130518,2,16-Jan-17,23-Feb-17,20-Jan-17,
132017,2,3-Jun-17,4-Jun-17,5-Jun-17,
138837,2,16-Jun-17,7-Jul-17,23-Jun-17,
141422,2,27-Jan-17,6-Mar-17,10-Apr-17,
150423,2,3-Dec-16,22-Dec-16,15-Dec-16,
155938,2,23-Oct-16,3-Nov-16,4-Nov-16,
158136,2,20-Nov-16,21-Nov-16,1-Dec-16,
165032,2,30-Nov-17,6-Dec-17,8-Dec-17,
171330,2,4-Nov-17,8-Dec-17,23-Dec-17,
178243,2,25-Feb-17,11-Mar-17,12-Mar-17,
178647,2,2-Dec-16,3-Dec-16,17-Dec-16,
178950,2,6-May-17,7-May-17,20-May-17,
197449,2,17-Jun-17,29-Jun-17,26-Jun-17,
203418,2,9-Dec-16,19-Dec-16,8-Jan-17,
204319,2,22-Apr-17,19-May-17,30-May-17,
233326,2,13-Feb-17,24-Feb-17,6-Apr-17,
250427,2,24-Sep-17,19-Nov-17,13-Nov-17,
317332,2,22-Apr-17,8-May-17,18-May-17,
346945,2,23-Mar-17,3-Apr-17,20-Apr-17,
352738,2,24-Mar-17,14-Apr-17,14-Jun-17,
393550,2,11-Nov-16,19-Nov-16,29-Dec-16,
594156,2,31-Mar-17,10-Apr-17,3-May-17,
601127,2,26-Jan-17,30-Jan-17,3-Feb-17,
765864,2,25-Feb-17,13-Mar-17,25-Mar-17,
814649,2,31-Dec-16,14-Jan-17,28-Jan-17,
843151,2,26-May-17,9-Jun-17,29-May-17,
877168,2,1-Dec-17,14-Dec-17,5-Jan-18,
DMCC1624043,2,15-Oct-17,12-Nov-17,2-Dec-17,
DMCC1971064,2,17-Sep-17,25-Sep-17,6-Oct-17,
DMCC2803654,2,18-Sep-17,5-Oct-17,21-Sep-17,
DMCC2834766,2,12-Aug-17,1-Sep-17,3-Sep-17,
DMCC3204738,2,15-Oct-17,21-Oct-17,12-Nov-17,
DMCC3509558,2,18-Nov-17,NA,NA,
DMCC4191255,2,31-Jul-17,18-Aug-17,28-Aug-17,
DMCC4854075,2,17-Jul-17,5-Aug-17,30-Jul-17,
DMCC6418065,2,5-Aug-17,26-Aug-17,9-Sep-17,
DMCC6661074,2,17-Dec-17,15-Jan-18,19-Jan-18,
DMCC6671683,2,11-Aug-17,24-Aug-17,27-Aug-17,
DMCC9478705,2,8-Sep-17,23-Sep-17,15-Sep-17,
115825,3,7-Oct-17,16-Oct-17,13-Oct-17,
130114,3,27-Oct-17,14-Nov-17,19-Nov-17,
130518,3,15-Jul-17,23-Jul-17,24-Jul-17,
155938,3,13-Jul-17,10-Aug-17,12-Aug-17,
178243,3,3-Jul-17,27-Jul-17,25-Jul-17,
DMCC2803654,3,22-Dec-17,13-Jan-18,28-Dec-17,
DMCC2834766,3,29-Dec-17,30-Dec-17,14-Jan-18,
DMCC4191255,3,16-Dec-17,18-Dec-17,30-Dec-17,
DMCC4854075,3,19-Oct-17,21-Oct-17,22-Oct-17,
DMCC6418065,3,4-Nov-17,18-Nov-17,20-Nov-17,
DMCC6671683,3,3-Nov-17,10-Nov-17,16-Nov-17,
DMCC9478705,3,6-Jan-18,11-Jan-18,8-Jan-18,
