subID,dmcc,1,2,3
170321,2,2006-04-18,06/16/18,7/15/18
135730,2,17-Mar-19,Mar-19,Mar-19
153429,2,04-May-19,10-Aug-19,24-Aug-19
160830,2,19-May-18,02-Jun-18,03-Jun-18
161832,2,08-Apr-18,22-Apr-18,06-May-18
162026,2,?,,
173738,2,23-Feb-19,05-Mar-19,10-Apr-19
176845,2,21-Oct-19,29-Nov-19,05-Jan-19
179245,2,?,,
182436,2,12-Mar-18,30-Mar-18,09-Apr-19
182840,2,?,,
198855,2,?,,
205220,2,03-Oct-16,04-Oct-16,05-Oct-16
209228,2,28-Jan-17,06-Feb-17,?
214524,2,?,,
300618,2,12-Feb-18,17-Feb-18,23-Feb-18
432332,2,23-Jun-19,20-Jun-19,07-Jul-19
448347,2,18-Aug-18,24-Aug-18,01-Sep-18
562345,2,?,,
568963,2,24-Sep-16,08-Oct-16,22-Oct-16
580650,2,09-Feb-18,11-Feb-18,10-Mar-18
623844,2,?,,
672756,2,07-Mar-19,11-Mar-19,06-Apr-19
729254,2,17-Feb-19,22-Feb-19,01-Mar-19
849971,2,08-Mar-18,16-Mar-18,22-Mar-18
873968,2,22-Sep-18,14-Oct-18,21-Oct-18
882161,2,30-Jun-19,18 ag 19,07-Sep-19
999008,2,?,,
DMCC0472647,2,NA,,
DMCC1328342,2,29-Nov-18,01-Dec-18,16-Dec-18
DMCC1596165,2,08-Nov-18,19-Nov-18,25-Nov-18
DMCC2442951,2,19-Oct-18,09-Nov-18,12-Nov-18
DMCC2560452,2,17-Nov-19,14-Dec-19,15-Dec-19
DMCC2609759,2,06-Jan-19,10-Jan-19,13-Jan-19
DMCC3062542,2,24-Sep-18,06-Oct-18,10-Oct-18
DMCC3091953,2,25-Jan-20,27-Jan-20,?
DMCC3876181,2,07-Dec-19,08-Dec-19,19-Jan-20
DMCC3963378,2,14-Jan-19,18-Jan-19,20-Jan-19
DMCC4260551,2,24-May-18,10-Jun-18,16-Jun-18
DMCC4368773,2,05-Oct-19,02-Nov-19,10-Nov-19
DMCC5009144,2,30-Nov-18,01-Dec-18,07-Dec-18
DMCC5065053,2,19-Oct-19,20-Oct-19,01-Nov-19
DMCC5195268,2,23-Mar-18,24-Mar-18,02-Apr-18
DMCC5244053,2,09-Nov-19,16-Nov-19,07-Dec-19
DMCC5775387,2,10-Apr-18,14-Apr-18,21-Apr-18
DMCC5820265,2,30-Nov-19,14-Dec-19,14-Jan-20
DMCC6371570,2,20-Aug-18,06-Sep-18,20-Sep-18
DMCC6484785,2,08-Jun-18,15-Jun-18,22-Jun-18
DMCC6627478,2,26-Oct-18,03-Nov-18,15-Nov-18
DMCC6705371,2,02-Feb-18,03-Feb-18,04-Feb-18
DMCC6721369,2,02-Feb-18,02-Feb-18,04-Feb-18
DMCC6755891,2,02-Aug-18,?,?
DMCC6886907,2,12-Jan-20,?,?
DMCC6904377,2,23-Jun-18,01-Jul-18,07-Jul-18
DMCC6960387,2,09-Dec-18,17-Dec-18,29-Dec-18
DMCC7297690,2,05-Nov-18,17-Nov-18,18-Nov-18
DMCC7921988,2,03-May-18,19-May-18,20-May-18
DMCC8033964,2,24-Feb-18,02-Mar-18,05-Mar-18
DMCC8050964,2,04-Aug-18,05-Aug-18,23-Aug-18
DMCC8078683,2,14-Jun-18,25-Jun-18,02-Jul-18
DMCC8214059,2,26-Sep-18,30-Sep,28-Dec-18
DMCC8260571,2,21-Dec-18,29-Dec-18,04-Jan-19
DMCC8760894,2,02-Nov-19,09-Nov-19,16-Nov-19
DMCC9441378,2,07-Sep-18,08-Sep-18,12-Sep-18
DMCC9850294,2,04-Oct-19,226 oct 19,18-Nov-19
DMCC9953810,2,29-Jun-18,03-Aug-18,11-Aug-18
