subj,dmcc,BAS.day,PRO.day,REA.day
102008,2,2017-02-09,NA,NA
115825,2,2017-02-11,2017-02-17,2017-02-12
123117,2,2017-04-10,2017-05-06,2017-05-02
130114,2,2016-10-14,2016-10-17,2016-10-29
130518,2,2017-01-16,2017-02-23,2017-01-20
132017,2,2017-06-03,2017-06-04,2017-06-05
138837,2,2017-06-16,2017-07-07,2017-06-23
141422,2,2017-01-27,2017-03-06,2017-04-10
150423,2,2016-12-03,2016-12-22,2016-12-15
155938,2,2016-10-23,2016-11-03,2016-11-04
158136,2,2016-11-20,2016-11-21,2016-12-01
165032,2,2017-11-30,2017-12-06,2017-12-08
171330,2,2017-11-04,2017-12-08,2017-12-23
178243,2,2017-02-25,2017-03-11,2017-03-12
178647,2,2016-12-02,2016-12-03,2016-12-17
178950,2,2017-05-06,2017-05-07,2017-05-20
197449,2,2017-06-17,2017-06-29,2017-06-26
203418,2,2016-12-09,2016-12-19,2017-01-08
204319,2,2017-04-22,2017-05-19,2017-05-30
233326,2,2017-02-13,2017-02-24,2017-04-06
250427,2,2017-09-24,2017-11-19,2017-11-13
317332,2,2017-04-22,2017-05-08,2017-05-18
346945,2,2017-03-23,2017-04-03,2017-04-20
352738,2,2017-03-24,2017-04-14,2017-06-14
393550,2,2016-11-11,2016-11-19,2016-12-29
594156,2,2017-03-31,2017-04-10,2017-05-03
601127,2,2017-01-26,2017-01-30,2017-02-03
765864,2,2017-02-25,2017-03-13,2017-03-25
814649,2,2016-12-31,2017-01-14,2017-01-28
843151,2,2017-05-26,2017-06-09,2017-05-29
877168,2,2017-12-01,2017-12-14,2018-01-05
DMCC1624043,2,2017-10-15,2017-11-12,2017-12-02
DMCC1971064,2,2017-09-17,2017-09-25,2017-10-06
DMCC2803654,2,2017-09-18,2017-10-05,2017-09-21
DMCC2834766,2,2017-08-12,2017-09-01,2017-09-03
DMCC3204738,2,2017-10-15,2017-10-21,2017-11-12
DMCC3509558,2,2017-11-18,NA,NA
DMCC4191255,2,2017-07-31,2017-08-18,2017-08-28
DMCC4854075,2,2017-07-17,2017-08-05,2017-07-30
DMCC6418065,2,2017-08-05,2017-08-26,2017-09-09
DMCC6661074,2,2017-12-17,2018-01-15,2018-01-19
DMCC6671683,2,2017-08-11,2017-08-24,2017-08-27
DMCC9478705,2,2017-09-08,2017-09-23,2017-09-15
115825,3,2017-10-07,2017-10-16,2017-10-13
130114,3,2017-10-27,2017-11-14,2017-11-19
130518,3,2017-07-15,2017-07-23,2017-07-24
155938,3,2017-07-13,2017-08-10,2017-08-12
178243,3,2017-07-03,2017-07-27,2017-07-25
DMCC2803654,3,2017-12-22,2018-01-13,2017-12-28
DMCC2834766,3,2017-12-29,2017-12-30,2018-01-14
DMCC4191255,3,2017-12-16,2017-12-18,2017-12-30
DMCC4854075,3,2017-10-19,2017-10-21,2017-10-22
DMCC6418065,3,2017-11-04,2017-11-18,2017-11-20
DMCC6671683,3,2017-11-03,2017-11-10,2017-11-16
DMCC9478705,3,2018-01-06,2018-01-11,2018-01-08
