subj,dmcc,session1,session2,session3
170321,2,2018-06-04,2018-06-18,2018-07-15
135730,2,2019-03-17,2020-03-19,2020-03-19
153429,2,2019-05-04,2019-08-10,2019-08-24
160830,2,2018-05-19,2018-06-02,2018-06-03
161832,2,2018-04-08,2018-04-22,2018-05-06
162026,2,NA,NA,NA
173738,2,2019-02-23,2019-03-05,2019-04-10
176845,2,2019-10-21,2019-11-29,2019-01-05
179245,2,NA,NA,NA
182436,2,2018-03-12,2018-03-30,2019-04-09
182840,2,NA,NA,NA
198855,2,NA,NA,NA
205220,2,2016-10-03,2016-10-04,2016-10-05
209228,2,2017-01-28,2017-02-06,?
214524,2,NA,NA,NA
300618,2,2018-02-12,2018-02-17,2018-02-23
432332,2,2019-06-23,2019-06-20,2019-07-07
448347,2,2018-08-18,2018-08-24,2018-09-01
562345,2,NA,NA,NA
568963,2,2016-09-24,2016-10-08,2016-10-22
580650,2,2018-02-09,2018-02-11,2018-03-10
623844,2,NA,NA,NA
672756,2,2019-03-07,2019-03-11,2019-04-06
729254,2,2019-02-17,2019-02-22,2019-03-01
849971,2,2018-03-08,2018-03-16,2018-03-22
873968,2,2018-09-22,2018-10-14,2018-10-21
882161,2,2019-06-30,2019-08-18,2019-09-07
999008,2,NA,NA,NA
DMCC0472647,2,NA,NA,NA
DMCC1328342,2,2018-11-29,2018-12-01,2018-12-16
DMCC1596165,2,2018-11-08,2018-11-19,2018-11-25
DMCC2442951,2,2018-10-19,2018-11-09,2018-11-12
DMCC2560452,2,2019-11-17,2019-12-14,2019-12-15
DMCC2609759,2,2019-01-06,2019-01-10,2019-01-13
DMCC3062542,2,2018-09-24,2018-10-06,2018-10-10
DMCC3091953,2,2020-01-25,2020-01-27,NA
DMCC3876181,2,2019-12-07,2019-12-08,2020-01-19
DMCC3963378,2,2019-01-14,2019-01-18,2019-01-20
DMCC4260551,2,2018-05-24,2018-06-10,2018-06-16
DMCC4368773,2,2019-10-05,2019-11-02,2019-11-10
DMCC5009144,2,2018-11-30,2018-12-01,2018-12-07
DMCC5065053,2,2019-10-19,2019-10-20,2019-11-01
DMCC5195268,2,2018-03-23,2018-03-24,2018-04-02
DMCC5244053,2,2019-11-09,2019-11-16,2019-12-07
DMCC5775387,2,2018-04-10,2018-04-14,2018-04-21
DMCC5820265,2,2019-11-30,2019-12-14,2020-01-14
DMCC6371570,2,2018-08-20,2018-09-06,2018-09-20
DMCC6484785,2,2018-06-08,2018-06-15,2018-06-22
DMCC6627478,2,2018-10-26,2018-11-03,2018-11-15
DMCC6705371,2,2018-02-02,2018-02-03,2018-02-04
DMCC6721369,2,2018-02-02,2018-02-02,2018-02-04
DMCC6755891,2,2018-08-02,NA,NA
DMCC6886907,2,2020-01-12,NA,NA
DMCC6904377,2,2018-06-23,2018-07-01,2018-07-07
DMCC6960387,2,2018-12-09,2018-12-17,2018-12-29
DMCC7297690,2,2018-11-05,2018-11-17,2018-11-18
DMCC7921988,2,2018-05-03,2018-05-19,2018-05-20
DMCC8033964,2,2018-02-24,2018-03-02,2018-03-05
DMCC8050964,2,2018-08-04,2018-08-05,2018-08-23
DMCC8078683,2,2018-06-14,2018-06-25,2018-07-02
DMCC8214059,2,2018-09-26,2020-09-30,2018-12-28
DMCC8260571,2,2018-12-21,2018-12-29,2019-01-04
DMCC8760894,2,2019-11-02,2019-11-09,2019-11-16
DMCC9441378,2,2018-09-07,2018-09-08,2018-09-12
DMCC9850294,2,2019-10-04,2019-10-26,2019-11-18
DMCC9953810,2,2018-06-29,2018-08-03,2018-08-11
