stimulus,baseline1,baseline2,proactive1,proactive2,reactive1,reactive2,pc
blackBLACK,3,6,3,6,3,3,pc50
blackGREEN,0,3,0,3,1,1,pc50
blackPINK,3,0,3,0,1,1,pc50
blackYELLOW,3,0,3,0,1,1,pc50
yellowBLACK,0,3,0,3,1,1,pc50
yellowGREEN,3,0,3,0,1,1,pc50
yellowPINK,0,3,0,3,1,1,pc50
yellowYELLOW,6,3,6,3,3,3,pc50
greenBLACK,3,0,3,0,1,1,pc50
greenGREEN,6,3,6,3,3,3,pc50
greenPINK,0,3,0,3,1,1,pc50
greenYELLOW,0,3,0,3,1,1,pc50
pinkBLACK,0,3,0,3,1,1,pc50
pinkGREEN,3,0,3,0,1,1,pc50
pinkPINK,3,6,3,6,3,3,pc50
pinkYELLOW,3,0,3,0,1,1,pc50
blueBLUE,15,12,6,3,23,24,bias
bluePURPLE,0,3,6,3,0,0,bias
blueRED,0,3,6,3,0,0,bias
blueWHITE,3,0,3,6,0,0,bias
purpleBLUE,3,0,3,6,6,6,bias
purplePURPLE,15,12,6,3,6,6,bias
purpleRED,0,3,6,3,6,6,bias
purpleWHITE,0,3,6,3,6,6,bias
redBLUE,3,0,3,6,0,0,bias
redPURPLE,3,0,3,6,0,0,bias
redRED,12,15,3,6,24,24,bias
redWHITE,0,3,6,3,0,0,bias
whiteBLUE,0,3,6,3,6,6,bias
whitePURPLE,3,0,3,6,6,6,bias
whiteRED,3,0,3,6,6,6,bias
whiteWHITE,12,15,3,6,6,6,bias
