"","roi","num.roi","hemi","community","community.short"
"1","V1_L",1,"L","primary visual cortex","V1"
"2","MST_L",2,"L","MT+ complex and neighbors","MT+"
"3","V6_L",3,"L","dorsal stream visual cortex","d vis."
"4","V2_L",4,"L","early visual cortex","early vis."
"5","V3_L",5,"L","early visual cortex","early vis."
"6","V4_L",6,"L","early visual cortex","early vis."
"7","V8_L",7,"L","ventral stream visual cortex","v vis."
"8","4_L",8,"L","somatosensory and motor cortex","M1 and S1"
"9","3b_L",9,"L","somatosensory and motor cortex","M1 and S1"
"10","FEF_L",10,"L","premotor cortex","PM"
"11","PEF_L",11,"L","premotor cortex","PM"
"12","55b_L",12,"L","premotor cortex","PM"
"13","V3A_L",13,"L","dorsal stream visual cortex","d vis."
"14","RSC_L",14,"L","posterior cingulate cortex","pCC"
"15","POS2_L",15,"L","posterior cingulate cortex","pCC"
"16","V7_L",16,"L","dorsal stream visual cortex","d vis."
"17","IPS1_L",17,"L","dorsal stream visual cortex","d vis."
"18","FFC_L",18,"L","ventral stream visual cortex","v vis."
"19","V3B_L",19,"L","dorsal stream visual cortex","d vis."
"20","LO1_L",20,"L","MT+ complex and neighbors","MT+"
"21","LO2_L",21,"L","MT+ complex and neighbors","MT+"
"22","PIT_L",22,"L","ventral stream visual cortex","v vis."
"23","MT_L",23,"L","MT+ complex and neighbors","MT+"
"24","A1_L",24,"L","early auditory cortex","early aud."
"25","PSL_L",25,"L","tempo-parieto-occipital junction","TPOJ"
"26","SFL_L",26,"L","dorsolateral prefrontal cortex","dlPFC"
"27","PCV_L",27,"L","posterior cingulate cortex","pCC"
"28","STV_L",28,"L","tempo-parieto-occipital junction","TPOJ"
"29","7Pm_L",29,"L","superior parietal cortex","sP"
"30","7m_L",30,"L","posterior cingulate cortex","pCC"
"31","POS1_L",31,"L","posterior cingulate cortex","pCC"
"32","23d_L",32,"L","posterior cingulate cortex","pCC"
"33","v23ab_L",33,"L","posterior cingulate cortex","pCC"
"34","d23ab_L",34,"L","posterior cingulate cortex","pCC"
"35","31pv_L",35,"L","posterior cingulate cortex","pCC"
"36","5m_L",36,"L","paracentral lobular and mid cingulate cortex","PL and mid cing."
"37","5mv_L",37,"L","paracentral lobular and mid cingulate cortex","PL and mid cing."
"38","23c_L",38,"L","posterior cingulate cortex","pCC"
"39","5L_L",39,"L","paracentral lobular and mid cingulate cortex","PL and mid cing."
"40","24dd_L",40,"L","paracentral lobular and mid cingulate cortex","PL and mid cing."
"41","24dv_L",41,"L","paracentral lobular and mid cingulate cortex","PL and mid cing."
"42","7AL_L",42,"L","superior parietal cortex","sP"
"43","SCEF_L",43,"L","paracentral lobular and mid cingulate cortex","PL and mid cing."
"44","6ma_L",44,"L","paracentral lobular and mid cingulate cortex","PL and mid cing."
"45","7Am_L",45,"L","superior parietal cortex","sP"
"46","7PL_L",46,"L","superior parietal cortex","sP"
"47","7PC_L",47,"L","superior parietal cortex","sP"
"48","LIPv_L",48,"L","superior parietal cortex","sP"
