"session","task","run","subj","name","word","trial.type","pc","color","iti","time.target.onset.abs","time.scan.start","trial.num","listener1","listener2","correctcolor","response.final","acc.final","rt","item","time.target.onset","time.rt.abs","time.rt","acc","time.block1.on","time.block2.on","time.block3.on","time.block1.off","time.block2.off","time.block3.off","is.analysis.group","is.implausible.rt","is.artifactual.rt","error"
"pro","stp",1,"107321","pro_stp_run1_107321","WHITE","incon","mi","purple",2400,127462,96750,1,"purple","purple","purple","purple","1",827.5,"purpleWHITE",30.712,128289.5,858.212,1,28.406,231.213,434.006,202.827,405.62,608.427,TRUE,FALSE,FALSE,0
"pro","stp",1,"107321","pro_stp_run1_107321","WHITE","incon","mi","purple",1200,132262,96750,2,"purple","purple","purple","purple","1",558,"purpleWHITE",35.512,132820,593.512,1,28.406,231.213,434.006,202.827,405.62,608.427,TRUE,FALSE,FALSE,0
"pro","stp",1,"107321","pro_stp_run1_107321","BLACK","incon","pc50","green",3600,135862,96750,3,"green","green","green","green","1",723.5,"greenBLACK",39.112,136585.5,762.612,1,28.406,231.213,434.006,202.827,405.62,608.427,TRUE,FALSE,FALSE,0
"pro","stp",1,"107321","pro_stp_run1_107321","PINK","congr","pc50","pink",3600,141862,96750,4,"pink","pink","pink","pink","1",NA,"pinkPINK",45.112,NA,NA,1,28.406,231.213,434.006,202.827,405.62,608.427,TRUE,NA,FALSE,0
"pro","stp",1,"107321","pro_stp_run1_107321","BLUE","congr","mi","blue",2400,147862,96750,5,"blue","blue","blue","blue","1",671.5,"blueBLUE",51.112,148533.5,722.612,1,28.406,231.213,434.006,202.827,405.62,608.427,TRUE,FALSE,FALSE,0
"pro","stp",1,"107321","pro_stp_run1_107321","YELLOW","incon","pc50","pink",3600,152661,96750,6,"pink","pink","pink","pink","1",725.5,"pinkYELLOW",55.911,153386.5,781.411,1,28.406,231.213,434.006,202.827,405.62,608.427,TRUE,FALSE,FALSE,0
"pro","stp",1,"107321","pro_stp_run1_107321","BLUE","incon","mi","white",2400,158661,96750,7,"white","white","white","white","1",585.5,"whiteBLUE",61.911,159246.5,647.411,1,28.406,231.213,434.006,202.827,405.62,608.427,TRUE,FALSE,FALSE,0
"pro","stp",1,"107321","pro_stp_run1_107321","YELLOW","congr","pc50","yellow",1200,163461,96750,8,"yellow","yellow","yellow","yellow","1",627.5,"yellowYELLOW",66.711,164088.5,694.211,1,28.406,231.213,434.006,202.827,405.62,608.427,TRUE,FALSE,FALSE,0
"pro","stp",1,"107321","pro_stp_run1_107321","PURPLE","congr","mi","purple",1200,167061,96750,9,"purple","purple","purple","purple","1",583,"purplePURPLE",70.311,167644,653.311,1,28.406,231.213,434.006,202.827,405.62,608.427,TRUE,FALSE,FALSE,0
"pro","stp",1,"107321","pro_stp_run1_107321","WHITE","congr","mi","white",2400,170661,96750,10,"white","white","white","white","1",498,"whiteWHITE",73.911,171159,571.911,1,28.406,231.213,434.006,202.827,405.62,608.427,TRUE,FALSE,FALSE,0
