"parcel","$\bar\beta$","v","p","network","md"
"3b\textunderscore L",0.0839160923094132,1108,1.29041513474704e-05,"Somatomotor",""
"4\textunderscore L",0.0678093688840448,1097,1.491145830812e-05,"Somatomotor",""
"FEF\textunderscore R",0.0529664158193207,1063,0.000102515539097681,"Cingulo-Opercular",""
"4\textunderscore R",0.0590038255843806,1049,0.000164629823245832,"Somatomotor",""
"3b\textunderscore R",0.0639370731121494,1047,0.000164629823245832,"Somatomotor",""
"OP4\textunderscore L",0.0573308305075247,1033,0.00030846596114742,"Somatomotor",""
"3a\textunderscore L",0.0679640139131897,1009,0.000883817237475881,"Somatomotor",""
"PFop\textunderscore L",0.0501616690881743,1008,0.000883817237475881,"Cingulo-Opercular",""
"11l\textunderscore L",0.0384504217280999,1004,0.000962184321124937,"Frontoparietal","penumbra"
"11l\textunderscore R",0.0406415914328706,1000,0.00105736062855755,"Frontoparietal","penumbra"
"3a\textunderscore R",0.043450970019164,993,0.0013535668674339,"Somatomotor",""
"PFop\textunderscore R",0.0414558219941594,989,0.00138718003203582,"Cingulo-Opercular",""
"STSda\textunderscore R",0.0394097707088441,989,0.00138718003203582,"Default",""
"a47r\textunderscore L",0.0426410228980351,985,0.00155566490880079,"Frontoparietal","penumbra"
"V8\textunderscore L",0.0432972039321842,982,0.00163937377916756,"Visual2",""
"V6\textunderscore R",0.0426361304394368,981,0.00163937377916756,"Visual2",""
"LBelt\textunderscore L",0.0436800683887466,978,0.00164829528413435,"Auditory",""
"p10p\textunderscore L",0.0492236501161291,978,0.00164829528413435,"Frontoparietal","penumbra"
"5mv\textunderscore R",0.0479554711943637,977,0.00164829528413435,"Cingulo-Opercular",""
"55b\textunderscore L",0.0486529841902883,976,0.00164829528413435,"Language",""
"8C\textunderscore R",0.0449799950820318,974,0.00171806441591522,"Frontoparietal","core"
"p9-46v\textunderscore R",0.0516413895413848,971,0.00187521987722915,"Frontoparietal","core"
"POS2\textunderscore L",0.0468587764632398,970,0.00187521987722915,"Frontoparietal","penumbra"
"6v\textunderscore R",0.0526392724299013,969,0.00187832352930073,"Somatomotor",""
"PFcm\textunderscore L",0.037932355686309,966,0.00205694260482687,"Cingulo-Opercular",""
"55b\textunderscore R",0.0433301606811011,965,0.0020658963899824,"Language",""
"43\textunderscore R",0.0442834034096658,963,0.00209196407214206,"Cingulo-Opercular",""
"STGa\textunderscore L",0.0404852350478183,963,0.00209196407214206,"Language",""
