param,roi,du,dl,p
distractor,1_L,0.000119805714378529,0.156615328223326,0.156615328223326
distractor,1_R,0.0595013998144296,0.000576155924392197,0.0595013998144296
distractor,10d_L,0.0399671962959172,0.00121022689055295,0.0399671962959172
distractor,10d_R,0.0537630450714311,0.000345045030663016,0.0537630450714311
distractor,10pp_L,0.0278237818331224,0.000136731925053368,0.0278237818331224
distractor,10pp_R,0.00104785405292773,0.0484642220819378,0.0484642220819378
distractor,10r_L,1.04900697959209e-05,0.0138689784908213,0.0138689784908213
distractor,10r_R,0.0111956928174717,0.00266075802014321,0.0111956928174717
distractor,10v_L,0.000840795822115936,0.0305329559343832,0.0305329559343832
distractor,10v_R,0.00531504105498471,0.00403301363050446,0.00531504105498471
distractor,11l_L,0.0696472844062566,0.000405068533039454,0.0696472844062566
distractor,11l_R,0.0417445316253282,0.000438501940241309,0.0417445316253282
distractor,13l_L,0.0108946754268988,0.010313308159061,0.0108946754268988
distractor,13l_R,0.018410064651512,0.00293416996467677,0.018410064651512
distractor,2_L,0.000100220424261721,0.149560509690096,0.149560509690096
distractor,2_R,0.00171892875484581,0.0327023777459115,0.0327023777459115
distractor,23c_L,0.00197076248752914,0.0115037692067723,0.0115037692067723
distractor,23c_R,0.0399671962959172,0.00184101604037146,0.0399671962959172
distractor,23d_L,0.0494898175502474,0.000193126561510937,0.0494898175502474
distractor,23d_R,0.136084848744792,5.00926122679601e-05,0.136084848744792
distractor,24dd_L,0.0213712272626783,0.00333715762276832,0.0213712272626783
distractor,24dd_R,0.0170630753577772,0.00249124170730042,0.0170630753577772
distractor,24dv_L,0.0024101260898366,0.021901204544454,0.021901204544454
distractor,24dv_R,0.238618736187124,5.00926122679601e-05,0.238618736187124
distractor,25_L,0.00872563234462476,0.00323209105441968,0.00872563234462476
distractor,25_R,0.0631638464270843,0.000646285340401676,0.0631638464270843
distractor,31a_L,0.090466652771072,0.000389234659980531,0.090466652771072
distractor,31a_R,0.00112641964097016,0.0342167093929593,0.0342167093929593
distractor,31pd_L,8.36135828237161e-05,0.254223181311692,0.254223181311692
distractor,31pd_R,5.25267648665562e-05,0.125497797809841,0.125497797809841
distractor,31pv_L,0.000259110338932445,0.0954641423893481,0.0954641423893481
distractor,31pv_R,0.125497797809841,0.000185070342453741,0.125497797809841
distractor,33pr_L,0.0872426222230623,9.58066632357202e-05,0.0872426222230623
distractor,33pr_R,0.161436062851756,1.23042184991817e-05,0.161436062851756
distractor,3a_L,0.00203863484552613,0.031242714183799,0.031242714183799
distractor,3a_R,0.195050332407568,2.79487861440941e-05,0.195050332407568
distractor,3b_L,0.000598728055765108,0.0474553756509799,0.0474553756509799
distractor,3b_R,0.232524250353688,8.75097251498147e-05,0.232524250353688
distractor,4_L,0.000974242470745068,0.0284819349656083,0.0284819349656083
distractor,4_R,0.0253142923706715,0.00171892875484581,0.0253142923706715
distractor,43_L,0.0128092683949443,0.0024101260898366,0.0128092683949443
distractor,43_R,0.0399671962959172,5.7725043221879e-05,0.0399671962959172
distractor,44_L,3.40492488426492e-05,0.217666520098078,0.217666520098078
distractor,44_R,0.0265447466414983,0.0027492808371985,0.0265447466414983
distractor,45_L,0.000177322251849077,0.206177973193247,0.206177973193247
distractor,45_R,0.000331361097783756,0.123450024682416,0.123450024682416
distractor,46_L,0.000238424533572257,0.0526687776327997,0.0526687776327997
distractor,46_R,0.00872563234462476,0.0175025845120551,0.0175025845120551
distractor,47l_L,0.00390887493428593,0.00378810221354442,0.00390887493428593
distractor,47l_R,0.000474418237322638,0.0921108416106105,0.0921108416106105
distractor,47m_L,0.0474553756509799,0.000318172298722885,0.0474553756509799
distractor,47m_R,0.0170630753577772,0.00184101604037146,0.0170630753577772
distractor,47s_L,0.127568717443584,0.000142843236446311,0.127568717443584
distractor,47s_R,0.00125418972229241,0.0583175839417134,0.0583175839417134
distractor,52_L,0.0138689784908213,0.00756765433181173,0.0138689784908213
distractor,52_R,0.00303066554419118,0.0175025845120551,0.0175025845120551
distractor,55b_L,0.00333715762276832,0.029152735797064,0.029152735797064
distractor,55b_R,0.00049335771700143,0.0631638464270843,0.0631638464270843
distractor,5L_L,2.6590321951403e-05,0.189623624797891,0.189623624797891
distractor,5L_R,0.0044264120149311,0.00485299181712584,0.00485299181712584
distractor,5m_L,0.06442218652602,0.000905310349144983,0.06442218652602
distractor,5m_R,0.000671320393097474,0.125497797809841,0.125497797809841
distractor,5mv_L,0.0111956928174717,0.00190490674144783,0.0111956928174717
distractor,5mv_R,0.0710022474508971,7.28610568518917e-05,0.0710022474508971
distractor,6a_L,0.00801386928272408,0.0121416169194042,0.0121416169194042
distractor,6a_R,0.000533304643973054,0.029152735797064,0.029152735797064
distractor,6d_L,0.0166328530388942,0.00323209105441968,0.0166328530388942
distractor,6d_R,0.075186341615888,0.00112641964097016,0.075186341615888
distractor,6ma_L,0.0494898175502474,0.000201501852131969,0.0494898175502474
distractor,6ma_R,0.0505323303472771,0.000622096317513865,0.0505323303472771
distractor,6mp_L,0.016211768700277,0.000576155924392197,0.016211768700277
