effect.size,hit.rate,fitted
0.3,0.6877,0.68367627922644
0.301,0.6849,0.685960717034261
0.302,0.6893,0.688249459141277
0.303,0.6883,0.690539683523583
0.304,0.6898,0.692828568157273
0.305,0.6974,0.695113291018443
0.306,0.6951,0.697391030083185
0.307,0.7024,0.699667655037137
0.308,0.7025,0.701949018683634
0.309,0.7089,0.704232273675321
0.31,0.7044,0.706514572664841
0.311,0.706,0.70879306830484
0.312,0.7129,0.71106491324796
0.313,0.7106,0.713332320244518
0.314,0.712,0.715599182174691
0.315,0.7107,0.717865171885917
0.316,0.7202,0.720129962225632
0.317,0.7173,0.722393226041273
0.318,0.7251,0.724654636180278
0.319,0.727,0.726913865490083
0.32,0.7341,0.729170754315394
0.321,0.7273,0.731425196793664
0.322,0.7337,0.733676946461448
0.323,0.7409,0.735925756855305
0.324,0.7494,0.73817138151179
0.325,0.7349,0.74041357396746
0.326,0.7442,0.74265528896937
0.327,0.7426,0.744896009272921
0.328,0.7445,0.747130280427191
0.329,0.7609,0.749352647981258
0.33,0.7576,0.751557657484197
0.331,0.7569,0.753739854485089
0.332,0.7559,0.755893784533008
0.333,0.7637,0.758040865603798
0.334,0.7629,0.760196691786295
0.335,0.7618,0.762347072799075
0.336,0.7695,0.764477818360711
0.337,0.7657,0.76657473818978
0.338,0.7638,0.768623642004854
0.339,0.7651,0.77065442760081
0.34,0.7773,0.772699203184253
0.341,0.7691,0.774747094091357
0.342,0.7721,0.776787225658294
0.343,0.7819,0.778808723221237
0.344,0.7797,0.780800712116359
0.345,0.7875,0.78276609536591
0.346,0.7883,0.784718349080919
0.347,0.7833,0.786662458230724
0.348,0.7898,0.788603407784663
0.349,0.7884,0.790546182712076
0.35,0.7944,0.7924957679823
0.351,0.7929,0.794434862590145
0.352,0.7964,0.796347662058218
0.353,0.8023,0.798241396147555
0.354,0.7972,0.800123294619192
0.355,0.7991,0.802000587234162
0.356,0.8103,0.803880503753501
0.357,0.7992,0.805770273938245
0.358,0.8089,0.80766708234854
0.359,0.8154,0.809560733041429
0.36,0.8071,0.811447385023287
0.361,0.8212,0.813323197300489
0.362,0.8202,0.81518432887941
0.363,0.8189,0.817026938766425
0.364,0.8208,0.818865249272584
0.365,0.8248,0.820711154693875
0.366,0.8214,0.822557322014087
0.367,0.8193,0.824396418217007
0.368,0.8242,0.826221110286421
0.369,0.8279,0.828024065206117
0.37,0.8317,0.829803869840091
0.371,0.8325,0.831566896721845
0.372,0.8306,0.833317491339423
0.373,0.8371,0.835059999180869
0.374,0.8321,0.836798765734225
0.375,0.8368,0.838538136487535
0.376,0.8362,0.840264579476998
0.377,0.8496,0.841966815788361
0.378,0.8432,0.843652570483994
0.379,0.8437,0.84532956862627
0.38,0.8482,0.847005535277557
0.381,0.8484,0.848688195500228
0.382,0.8532,0.850385274356652
0.383,0.8561,0.852085703829859
0.384,0.8554,0.85377604096695
0.385,0.854,0.855460448426409
0.386,0.8666,0.857143088866718
0.387,0.86,0.858828124946361
0.388,0.8593,0.860519719323819
0.389,0.8627,0.862212048119142
0.39,0.86,0.863898229825579
0.391,0.8615,0.865580840661416
0.392,0.8725,0.867262456844938
0.393,0.8674,0.868945654594432
0.394,0.8728,0.870633010128182
0.395,0.8708,0.872318682149581
0.396,0.874,0.873997037548309
0.397,0.8763,0.875670964822086
0.398,0.878,0.877343352468632
0.399,0.8777,0.879017088985667
0.4,0.8741,0.88069506287091
