contrast,b,se,t,p
$\text{target DLPFC (L)}$,0.0328410924155527,0.0128465282297033,2.55641772067403,0.0105756078501742
$\text{target LPPC (L)}$,0.0332986987224108,0.0121573352304036,2.7389800553608,0.00616301120775109
$\text{target DMFC (L)}$,0.0355407171596148,0.013629680862571,2.6075971637175,0.00911801888056019
$\text{target DLPFC (R)}$,0.0408813864663374,0.0128465282297033,3.18229063411957,0.00146115114084666
$\text{target LPPC (R)}$,0.0532642562634704,0.0121573352304036,4.38124434787853,1.18003444991022e-05
$\text{target DMFC (R)}$,0.0536930082416148,0.013629680862571,3.9394178618711,8.16795599449804e-05
$\text{distr. DLPFC (L)}$,-0.0114255663836273,0.0116261001033117,-0.982751419831035,0.325729796723351
$\text{distr. LPPC (L)}$,0.00333809052012462,0.0118090138707082,0.282673096726953,0.777427441180618
$\text{distr. DMFC (L)}$,0.00907824325973146,0.0116622913077689,0.778427070646396,0.436317285013027
$\text{distr. DLPFC (R)}$,0.00358170505067197,0.0116261001033117,0.308074506398902,0.75802563937049
$\text{distr. LPPC (R)}$,0.0218861884283499,0.0118090138707082,1.85334598366742,0.0638327842253474
$\text{distr. DMFC (R)}$,0.00222107621722255,0.0116622913077689,0.190449385854645,0.84895700145302
$\text{incon. DLPFC (L)}$,0.0441974152410497,0.0217159262541344,2.03525351503877,0.0418253708666529
$\text{incon. LPPC (L)}$,0.0747725113724341,0.0243040079517759,3.07655064632952,0.00209410724324921
$\text{incon. DMFC (L)}$,0.107108860737641,0.0293823609470242,3.64534561843944,0.000267032681473545
$\text{incon. DLPFC (R)}$,0.0518440533081758,0.0217159262541344,2.3873747175903,0.0169691853405669
$\text{incon. LPPC (R)}$,0.0643054569000706,0.0243040079517759,2.64587869735994,0.00814790286195777
$\text{incon. DMFC (R)}$,0.0826234813182232,0.0293823609470242,2.81200960900288,0.00492330325179391
$\text{target}-\text{distr.:} \text{DLPFC}$,0.0407831701074227,0.0117507560297336,3.47068478013048,0.000519133025530749
$\text{target}-\text{distr.:} \text{LPPC}$,0.0306693380187033,0.0117819151437151,2.60308597071024,0.0092388783107884
$\text{target}-\text{distr.:} \text{DMFC}$,0.0389672029621378,0.0119465394539629,3.26179837368818,0.00110707856046233
$\text{target}-\text{incon.:} \text{DLPFC}$,-0.0111594948336677,0.0222689954507603,-0.501122507225028,0.616284907635561
$\text{target}-\text{incon.:} \text{LPPC}$,-0.0262575066433117,0.023205807525965,-1.13150583593922,0.257842248506395
$\text{target}-\text{incon.:} \text{DMFC}$,-0.0502493083273173,0.029719241466169,-1.69080049988889,0.0908749116950689
$\text{distr.}-\text{incon.:} \text{DLPFC}$,-0.0519426649410904,0.0204162267026222,-2.54418535303681,0.0109532944687913
$\text{distr.}-\text{incon.:} \text{LPPC}$,-0.0569268446620151,0.0236971633058402,-2.40226409917956,0.0162939400760553
$\text{distr.}-\text{incon.:} \text{DMFC}$,-0.0892165112894551,0.0284191933746579,-3.1393048392785,0.00169349176488942
$\text{target}-\text{distr.:} \text{DLPFC (L)}$,0.04426665879918,0.0160432979917461,2.75919943779354,0.0115886321698424
$\text{target}-\text{distr.:} \text{LPPC (L)}$,0.0299606082022862,0.0160661341845307,1.86482994964238,0.0622052438389584
$\text{target}-\text{distr.:} \text{DMFC (L)}$,0.0264624738998834,0.0161872464646318,1.63477302688276,0.102096637176281
$\text{target}-\text{distr.:} \text{DLPFC (R)}$,0.0372996814156654,0.0160432979917461,2.32493851543837,0.0200752481159132
$\text{target}-\text{distr.:} \text{LPPC (R)}$,0.0313780678351205,0.0160661341845307,1.95305650225011,0.0622052438389584
$\text{target}-\text{distr.:} \text{DMFC (R)}$,0.0514719320243922,0.0161872464646318,3.17978305555892,0.0029477069605135
$\text{target}-\text{incon.:} \text{DLPFC (L)}$,-0.011356322825497,0.0248035340539937,-0.457850998199528,0.658503653506446
$\text{target}-\text{incon.:} \text{LPPC (L)}$,-0.0414738126500233,0.0256479364884152,-1.61704286302941,0.211738057829887
$\text{target}-\text{incon.:} \text{DMFC (L)}$,-0.0715681435780261,0.0316629192669612,-2.26031412247904,0.0476035242019401
$\text{target}-\text{incon.:} \text{DLPFC (R)}$,-0.0109626668418385,0.0248035340539937,-0.441980034698858,0.658503653506446
$\text{target}-\text{incon.:} \text{LPPC (R)}$,-0.0110412006366002,0.0256479364884152,-0.430490797635409,0.666838659325773
$\text{target}-\text{incon.:} \text{DMFC (R)}$,-0.0289304730766084,0.0316629192669612,-0.913702013155687,0.360873445915161
$\text{distr.}-\text{incon.:} \text{DLPFC (L)}$,-0.055622981624677,0.0231544694595775,-2.40225679632963,0.0325885307866818
$\text{distr.}-\text{incon.:} \text{LPPC (L)}$,-0.0714344208523094,0.0260933457403474,-2.73764896089399,0.0123760177617047
$\text{distr.}-\text{incon.:} \text{DMFC (L)}$,-0.0980306174779095,0.0304459799521685,-3.2198213896192,0.00256540977060071
$\text{distr.}-\text{incon.:} \text{DLPFC (R)}$,-0.0482623482575039,0.0231544694595775,-2.08436424517344,0.0371270475636321
$\text{distr.}-\text{incon.:} \text{LPPC (R)}$,-0.0424192684717207,0.0260933457403474,-1.62567379798019,0.104019066872107
$\text{distr.}-\text{incon.:} \text{DMFC (R)}$,-0.0804024051010006,0.0304459799521685,-2.6408217185755,0.0082705227674833
$\text{incon.: } \text{DMFC (L)}-\text{DLPFC}$,0.0590881264630282,0.024878835670377,2.37503584355372,0.0175472461252015
$\text{incon.: } \text{DMFC (L)}-\text{LPPC}$,0.0375698766013886,0.0255475069982503,1.4705887585807,0.141402365884281
$\text{target: } \text{DMFC (L)}-\text{DLPFC}$,-0.00132052228133021,0.0139363244476828,-0.0947539852625757,0.924510236794648
$\text{target: } \text{DMFC (L)}-\text{LPPC}$,-0.00774076033332579,0.0139234812254186,-0.55595006794668,0.578244989582116
$[\text{target}-\text{incon.}]\times[\text{DLPFC}-\text{DMFC (L)}]$,0.0604086487443584,0.0274958215427598,2.19701195872306,0.0280195921430166
$[\text{target}-\text{incon.}]\times[\text{DLPFC}-\text{LPPC (L)}]$,0.0303143178163555,0.0286965134434948,1.05637633909939,0.290796311491935
