contrast,b,se,t,p
$\text{target DLPFC (L)}$,0.0299147276934,0.0143710300804255,2.0815994070005,0.0105756078501742
$\text{target LPPC (L)}$,0.033298698722411,0.0139760566369471,2.38255321850818,0.00616301120775109
$\text{target DMFC (L)}$,0.0347920661404,0.0146151675354033,2.38054514641182,0.00911801888056019
$\text{target DLPFC (R)}$,0.0455330778598901,0.0143710300804255,3.16839346971446,0.00146115114084666
$\text{target LPPC (R)}$,0.0532642562634706,0.0139760566369471,3.81110764267091,1.18003444991022e-05
$\text{target DMFC (R)}$,0.0532725553713979,0.0146151675354033,3.64501845376402,8.16795599449804e-05
$\text{distr. DLPFC (L)}$,-0.00942490667715989,0.0135062687647501,-0.697817201872798,0.325729796723351
$\text{distr. LPPC (L)}$,0.00333809052012474,0.013021925671509,0.256343846857323,0.777427441180618
$\text{distr. DMFC (L)}$,0.0114074416474232,0.0138772519808522,0.82202453793901,0.436317285013027
$\text{distr. DLPFC (R)}$,0.00360494108669127,0.0135062687647501,0.266908733232066,0.75802563937049
$\text{distr. LPPC (R)}$,0.02188618842835,0.013021925671509,1.68071827319944,0.0638327842253474
$\text{distr. DMFC (R)}$,0.000722021291671852,0.0138772519808522,0.0520291259874863,0.84895700145302
$\text{incon. DLPFC (L)}$,0.0475274217436203,0.0202849379192791,2.34299074183754,0.0418253708666529
$\text{incon. LPPC (L)}$,0.0747725113724369,0.0229916217688472,3.25216342388473,0.00209410724324921
$\text{incon. DMFC (L)}$,0.103050026431219,0.024794205126232,4.15621415998502,0.000267032681473545
$\text{incon. DLPFC (R)}$,0.0442172805765676,0.0202849379192791,2.17980852357171,0.0169691853405669
$\text{incon. LPPC (R)}$,0.0643054569000734,0.0229916217688472,2.79690826278314,0.00814790286195777
$\text{incon. DMFC (R)}$,0.0783929911037315,0.024794205126232,3.16174649296551,0.00492330325179391
