contrast,b,se,t,p
$\text{target}-\text{distr.:} \text{DLPFC}$,0.0406338855718794,0.0125826749052961,3.22935193650885,0.000519133025530749
$\text{target}-\text{distr.:} \text{LPPC}$,0.0306693380187034,0.0125826749052961,2.43742592489571,0.0092388783107884
$\text{target}-\text{distr.:} \text{DMFC}$,0.0379675792863514,0.0125826749052961,3.01744895835866,0.00110707856046233
$\text{target}-\text{incon.:} \text{DLPFC}$,-0.00814844838344889,0.0227259870459678,-0.35855201215098,0.616284907635561
$\text{target}-\text{incon.:} \text{LPPC}$,-0.0262575066433143,0.0227259870459678,-1.15539565301183,0.257842248506395
$\text{target}-\text{incon.:} \text{DMFC}$,-0.0466891980115761,0.0227259870459678,-2.05444093218648,0.0908749116950689
$\text{distr.}-\text{incon.:} \text{DLPFC}$,-0.0487823339553283,0.021785052885798,-2.23925708195688,0.0109532944687913
$\text{distr.}-\text{incon.:} \text{LPPC}$,-0.0569268446620178,0.021785052885798,-2.61311482512531,0.0162939400760553
$\text{distr.}-\text{incon.:} \text{DMFC}$,-0.0846567772979275,0.021785052885798,-3.88600283605997,0.00169349176488942
$\text{target}-\text{distr.:} \text{DLPFC (L)}$,0.0393396343705599,0.0175522725822151,2.24128437991676,0.0250076600996192
$\text{target}-\text{distr.:} \text{LPPC (L)}$,0.0299606082022863,0.0175522725822151,1.70693612818228,0.087833924801584
$\text{target}-\text{distr.:} \text{DMFC (L)}$,0.0233846244929768,0.0175522725822151,1.33228471603565,0.182766647563589
$\text{target}-\text{distr.:} \text{DLPFC (R)}$,0.0419281367731989,0.0175522725822151,2.38875829763963,0.0250076600996192
$\text{target}-\text{distr.:} \text{LPPC (R)}$,0.0313780678351206,0.0175522725822151,1.78769260152184,0.087833924801584
$\text{target}-\text{distr.:} \text{DMFC (R)}$,0.0525505340797261,0.0175522725822151,2.99394473471048,0.00550791645897553
$\text{target}-\text{incon.:} \text{DLPFC (L)}$,-0.0176126940502203,0.0258114132166666,-0.682360702313179,0.959343574165982
$\text{target}-\text{incon.:} \text{LPPC (L)}$,-0.0414738126500259,0.0258114132166666,-1.60680131312012,0.216195920238204
$\text{target}-\text{incon.:} \text{DMFC (L)}$,-0.0682579602908186,0.0258114132166666,-2.64448752642277,0.0163629444176916
$\text{target}-\text{incon.:} \text{DLPFC (R)}$,0.00131579728332251,0.0258114132166666,0.0509773437152557,0.959343574165982
$\text{target}-\text{incon.:} \text{LPPC (R)}$,-0.0110412006366028,0.0258114132166666,-0.427764281789631,0.668822744064717
$\text{target}-\text{incon.:} \text{DMFC (R)}$,-0.0251204357323336,0.0258114132166666,-0.97322976938408,0.33043911840667
$\text{distr.}-\text{incon.:} \text{DLPFC (L)}$,-0.0569523284207802,0.0249869384732309,-2.27928397397682,0.0453003801314154
$\text{distr.}-\text{incon.:} \text{LPPC (L)}$,-0.0714344208523122,0.0249869384732309,-2.85887048262601,0.00850304659979084
$\text{distr.}-\text{incon.:} \text{DMFC (L)}$,-0.0916425847837954,0.0249869384732309,-3.66761957980463,0.000489638129675729
$\text{distr.}-\text{incon.:} \text{DLPFC (R)}$,-0.0406123394898764,0.0249869384732309,-1.62534275791271,0.104089545498482
$\text{distr.}-\text{incon.:} \text{LPPC (R)}$,-0.0424192684717234,0.0249869384732309,-1.69765769892811,0.089572385968312
$\text{distr.}-\text{incon.:} \text{DMFC (R)}$,-0.0776709698120597,0.0249869384732309,-3.10846284330793,0.00188063291950336
