contrast,b,se,t,p
$\text{DMFC (L) incon.}$,0.107108860737645,0.0293332401096417,3.65145003883967,0.000260763831959165
$\text{DMFC (R) incon.}$,0.082623481318227,0.0293332401096417,2.81671854215208,0.00485170224607257
$\text{DMFC (L) target}$,0.0355407171596149,0.0136418550484021,2.60527010685235,0.00918018569995072
$\text{DMFC (R) target}$,0.0536930082416149,0.0136418550484021,3.93590226923749,8.28847003906397e-05
$\text{DMFC (L) distr.}$,0.00907824325973167,0.0116711811685091,0.777834147946087,0.436666793923374
$\text{DMFC (R) distr.}$,0.00222107621722276,0.0116711811685091,0.190304321829535,0.849070667208322
$\text{DLPFC (L) incon.}$,0.044197415241051,0.0216870659414868,2.03796195208235,0.0415537380840754
$\text{DLPFC (R) incon.}$,0.0518440533081771,0.0216870659414868,2.39055174397754,0.0168230783876238
$\text{DLPFC (L) target}$,0.0328410924155526,0.0128532768795148,2.55507546623335,0.0106164777822384
$\text{DLPFC (R) target}$,0.0408813864663372,0.0128532768795148,3.18061976331444,0.00146960380205274
$\text{DLPFC (L) distr.}$,-0.0114255663836272,0.0116231480285006,-0.983001021376571,0.325606935968062
$\text{DLPFC (R) distr.}$,0.00358170505067209,0.0116231480285006,0.308152751895575,0.757966102671024
$\text{LPPC (L) incon.}$,0.0747725113724365,0.0243180033819323,3.07478003839701,0.00210657853489549
$\text{LPPC (R) incon.}$,0.064305456900073,0.0243180033819323,2.64435594855827,0.00818465361819665
$\text{LPPC (L) target}$,0.033298698722411,0.0121596548687625,2.7384575534256,0.00617281282173265
$\text{LPPC (R) target}$,0.0532642562634707,0.0121596548687625,4.38040855915275,1.18456994846472e-05
$\text{LPPC (L) distr.}$,0.00333809052012472,0.0117979892086714,0.282937241345437,0.77722494601489
$\text{LPPC (R) distr.}$,0.02188618842835,0.0117979892086714,1.85507784769491,0.0635851106581336
$\text{incon.}-\text{target } | \text{ DMFC (L)}$,0.0715681435780298,0.0316360133125413,2.26223648570973,0.047365592416142
$\text{incon.}-\text{target } | \text{ DMFC (R)}$,0.0289304730766121,0.0316360133125413,0.914479103001999,0.360465153408741
$\text{incon.}-\text{distr. } | \text{ DMFC (L)}$,0.098030617477913,0.0304426260443417,3.22017612196546,0.00256223725945359
$\text{incon.}-\text{distr. } | \text{ DMFC (R)}$,0.0804024051010042,0.0304426260443417,2.64111266169656,0.00826342356389898
$\text{target}-\text{distr. } | \text{ DMFC (L)}$,0.0264624738998833,0.0161970040857474,1.63378818451796,0.102303334136105
$\text{target}-\text{distr. } | \text{ DMFC (R)}$,0.0514719320243922,0.0161970040857474,3.17786744708454,0.00296725124369246
$\text{incon.}-\text{target } | \text{ DLPFC (L)}$,0.0113563228254984,0.0247711764212785,0.458449071306249,0.658085920811682
$\text{incon.}-\text{target } | \text{ DLPFC (R)}$,0.0109626668418398,0.0247711764212785,0.442557376177858,0.658085920811682
$\text{incon.}-\text{distr. } | \text{ DLPFC (L)}$,0.0556229816246781,0.0231033079891386,2.40757651029142,0.0321175938333154
$\text{incon.}-\text{distr. } | \text{ DLPFC (R)}$,0.048262348257505,0.0231033079891386,2.0889799971586,0.0367095238124808
$\text{target}-\text{distr. } | \text{ DLPFC (L)}$,0.0442666587991797,0.0160196942134186,2.76326490440128,0.0114452601713433
$\text{target}-\text{distr. } | \text{ DLPFC (R)}$,0.0372996814156652,0.0160196942134186,2.32836413222057,0.0198927765366579
$\text{incon.}-\text{target } | \text{ LPPC (L)}$,0.0414738126500254,0.0256670597303399,1.61583808530282,0.21225864970822
$\text{incon.}-\text{target } | \text{ LPPC (R)}$,0.0110412006366023,0.0256670597303399,0.430170060482268,0.667071939093913
$\text{incon.}-\text{distr. } | \text{ LPPC (L)}$,0.0714344208523117,0.0260031455621888,2.74714536675842,0.0120232965756295
$\text{incon.}-\text{distr. } | \text{ LPPC (R)}$,0.042419268471723,0.0260031455621888,1.63131296443631,0.102824299196158
$\text{target}-\text{distr. } | \text{ LPPC (L)}$,0.0299606082022863,0.0160440004375909,1.86740260440837,0.0618453863893045
$\text{target}-\text{distr. } | \text{ LPPC (R)}$,0.0313780678351207,0.0160440004375909,1.95575087131027,0.0618453863893045
$\text{DMFC (L)}-\text{DLPFC } | \text{ incon.} $,0.0590881264630307,0.0248393129695824,2.3788148462636,0.0173683974985437
$\text{DMFC (L)}-\text{DLPFC } | \text{ target} $,-0.00132052228132996,0.0139664117346264,-0.0945498605097003,0.924672376848715
$\text{DMFC (L)}-\text{LPPC } | \text{ incon.} $,0.03756987660139,0.025529364515742,1.47163383476403,0.141119783667475
$\text{DMFC (L)}-\text{LPPC } | \text{ target} $,-0.00774076033332588,0.0139395073037749,-0.555310899060949,0.578682025216448
$[\text{incon.}-\text{target}]\cdot[\text{DMFC (L)}-\text{DLPFC}]$,0.0604086487443606,0.027487589697209,2.1976699088496,0.02797263739829
$[\text{incon.}-\text{target}]\cdot[\text{LPPC (L)}-\text{DLPFC}]$,0.0303143178163563,0.0286881761660005,1.05668334023558,0.29065613077222
