id,r.line,r.rank,r2.line,r2.rank,t0_line,lower_line,upper_line,p.leq0_line,t0_rank,lower_rank,upper_rank,p.leq0_rank,p.geq0_line,p.geq0_rank
aud_distractor,0.00516633211533305,0.0320408163265306,2.66909875259217e-05,0.00102661391087047,0.00516633211533305,-0.330964773954868,0.270702680470784,0.5262,0.0320408163265306,-0.255998719639339,0.306151986122098,0.5909,0.4738,0.4091
aud_incongruency,0.0832617750991868,0.00775510204081633,0.00693252319266756,6.01416076634735e-05,0.0832617750991868,-0.238055024082934,0.389664732463964,0.6986,0.00775510204081633,-0.314789562857213,0.314154304999141,0.5211,0.3014,0.4789
aud_target,0.0651228291684741,0.0578571428571429,0.00424098287890625,0.00334744897959184,0.0651228291684741,-0.269722429257737,0.434054822557759,0.6227,0.0578571428571429,-0.250206631838912,0.351146276763907,0.6389,0.3773,0.3611
dlpfc.alt_L_distractor,-0.278873984121876,-0.188571428571429,0.0777706990200081,0.0355591836734694,-0.278873984121876,-0.554058126172823,0.0196879480919224,0.0388,-0.188571428571429,-0.468065988243086,0.125389887642294,0.1235,0.9612,0.8765
dlpfc.alt_L_incongruency,-0.00028102660049534,-0.0103061224489796,7.89759501859673e-08,0.000106216159933361,-0.00028102660049534,-0.272865999488948,0.246257114157641,0.507,-0.0103061224489796,-0.287948051211362,0.257420209425489,0.4733,0.493,0.5267
dlpfc.alt_L_target,-0.192731490668732,-0.168673469387755,0.0371454274953914,0.028450739275302,-0.192731490668732,-0.434320910829515,0.0857089087957948,0.0818,-0.168673469387755,-0.455540090326993,0.14421400110358,0.1382,0.9182,0.8618
dlpfc.alt_R_distractor,-0.0995468697848357,-0.0542857142857143,0.00990957928395904,0.0029469387755102,-0.0995468697848357,-0.405155702081772,0.198078062090584,0.2639,-0.0542857142857143,-0.36657452859274,0.251934267387386,0.3662,0.7361,0.6338
dlpfc.alt_R_incongruency,0.0990914448555027,0.0144897959183673,0.00981911444355113,0.000209954185755935,0.0990914448555027,-0.145754294683779,0.387845292449559,0.7504,0.0144897959183673,-0.257962091108279,0.298477877466817,0.5411,0.2496,0.4589
dlpfc.alt_R_target,-0.305287726562335,-0.261530612244898,0.093200595989599,0.0683982611411912,-0.305287726562335,-0.563177835215919,-0.0358693713985281,0.0163,-0.261530612244898,-0.522875151634317,0.0279910988329603,0.0413,0.9837,0.9587
dlpfc_L_distractor,-0.426919635793096,-0.334183673469388,0.18226037542571,0.111678727613494,-0.426919635793096,-0.663564422289503,-0.147923606351899,0.0021,-0.334183673469388,-0.600343107827277,-0.0425425710692019,0.014,0.9979,0.986
dlpfc_L_incongruency,0.0418988501676886,0.0458163265306122,0.00175551364537442,0.00209913577675968,0.0418988501676886,-0.181642264946402,0.263726777048786,0.6437,0.0458163265306122,-0.218786245216799,0.298638499330391,0.6352,0.3563,0.3648
dlpfc_L_target,-0.188582392528336,-0.162959183673469,0.0355633187717115,0.0265556955435235,-0.188582392528336,-0.428134094269805,0.0708444547255927,0.0691,-0.162959183673469,-0.430784033834775,0.145854565817532,0.141,0.9309,0.859
dlpfc_R_distractor,-0.0823673219978074,-0.0157142857142857,0.00678437573309049,0.000246938775510204,-0.0823673219978074,-0.391428976820865,0.202119204484038,0.3111,-0.0157142857142857,-0.299968173565303,0.287578280050818,0.453,0.6889,0.547
dlpfc_R_incongruency,0.167023263998251,0.0988775510204082,0.0278967707166293,0.00977677009579342,0.167023263998251,-0.134632533661827,0.45053361743995,0.8492,0.0988775510204082,-0.187798850135936,0.379084347011354,0.7465,0.1508,0.2535
dlpfc_R_target,-0.442725872997943,-0.388673469387755,0.196006198621791,0.151067065805914,-0.442725872997943,-0.66722653159622,-0.147177815391498,0.0015,-0.388673469387755,-0.632824421925836,-0.0779803324030221,0.0057,0.9985,0.9943
dmfc.alt_L_distractor,-0.0290054762249916,-0.0992857142857143,0.000841317651038554,0.00985765306122449,-0.0290054762249916,-0.273075684260669,0.236189173938433,0.3971,-0.0992857142857143,-0.377094535697131,0.19860113525044,0.2576,0.6029,0.7424
dmfc.alt_L_incongruency,0.240200365020146,0.149489795918367,0.0576962153558111,0.0223471990837151,0.240200365020146,-0.0257576742317905,0.47922824220943,0.9614,0.149489795918367,-0.155663174351275,0.429717642161467,0.8404,0.0386,0.1596
dmfc.alt_L_target,0.0695986152437593,0.0818367346938775,0.00484396724384885,0.0066972511453561,0.0695986152437593,-0.261350816631522,0.338401193314677,0.6933,0.0818367346938775,-0.227617776774768,0.379320532960981,0.6957,0.3067,0.3043
dmfc.alt_R_distractor,-0.124317407868541,0.0112244897959184,0.0154548178991532,0.000125989171178676,-0.124317407868541,-0.409950066104621,0.161175313911858,0.2083,0.0112244897959184,-0.302085632977922,0.300943642845367,0.5375,0.7917,0.4625
dmfc.alt_R_incongruency,0.0130717063581979,-0.0660204081632653,0.000170869507114952,0.00435869429404415,0.0130717063581979,-0.216773842819729,0.254506937222605,0.5354,-0.0660204081632653,-0.333927954640159,0.195177640937274,0.3306,0.4646,0.6694
dmfc.alt_R_target,-0.0905878684314431,0.0169387755102041,0.00820616190695244,0.000286922115785089,-0.0905878684314431,-0.413175579772792,0.253742365492631,0.3112,0.0169387755102041,-0.309229268415336,0.312815506202806,0.5406,0.6888,0.4594
