id,r.line,r.rank,r2.line,r2.rank,t0_line,lower_line,upper_line,p.leq0_line,t0_rank,lower_rank,upper_rank,p.leq0_rank,p.geq0_line,p.geq0_rank
dlpfc_L_incongruency,0.0418988501676886,0.0458163265306122,0.00175551364537442,0.00209913577675968,0.0418988501676886,-0.185322569088767,0.26008225461954,0.635,0.0458163265306122,-0.210744152576599,0.312333924892984,0.6274,0.365,0.3726
dlpfc_L_target,-0.188582392528336,-0.162959183673469,0.0355633187717115,0.0265556955435235,-0.188582392528336,-0.435067398179607,0.0695098585191821,0.0785,-0.162959183673469,-0.438529513162417,0.141799565138499,0.1444,0.9215,0.8556
dlpfc_R_incongruency,0.167023263998251,0.0988775510204082,0.0278967707166293,0.00977677009579342,0.167023263998251,-0.144395807588117,0.450180944197858,0.8523,0.0988775510204082,-0.180532129720572,0.371382170032846,0.7497,0.1477,0.2503
dlpfc_R_target,-0.442725872997943,-0.388673469387755,0.196006198621791,0.151067065805914,-0.442725872997943,-0.664370456750003,-0.144436870639991,0.0022,-0.388673469387755,-0.628753717661594,-0.0841121559230874,0.0046,0.9978,0.9954
dmfc_L_incongruency,0.259160285783279,0.171734693877551,0.0671640537272706,0.0294928050812162,0.259160285783279,-0.0179360583975909,0.491614891213044,0.9684,0.171734693877551,-0.123213810870611,0.439569777758388,0.8774,0.0316,0.1226
dmfc_L_target,0.0723507373472799,0.143571428571429,0.00523462919469508,0.0206127551020408,0.0723507373472799,-0.264468357514386,0.358941311274431,0.6903,0.143571428571429,-0.202687594538007,0.429301653068274,0.8124,0.3097,0.1876
dmfc_R_incongruency,-0.00158680618008443,-0.104795918367347,2.51795385315414e-06,0.0109821845064556,-0.00158680618008443,-0.217898186538174,0.224118170881817,0.4851,-0.104795918367347,-0.369614844123886,0.174412649686461,0.2321,0.5149,0.7679
dmfc_R_target,-0.0593724484121028,0.0435714285714286,0.00352508763044781,0.0018984693877551,-0.0593724484121028,-0.375949422068169,0.288606279606244,0.3627,0.0435714285714286,-0.276549521553619,0.34174403197139,0.6048,0.6373,0.3952
lppc_L_incongruency,-0.178883086274402,-0.257857142857143,0.0319991585550553,0.066490306122449,-0.178883086274402,-0.395043321276203,0.14647465671452,0.09,-0.257857142857143,-0.489767137917892,0.0381139519831136,0.0377,0.91,0.9623
lppc_L_target,-0.00984970991034706,0.00704081632653061,9.70167853179891e-05,4.957309454394e-05,-0.00984970991034706,-0.286968524000966,0.282641607314013,0.4664,0.00704081632653061,-0.307909738411498,0.315282258626528,0.5124,0.5336,0.4876
lppc_R_incongruency,-0.149746632146288,-0.182857142857143,0.0224240538391557,0.0334367346938776,-0.149746632146288,-0.400375678412564,0.13381048408252,0.1373,-0.182857142857143,-0.447359819242396,0.11709298065113,0.112,0.8627,0.888
lppc_R_target,-0.438752044702858,-0.350816326530612,0.192503356730939,0.123072094960433,-0.438752044702858,-0.626218654409106,-0.170651634518524,0.0014,-0.350816326530612,-0.590244582239315,-0.0471531554779166,0.0124,0.9986,0.9876
