"","blueBLUE","purpleBLUE","redBLUE","whiteBLUE","bluePURPLE","purplePURPLE","redPURPLE","whitePURPLE","blueRED","purpleRED","redRED","whiteRED","blueWHITE","purpleWHITE","redWHITE","whiteWHITE"
"blueBLUE",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"purpleBLUE",0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"redBLUE",0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"whiteBLUE",0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"bluePURPLE",0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"purplePURPLE",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"redPURPLE",0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"whitePURPLE",0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"blueRED",0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"purpleRED",0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"redRED",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
"whiteRED",0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"blueWHITE",0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"purpleWHITE",0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"redWHITE",0,1,1,1,1,0,1,1,1,1,0,1,1,1,1,0
"whiteWHITE",1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1
