"","blueBLUE","purpleBLUE","redBLUE","whiteBLUE","bluePURPLE","purplePURPLE","redPURPLE","whitePURPLE","blueRED","purpleRED","redRED","whiteRED","blueWHITE","purpleWHITE","redWHITE","whiteWHITE"
"blueBLUE",1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
"purpleBLUE",1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
"redBLUE",1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
"whiteBLUE",0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1
"bluePURPLE",0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1
"purplePURPLE",1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
"redPURPLE",1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
"whitePURPLE",1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
"blueRED",0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1
"purpleRED",0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1
"redRED",0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1
"whiteRED",1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
"blueWHITE",1,1,1,0,0,1,1,1,0,0,0,1,1,0,0,0
"purpleWHITE",0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1
"redWHITE",0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1
"whiteWHITE",0,0,0,1,1,0,0,0,1,1,1,0,0,1,1,1
