"","blueBLUE","purpleBLUE","redBLUE","whiteBLUE","bluePURPLE","purplePURPLE","redPURPLE","whitePURPLE","blueRED","purpleRED","redRED","whiteRED","blueWHITE","purpleWHITE","redWHITE","whiteWHITE"
"blueBLUE",0,-7094.6,-16813,-11834,0,-7094.6,-16813,-11834,0,-7094.6,-16813,-11834,0,-7094.6,-16813,-11834
"purpleBLUE",-7094.6,0,-9850.9,-7226,-7094.6,0,-9850.9,-7226,-7094.6,0,-9850.9,-7226,-7094.6,0,-9850.9,-7226
"redBLUE",-16813,-9850.9,0,-9514.5,-16813,-9850.9,0,-9514.5,-16813,-9850.9,0,-9514.5,-16813,-9850.9,0,-9514.5
"whiteBLUE",-11834,-7226,-9514.5,0,-11834,-7226,-9514.5,0,-11834,-7226,-9514.5,0,-11834,-7226,-9514.5,0
"bluePURPLE",0,-7094.6,-16813,-11834,0,-7094.6,-16813,-11834,0,-7094.6,-16813,-11834,0,-7094.6,-16813,-11834
"purplePURPLE",-7094.6,0,-9850.9,-7226,-7094.6,0,-9850.9,-7226,-7094.6,0,-9850.9,-7226,-7094.6,0,-9850.9,-7226
"redPURPLE",-16813,-9850.9,0,-9514.5,-16813,-9850.9,0,-9514.5,-16813,-9850.9,0,-9514.5,-16813,-9850.9,0,-9514.5
"whitePURPLE",-11834,-7226,-9514.5,0,-11834,-7226,-9514.5,0,-11834,-7226,-9514.5,0,-11834,-7226,-9514.5,0
"blueRED",0,-7094.6,-16813,-11834,0,-7094.6,-16813,-11834,0,-7094.6,-16813,-11834,0,-7094.6,-16813,-11834
"purpleRED",-7094.6,0,-9850.9,-7226,-7094.6,0,-9850.9,-7226,-7094.6,0,-9850.9,-7226,-7094.6,0,-9850.9,-7226
"redRED",-16813,-9850.9,0,-9514.5,-16813,-9850.9,0,-9514.5,-16813,-9850.9,0,-9514.5,-16813,-9850.9,0,-9514.5
"whiteRED",-11834,-7226,-9514.5,0,-11834,-7226,-9514.5,0,-11834,-7226,-9514.5,0,-11834,-7226,-9514.5,0
"blueWHITE",0,-7094.6,-16813,-11834,0,-7094.6,-16813,-11834,0,-7094.6,-16813,-11834,0,-7094.6,-16813,-11834
"purpleWHITE",-7094.6,0,-9850.9,-7226,-7094.6,0,-9850.9,-7226,-7094.6,0,-9850.9,-7226,-7094.6,0,-9850.9,-7226
"redWHITE",-16813,-9850.9,0,-9514.5,-16813,-9850.9,0,-9514.5,-16813,-9850.9,0,-9514.5,-16813,-9850.9,0,-9514.5
"whiteWHITE",-11834,-7226,-9514.5,0,-11834,-7226,-9514.5,0,-11834,-7226,-9514.5,0,-11834,-7226,-9514.5,0
