"","blueBLUE","purpleBLUE","redBLUE","whiteBLUE","bluePURPLE","purplePURPLE","redPURPLE","whitePURPLE","blueRED","purpleRED","redRED","whiteRED","blueWHITE","purpleWHITE","redWHITE","whiteWHITE"
"blueBLUE",0,0,0,0,-23.5,-23.5,-23.5,-23.5,-22.25,-22.25,-22.25,-22.25,-26.5,-26.5,-26.5,-26.5
"purpleBLUE",0,0,0,0,-23.5,-23.5,-23.5,-23.5,-22.25,-22.25,-22.25,-22.25,-26.5,-26.5,-26.5,-26.5
"redBLUE",0,0,0,0,-23.5,-23.5,-23.5,-23.5,-22.25,-22.25,-22.25,-22.25,-26.5,-26.5,-26.5,-26.5
"whiteBLUE",0,0,0,0,-23.5,-23.5,-23.5,-23.5,-22.25,-22.25,-22.25,-22.25,-26.5,-26.5,-26.5,-26.5
"bluePURPLE",-23.5,-23.5,-23.5,-23.5,0,0,0,0,-19.25,-19.25,-19.25,-19.25,-29,-29,-29,-29
"purplePURPLE",-23.5,-23.5,-23.5,-23.5,0,0,0,0,-19.25,-19.25,-19.25,-19.25,-29,-29,-29,-29
"redPURPLE",-23.5,-23.5,-23.5,-23.5,0,0,0,0,-19.25,-19.25,-19.25,-19.25,-29,-29,-29,-29
"whitePURPLE",-23.5,-23.5,-23.5,-23.5,0,0,0,0,-19.25,-19.25,-19.25,-19.25,-29,-29,-29,-29
"blueRED",-22.25,-22.25,-22.25,-22.25,-19.25,-19.25,-19.25,-19.25,0,0,0,0,-16.75,-16.75,-16.75,-16.75
"purpleRED",-22.25,-22.25,-22.25,-22.25,-19.25,-19.25,-19.25,-19.25,0,0,0,0,-16.75,-16.75,-16.75,-16.75
"redRED",-22.25,-22.25,-22.25,-22.25,-19.25,-19.25,-19.25,-19.25,0,0,0,0,-16.75,-16.75,-16.75,-16.75
"whiteRED",-22.25,-22.25,-22.25,-22.25,-19.25,-19.25,-19.25,-19.25,0,0,0,0,-16.75,-16.75,-16.75,-16.75
"blueWHITE",-26.5,-26.5,-26.5,-26.5,-29,-29,-29,-29,-16.75,-16.75,-16.75,-16.75,0,0,0,0
"purpleWHITE",-26.5,-26.5,-26.5,-26.5,-29,-29,-29,-29,-16.75,-16.75,-16.75,-16.75,0,0,0,0
"redWHITE",-26.5,-26.5,-26.5,-26.5,-29,-29,-29,-29,-16.75,-16.75,-16.75,-16.75,0,0,0,0
"whiteWHITE",-26.5,-26.5,-26.5,-26.5,-29,-29,-29,-29,-16.75,-16.75,-16.75,-16.75,0,0,0,0
