"","blueBLUE","purpleBLUE","redBLUE","whiteBLUE","bluePURPLE","purplePURPLE","redPURPLE","whitePURPLE","blueRED","purpleRED","redRED","whiteRED","blueWHITE","purpleWHITE","redWHITE","whiteWHITE"
"blueBLUE",1,1,1,1,0.25,0.25,0.25,0.25,0,0,0,0,0.13,0.13,0.13,0.13
"purpleBLUE",1,1,1,1,0.25,0.25,0.25,0.25,0,0,0,0,0.13,0.13,0.13,0.13
"redBLUE",1,1,1,1,0.25,0.25,0.25,0.25,0,0,0,0,0.13,0.13,0.13,0.13
"whiteBLUE",1,1,1,1,0.25,0.25,0.25,0.25,0,0,0,0,0.13,0.13,0.13,0.13
"bluePURPLE",0.14,0.14,0.14,0.14,1,1,1,1,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
"purplePURPLE",0.14,0.14,0.14,0.14,1,1,1,1,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
"redPURPLE",0.14,0.14,0.14,0.14,1,1,1,1,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
"whitePURPLE",0.14,0.14,0.14,0.14,1,1,1,1,0.07,0.07,0.07,0.07,0.07,0.07,0.07,0.07
"blueRED",0,0,0,0,0.2,0.2,0.2,0.2,1,1,1,1,0,0,0,0
"purpleRED",0,0,0,0,0.2,0.2,0.2,0.2,1,1,1,1,0,0,0,0
"redRED",0,0,0,0,0.2,0.2,0.2,0.2,1,1,1,1,0,0,0,0
"whiteRED",0,0,0,0,0.2,0.2,0.2,0.2,1,1,1,1,0,0,0,0
"blueWHITE",0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0,0,0,0,1,1,1,1
"purpleWHITE",0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0,0,0,0,1,1,1,1
"redWHITE",0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0,0,0,0,1,1,1,1
"whiteWHITE",0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0,0,0,0,1,1,1,1
