"","blueBLUE","purpleBLUE","redBLUE","whiteBLUE","bluePURPLE","purplePURPLE","redPURPLE","whitePURPLE","blueRED","purpleRED","redRED","whiteRED","blueWHITE","purpleWHITE","redWHITE","whiteWHITE"
"blueBLUE",1,1,1,1,0.49539,0.49539,0.49539,0.49539,0.46892,0.46892,0.46892,0.46892,0.4494,0.4494,0.4494,0.4494
"purpleBLUE",1,1,1,1,0.49539,0.49539,0.49539,0.49539,0.46892,0.46892,0.46892,0.46892,0.4494,0.4494,0.4494,0.4494
"redBLUE",1,1,1,1,0.49539,0.49539,0.49539,0.49539,0.46892,0.46892,0.46892,0.46892,0.4494,0.4494,0.4494,0.4494
"whiteBLUE",1,1,1,1,0.49539,0.49539,0.49539,0.49539,0.46892,0.46892,0.46892,0.46892,0.4494,0.4494,0.4494,0.4494
"bluePURPLE",0.49539,0.49539,0.49539,0.49539,1,1,1,1,0.41963,0.41963,0.41963,0.41963,0.45052,0.45052,0.45052,0.45052
"purplePURPLE",0.49539,0.49539,0.49539,0.49539,1,1,1,1,0.41963,0.41963,0.41963,0.41963,0.45052,0.45052,0.45052,0.45052
"redPURPLE",0.49539,0.49539,0.49539,0.49539,1,1,1,1,0.41963,0.41963,0.41963,0.41963,0.45052,0.45052,0.45052,0.45052
"whitePURPLE",0.49539,0.49539,0.49539,0.49539,1,1,1,1,0.41963,0.41963,0.41963,0.41963,0.45052,0.45052,0.45052,0.45052
"blueRED",0.46892,0.46892,0.46892,0.46892,0.41963,0.41963,0.41963,0.41963,1,1,1,1,0.48068,0.48068,0.48068,0.48068
"purpleRED",0.46892,0.46892,0.46892,0.46892,0.41963,0.41963,0.41963,0.41963,1,1,1,1,0.48068,0.48068,0.48068,0.48068
"redRED",0.46892,0.46892,0.46892,0.46892,0.41963,0.41963,0.41963,0.41963,1,1,1,1,0.48068,0.48068,0.48068,0.48068
"whiteRED",0.46892,0.46892,0.46892,0.46892,0.41963,0.41963,0.41963,0.41963,1,1,1,1,0.48068,0.48068,0.48068,0.48068
"blueWHITE",0.4494,0.4494,0.4494,0.4494,0.45052,0.45052,0.45052,0.45052,0.48068,0.48068,0.48068,0.48068,1,1,1,1
"purpleWHITE",0.4494,0.4494,0.4494,0.4494,0.45052,0.45052,0.45052,0.45052,0.48068,0.48068,0.48068,0.48068,1,1,1,1
"redWHITE",0.4494,0.4494,0.4494,0.4494,0.45052,0.45052,0.45052,0.45052,0.48068,0.48068,0.48068,0.48068,1,1,1,1
"whiteWHITE",0.4494,0.4494,0.4494,0.4494,0.45052,0.45052,0.45052,0.45052,0.48068,0.48068,0.48068,0.48068,1,1,1,1
