"","blueBLUE","purpleBLUE","redBLUE","whiteBLUE","bluePURPLE","purplePURPLE","redPURPLE","whitePURPLE","blueRED","purpleRED","redRED","whiteRED","blueWHITE","purpleWHITE","redWHITE","whiteWHITE"
"blueBLUE",0,-23.5,-22.25,-26.5,0,-23.5,-22.25,-26.5,0,-23.5,-22.25,-26.5,0,-23.5,-22.25,-26.5
"purpleBLUE",-23.5,0,-19.25,-29,-23.5,0,-19.25,-29,-23.5,0,-19.25,-29,-23.5,0,-19.25,-29
"redBLUE",-22.25,-19.25,0,-16.75,-22.25,-19.25,0,-16.75,-22.25,-19.25,0,-16.75,-22.25,-19.25,0,-16.75
"whiteBLUE",-26.5,-29,-16.75,0,-26.5,-29,-16.75,0,-26.5,-29,-16.75,0,-26.5,-29,-16.75,0
"bluePURPLE",0,-23.5,-22.25,-26.5,0,-23.5,-22.25,-26.5,0,-23.5,-22.25,-26.5,0,-23.5,-22.25,-26.5
"purplePURPLE",-23.5,0,-19.25,-29,-23.5,0,-19.25,-29,-23.5,0,-19.25,-29,-23.5,0,-19.25,-29
"redPURPLE",-22.25,-19.25,0,-16.75,-22.25,-19.25,0,-16.75,-22.25,-19.25,0,-16.75,-22.25,-19.25,0,-16.75
"whitePURPLE",-26.5,-29,-16.75,0,-26.5,-29,-16.75,0,-26.5,-29,-16.75,0,-26.5,-29,-16.75,0
"blueRED",0,-23.5,-22.25,-26.5,0,-23.5,-22.25,-26.5,0,-23.5,-22.25,-26.5,0,-23.5,-22.25,-26.5
"purpleRED",-23.5,0,-19.25,-29,-23.5,0,-19.25,-29,-23.5,0,-19.25,-29,-23.5,0,-19.25,-29
"redRED",-22.25,-19.25,0,-16.75,-22.25,-19.25,0,-16.75,-22.25,-19.25,0,-16.75,-22.25,-19.25,0,-16.75
"whiteRED",-26.5,-29,-16.75,0,-26.5,-29,-16.75,0,-26.5,-29,-16.75,0,-26.5,-29,-16.75,0
"blueWHITE",0,-23.5,-22.25,-26.5,0,-23.5,-22.25,-26.5,0,-23.5,-22.25,-26.5,0,-23.5,-22.25,-26.5
"purpleWHITE",-23.5,0,-19.25,-29,-23.5,0,-19.25,-29,-23.5,0,-19.25,-29,-23.5,0,-19.25,-29
"redWHITE",-22.25,-19.25,0,-16.75,-22.25,-19.25,0,-16.75,-22.25,-19.25,0,-16.75,-22.25,-19.25,0,-16.75
"whiteWHITE",-26.5,-29,-16.75,0,-26.5,-29,-16.75,0,-26.5,-29,-16.75,0,-26.5,-29,-16.75,0
