".row",".col","target","distractor","congruency","incongruency","silhou","orthog","dphono","cielab","tphono"
"blueBLUE","blueBLUE",1,1,1,0,1,1,0,0,0
"purpleBLUE","blueBLUE",0,1,0,0,1,1,0,-7094.6,-23.5
"redBLUE","blueBLUE",0,1,0,0,1,1,0,-16813,-22.25
"whiteBLUE","blueBLUE",0,1,0,0,1,1,0,-11834,-26.5
"bluePURPLE","blueBLUE",1,0,0,0,0.49539,0.14,-23.5,0,0
"purplePURPLE","blueBLUE",0,0,1,0,0.49539,0.14,-23.5,-7094.6,-23.5
"redPURPLE","blueBLUE",0,0,0,0,0.49539,0.14,-23.5,-16813,-22.25
"whitePURPLE","blueBLUE",0,0,0,0,0.49539,0.14,-23.5,-11834,-26.5
"blueRED","blueBLUE",1,0,0,0,0.46892,0,-22.25,0,0
"purpleRED","blueBLUE",0,0,0,0,0.46892,0,-22.25,-7094.6,-23.5
"redRED","blueBLUE",0,0,1,0,0.46892,0,-22.25,-16813,-22.25
"whiteRED","blueBLUE",0,0,0,0,0.46892,0,-22.25,-11834,-26.5
"blueWHITE","blueBLUE",1,0,0,0,0.4494,0.09,-26.5,0,0
"purpleWHITE","blueBLUE",0,0,0,0,0.4494,0.09,-26.5,-7094.6,-23.5
"redWHITE","blueBLUE",0,0,0,0,0.4494,0.09,-26.5,-16813,-22.25
"whiteWHITE","blueBLUE",0,0,1,0,0.4494,0.09,-26.5,-11834,-26.5
"blueBLUE","purpleBLUE",0,1,0,0,1,1,0,-7094.6,-23.5
"purpleBLUE","purpleBLUE",1,1,0,1,1,1,0,0,0
"redBLUE","purpleBLUE",0,1,0,1,1,1,0,-9850.9,-19.25
"whiteBLUE","purpleBLUE",0,1,0,1,1,1,0,-7226,-29
"bluePURPLE","purpleBLUE",0,0,0,1,0.49539,0.14,-23.5,-7094.6,-23.5
"purplePURPLE","purpleBLUE",1,0,0,0,0.49539,0.14,-23.5,0,0
"redPURPLE","purpleBLUE",0,0,0,1,0.49539,0.14,-23.5,-9850.9,-19.25
"whitePURPLE","purpleBLUE",0,0,0,1,0.49539,0.14,-23.5,-7226,-29
"blueRED","purpleBLUE",0,0,0,1,0.46892,0,-22.25,-7094.6,-23.5
"purpleRED","purpleBLUE",1,0,0,1,0.46892,0,-22.25,0,0
"redRED","purpleBLUE",0,0,0,0,0.46892,0,-22.25,-9850.9,-19.25
"whiteRED","purpleBLUE",0,0,0,1,0.46892,0,-22.25,-7226,-29
"blueWHITE","purpleBLUE",0,0,0,1,0.4494,0.09,-26.5,-7094.6,-23.5
"purpleWHITE","purpleBLUE",1,0,0,1,0.4494,0.09,-26.5,0,0
"redWHITE","purpleBLUE",0,0,0,1,0.4494,0.09,-26.5,-9850.9,-19.25
