".row",".col","target","distractor","congruency","incongruency"
"purpleBLUE","blueBLUE",0,1,0,0
"redBLUE","blueBLUE",0,1,0,0
"whiteBLUE","blueBLUE",0,1,0,0
"bluePURPLE","blueBLUE",1,0,0,0
"purplePURPLE","blueBLUE",0,0,1,0
"redPURPLE","blueBLUE",0,0,0,0
"whitePURPLE","blueBLUE",0,0,0,0
"blueRED","blueBLUE",1,0,0,0
"purpleRED","blueBLUE",0,0,0,0
"redRED","blueBLUE",0,0,1,0
"whiteRED","blueBLUE",0,0,0,0
"blueWHITE","blueBLUE",1,0,0,0
"purpleWHITE","blueBLUE",0,0,0,0
"redWHITE","blueBLUE",0,0,0,0
"whiteWHITE","blueBLUE",0,0,1,0
"redBLUE","purpleBLUE",0,1,1,1
"whiteBLUE","purpleBLUE",0,1,1,1
"bluePURPLE","purpleBLUE",0,0,1,1
"purplePURPLE","purpleBLUE",1,0,0,0
"redPURPLE","purpleBLUE",0,0,1,1
"whitePURPLE","purpleBLUE",0,0,1,1
"blueRED","purpleBLUE",0,0,1,1
"purpleRED","purpleBLUE",1,0,1,1
"redRED","purpleBLUE",0,0,0,0
"whiteRED","purpleBLUE",0,0,1,1
"blueWHITE","purpleBLUE",0,0,1,1
"purpleWHITE","purpleBLUE",1,0,1,1
"redWHITE","purpleBLUE",0,0,1,1
"whiteWHITE","purpleBLUE",0,0,0,0
"whiteBLUE","redBLUE",0,1,1,1
"bluePURPLE","redBLUE",0,0,1,1
"purplePURPLE","redBLUE",0,0,0,0
"redPURPLE","redBLUE",1,0,1,1
"whitePURPLE","redBLUE",0,0,1,1
"blueRED","redBLUE",0,0,1,1
"purpleRED","redBLUE",0,0,1,1
"redRED","redBLUE",1,0,0,0
"whiteRED","redBLUE",0,0,1,1
"blueWHITE","redBLUE",0,0,1,1
"purpleWHITE","redBLUE",0,0,1,1
"redWHITE","redBLUE",1,0,1,1
"whiteWHITE","redBLUE",0,0,0,0
"bluePURPLE","whiteBLUE",0,0,1,1
"purplePURPLE","whiteBLUE",0,0,0,0
"redPURPLE","whiteBLUE",0,0,1,1
"whitePURPLE","whiteBLUE",1,0,1,1
"blueRED","whiteBLUE",0,0,1,1
"purpleRED","whiteBLUE",0,0,1,1
"redRED","whiteBLUE",0,0,0,0
"whiteRED","whiteBLUE",1,0,1,1
"blueWHITE","whiteBLUE",0,0,1,1
"purpleWHITE","whiteBLUE",0,0,1,1
"redWHITE","whiteBLUE",0,0,1,1
"whiteWHITE","whiteBLUE",1,0,0,0
"purplePURPLE","bluePURPLE",0,1,0,0
"redPURPLE","bluePURPLE",0,1,1,1
"whitePURPLE","bluePURPLE",0,1,1,1
"blueRED","bluePURPLE",1,0,1,1
"purpleRED","bluePURPLE",0,0,1,1
"redRED","bluePURPLE",0,0,0,0
"whiteRED","bluePURPLE",0,0,1,1
"blueWHITE","bluePURPLE",1,0,1,1
"purpleWHITE","bluePURPLE",0,0,1,1
"redWHITE","bluePURPLE",0,0,1,1
"whiteWHITE","bluePURPLE",0,0,0,0
"redPURPLE","purplePURPLE",0,1,0,0
"whitePURPLE","purplePURPLE",0,1,0,0
"blueRED","purplePURPLE",0,0,0,0
"purpleRED","purplePURPLE",1,0,0,0
"redRED","purplePURPLE",0,0,1,0
"whiteRED","purplePURPLE",0,0,0,0
"blueWHITE","purplePURPLE",0,0,0,0
"purpleWHITE","purplePURPLE",1,0,0,0
"redWHITE","purplePURPLE",0,0,0,0
"whiteWHITE","purplePURPLE",0,0,1,0
"whitePURPLE","redPURPLE",0,1,1,1
"blueRED","redPURPLE",0,0,1,1
"purpleRED","redPURPLE",0,0,1,1
"redRED","redPURPLE",1,0,0,0
"whiteRED","redPURPLE",0,0,1,1
"blueWHITE","redPURPLE",0,0,1,1
"purpleWHITE","redPURPLE",0,0,1,1
"redWHITE","redPURPLE",1,0,1,1
"whiteWHITE","redPURPLE",0,0,0,0
"blueRED","whitePURPLE",0,0,1,1
"purpleRED","whitePURPLE",0,0,1,1
"redRED","whitePURPLE",0,0,0,0
"whiteRED","whitePURPLE",1,0,1,1
"blueWHITE","whitePURPLE",0,0,1,1
"purpleWHITE","whitePURPLE",0,0,1,1
"redWHITE","whitePURPLE",0,0,1,1
"whiteWHITE","whitePURPLE",1,0,0,0
"purpleRED","blueRED",0,1,1,1
"redRED","blueRED",0,1,0,0
"whiteRED","blueRED",0,1,1,1
"blueWHITE","blueRED",1,0,1,1
"purpleWHITE","blueRED",0,0,1,1
"redWHITE","blueRED",0,0,1,1
"whiteWHITE","blueRED",0,0,0,0
"redRED","purpleRED",0,1,0,0
"whiteRED","purpleRED",0,1,1,1
"blueWHITE","purpleRED",0,0,1,1
"purpleWHITE","purpleRED",1,0,1,1
"redWHITE","purpleRED",0,0,1,1
"whiteWHITE","purpleRED",0,0,0,0
"whiteRED","redRED",0,1,0,0
"blueWHITE","redRED",0,0,0,0
"purpleWHITE","redRED",0,0,0,0
"redWHITE","redRED",1,0,0,0
"whiteWHITE","redRED",0,0,1,0
"blueWHITE","whiteRED",0,0,1,1
"purpleWHITE","whiteRED",0,0,1,1
"redWHITE","whiteRED",0,0,1,1
"whiteWHITE","whiteRED",1,0,0,0
"purpleWHITE","blueWHITE",0,1,1,1
"redWHITE","blueWHITE",0,1,1,1
"whiteWHITE","blueWHITE",0,1,0,0
"redWHITE","purpleWHITE",0,1,1,1
"whiteWHITE","purpleWHITE",0,1,0,0
"whiteWHITE","redWHITE",0,1,0,0
