num.roi,param,y,v,p,m,p.fdr,roi,hemi,community,community.short,measure
1,congruency,r,835,0.648462479691576,-0.00210277678952647,0.999785144695677,V1_L,L,primary visual cortex,V1,beta
1,congruency,rank,728,0.882742034299377,-0.00651371908506394,0.999860659065802,V1_L,L,primary visual cortex,V1,beta
1,distractor,r,1155,0.0209667490651182,0.0267684758902944,0.773542022343085,V1_L,L,primary visual cortex,V1,beta
1,distractor,rank,1118,0.0396378295050895,0.02469742986971,0.893748506833008,V1_L,L,primary visual cortex,V1,beta
1,incongruency,r,1023,0.149670716391018,0.0257834156682137,0.227347923631925,V1_L,L,primary visual cortex,V1,beta
1,incongruency,rank,985,0.226319223582583,0.0199698734429094,0.322035258852687,V1_L,L,primary visual cortex,V1,beta
1,target,r,983,0.230887362287312,0.00877050821063747,0.394336520096313,V1_L,L,primary visual cortex,V1,beta
1,target,rank,1014,0.166044453025461,0.0117572434526423,0.335820242073966,V1_L,L,primary visual cortex,V1,beta
2,congruency,r,1080,0.0710410665456919,0.0229013445406881,0.665277915943053,MST_L,L,MT+ complex and neighbors,MT+,beta
2,congruency,rank,1056,0.0990593606196757,0.0245102413068799,0.999860659065802,MST_L,L,MT+ complex and neighbors,MT+,beta
2,distractor,r,689,0.930986341904921,-0.0126295823500186,0.977128522115952,MST_L,L,MT+ complex and neighbors,MT+,beta
2,distractor,rank,748,0.850329283608982,-0.00981339464041456,0.961594646934386,MST_L,L,MT+ complex and neighbors,MT+,beta
2,incongruency,r,886,0.498494400200103,0.00908762278522396,0.600193926662331,MST_L,L,MT+ complex and neighbors,MT+,beta
2,incongruency,rank,904,0.444473183139766,0.00901537162350155,0.555591478924707,MST_L,L,MT+ complex and neighbors,MT+,beta
2,target,r,1147,0.0242024880030573,0.0275764050504294,0.192795652706621,MST_L,L,MT+ complex and neighbors,MT+,beta
2,target,rank,1149,0.0233565807401532,0.028116915512706,0.155587422876797,MST_L,L,MT+ complex and neighbors,MT+,beta
3,congruency,r,764,0.820449398974059,-0.0131784269605098,0.999785144695677,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,congruency,rank,675,0.943952749727058,-0.0165222188104491,0.999860659065802,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,distractor,r,1065,0.0877308140901519,0.0112766573815616,0.849080233882935,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,distractor,rank,935,0.354341736168052,0.00567720692166423,0.950475572967387,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,incongruency,r,1112,0.0436684008328114,0.0511035931600769,0.0823069335068696,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,incongruency,rank,1144,0.025519496003445,0.0553223799593722,0.0560184058612207,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,target,r,1010,0.173679829856707,0.0111628341450068,0.347359659713415,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,target,rank,1089,0.0622675824032341,0.0149221952169562,0.229812897421105,V6_L,L,dorsal stream visual cortex,d vis.,beta
4,congruency,r,804,0.730775483343795,-0.012758672884762,0.999785144695677,V2_L,L,early visual cortex,early vis.,beta
4,congruency,rank,726,0.885686303126838,-0.0117026863856217,0.999860659065802,V2_L,L,early visual cortex,early vis.,beta
4,distractor,r,1292,0.00107657397258322,0.0309378860665592,0.153976002817095,V2_L,L,early visual cortex,early vis.,beta
4,distractor,rank,1176,0.0141649682582545,0.0251968370314499,0.893748506833008,V2_L,L,early visual cortex,early vis.,beta
4,incongruency,r,1067,0.0853500626341341,0.04400302493112,0.142911732782736,V2_L,L,early visual cortex,early vis.,beta
4,incongruency,rank,1073,0.0784982647828516,0.0437532573811939,0.135212322114003,V2_L,L,early visual cortex,early vis.,beta
4,target,r,1034,0.131170657730741,0.0157598971263449,0.306253380259967,V2_L,L,early visual cortex,early vis.,beta
4,target,rank,984,0.228596884184836,0.0143834623423149,0.382766875844376,V2_L,L,early visual cortex,early vis.,beta
5,congruency,r,764,0.820449398974059,-0.0106637302878378,0.999785144695677,V3_L,L,early visual cortex,early vis.,beta
5,congruency,rank,744,0.857248449933167,-0.00715481234507243,0.999860659065802,V3_L,L,early visual cortex,early vis.,beta
5,distractor,r,1186,0.0116595216740334,0.0266742148111601,0.699571300442006,V3_L,L,early visual cortex,early vis.,beta
5,distractor,rank,1160,0.0191364789773733,0.0263259907294428,0.893748506833008,V3_L,L,early visual cortex,early vis.,beta
5,incongruency,r,1136,0.0293276615224368,0.0581778510872687,0.0617424453103933,V3_L,L,early visual cortex,early vis.,beta
