num.roi,param,y,v,p,m,p.fdr,roi,hemi,community,community.short,measure
1,congruency,r,858,0.943430915060372,-0.0115689575147149,0.999773453623181,V1_L,L,primary visual cortex,V1,beta
1,congruency,rank,806,0.972344449647116,-0.012517723713765,0.999767953648816,V1_L,L,primary visual cortex,V1,beta
1,distractor,r,1171,0.338988496647004,0.00558786947845252,0.999978279443166,V1_L,L,primary visual cortex,V1,beta
1,distractor,rank,1201,0.271969351398229,0.00695978992701196,0.999981599740857,V1_L,L,primary visual cortex,V1,beta
1,incongruency,r,1345,0.0634114180764935,0.0272493341699554,0.268566005971031,V1_L,L,primary visual cortex,V1,beta
1,incongruency,rank,1274,0.141591222455486,0.0212856112407037,0.376343038299725,V1_L,L,primary visual cortex,V1,beta
1,target,r,1003,0.744722056760774,-0.000240501171960936,0.814164245204774,V1_L,L,primary visual cortex,V1,beta
1,target,rank,1030,0.686337078150192,0.000729678551243377,0.78218251166874,V1_L,L,primary visual cortex,V1,beta
2,congruency,r,1111,0.487259787770293,0.00589373099007322,0.999773453623181,MST_L,L,MT+ complex and neighbors,MT+,beta
2,congruency,rank,1086,0.550831190029716,0.00468075666046022,0.999767953648816,MST_L,L,MT+ complex and neighbors,MT+,beta
2,distractor,r,1330,0.0762251103853373,0.0258386342138067,0.999978279443166,MST_L,L,MT+ complex and neighbors,MT+,beta
2,distractor,rank,1358,0.0537211475287858,0.0275561948077499,0.999981599740857,MST_L,L,MT+ complex and neighbors,MT+,beta
2,incongruency,r,1243,0.190741487308212,0.0183529079647404,0.426502704540101,MST_L,L,MT+ complex and neighbors,MT+,beta
2,incongruency,rank,1256,0.168977886445248,0.0163296546954484,0.40286118622708,MST_L,L,MT+ complex and neighbors,MT+,beta
2,target,r,1256,0.168977886445248,0.0113358558499039,0.453970441196187,MST_L,L,MT+ complex and neighbors,MT+,beta
2,target,rank,1275,0.140163349133169,0.0101490204707476,0.413596767933941,MST_L,L,MT+ complex and neighbors,MT+,beta
3,congruency,r,1043,0.656323236354669,0.0027793594433572,0.999773453623181,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,congruency,rank,1025,0.697573587600136,0.000599846033750092,0.999767953648816,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,distractor,r,869,0.934983942332173,-0.00844708094307523,0.999978279443166,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,distractor,rank,925,0.876209051957988,-0.00657085520879183,0.999981599740857,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,incongruency,r,1224,0.225486587554654,0.018259315326635,0.463858122969573,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,incongruency,rank,1203,0.267746135009389,0.0166663804421594,0.485736492746126,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,target,r,1275,0.140163349133169,0.0160244743512498,0.434989704206386,V6_L,L,dorsal stream visual cortex,d vis.,beta
3,target,rank,1332,0.0744107954954093,0.0168482828243527,0.351328044608233,V6_L,L,dorsal stream visual cortex,d vis.,beta
4,congruency,r,996,0.758875188351327,-0.00219462925525123,0.999773453623181,V2_L,L,early visual cortex,early vis.,beta
4,congruency,rank,950,0.840506242848247,-0.00267823572942308,0.999767953648816,V2_L,L,early visual cortex,early vis.,beta
4,distractor,r,1179,0.320489678733827,0.00378679031099779,0.999978279443166,V2_L,L,early visual cortex,early vis.,beta
4,distractor,rank,1117,0.47198982024212,0.000240897812326485,0.999981599740857,V2_L,L,early visual cortex,early vis.,beta
4,incongruency,r,1274,0.141591222455486,0.0273898862228014,0.365180217217051,V2_L,L,early visual cortex,early vis.,beta
4,incongruency,rank,1272,0.144476445497554,0.0274590345846447,0.376343038299725,V2_L,L,early visual cortex,early vis.,beta
4,target,r,1079,0.568469198335368,0.00104052735216344,0.708127721109801,V2_L,L,early visual cortex,early vis.,beta
4,target,rank,1029,0.688598708701131,-0.00121849506874347,0.78218251166874,V2_L,L,early visual cortex,early vis.,beta
5,congruency,r,1001,0.748809629753515,0.000846005336221004,0.999773453623181,V3_L,L,early visual cortex,early vis.,beta
5,congruency,rank,951,0.83895023008914,-0.000293034619385275,0.999767953648816,V3_L,L,early visual cortex,early vis.,beta
5,distractor,r,1035,0.67492498253292,-0.00304000603023042,0.999978279443166,V3_L,L,early visual cortex,early vis.,beta
5,distractor,rank,1096,0.525467434759508,0.00139700912842896,0.999981599740857,V3_L,L,early visual cortex,early vis.,beta
5,incongruency,r,1128,0.444117549319257,0.00811848952919078,0.61969890602687,V3_L,L,early visual cortex,early vis.,beta
5,incongruency,rank,1153,0.381997117163914,0.00962288669797439,0.575393147192507,V3_L,L,early visual cortex,early vis.,beta
5,target,r,1192,0.291374067834084,0.00830201795252069,0.537921356001385,V3_L,L,early visual cortex,early vis.,beta
5,target,rank,1198,0.278365671361102,0.00967748328020497,0.523165293150661,V3_L,L,early visual cortex,early vis.,beta
6,congruency,r,782,0.980761572131264,-0.01834802639162,0.999773453623181,V4_L,L,early visual cortex,early vis.,beta
6,congruency,rank,709,0.994394755930134,-0.0212589133765377,0.999767953648816,V4_L,L,early visual cortex,early vis.,beta
6,distractor,r,873,0.931680303556244,-0.0126507823192153,0.999978279443166,V4_L,L,early visual cortex,early vis.,beta
6,distractor,rank,851,0.948339332566184,-0.0130335063127969,0.999981599740857,V4_L,L,early visual cortex,early vis.,beta
6,incongruency,r,1128,0.444117549319257,0.00925144194291332,0.61969890602687,V4_L,L,early visual cortex,early vis.,beta
6,incongruency,rank,1131,0.436557900373872,0.00905258483972565,0.618743480844858,V4_L,L,early visual cortex,early vis.,beta
6,target,r,1148,0.394234429212884,0.00896513626551021,0.596320985364027,V4_L,L,early visual cortex,early vis.,beta
6,target,rank,1166,0.350754276295127,0.0110973458189601,0.579227245258008,V4_L,L,early visual cortex,early vis.,beta
7,congruency,r,735,0.991105431585913,-0.0160700345005795,0.999773453623181,V8_L,L,ventral stream visual cortex,v vis.,beta
