num.roi,param,y,v,p,m,p.fdr,roi,hemi,community,community.short,measure
1,congruency,r,475,0.914337457861702,-0.0158309091281976,0.984569171276009,V1_L,L,primary visual cortex,V1,beta
1,congruency,rank,448,0.949467669652723,-0.0174429831817302,0.999933584575897,V1_L,L,primary visual cortex,V1,beta
1,distractor,r,988,5.25267648665562e-05,0.0465883641850548,0.00945481767598011,V1_L,L,primary visual cortex,V1,beta
1,distractor,rank,1025,8.00780580867411e-06,0.0498340280616567,0.00144140504556134,V1_L,L,primary visual cortex,V1,beta
1,incongruency,r,833,0.0138689784908213,0.0716151774313302,0.161059105054698,V1_L,L,primary visual cortex,V1,beta
1,incongruency,rank,800,0.031242714183799,0.0618232465367056,0.197322405371362,V1_L,L,primary visual cortex,V1,beta
1,target,r,801,0.0305329559343832,0.023635299703742,0.0520941428264358,V1_L,L,primary visual cortex,V1,beta
1,target,rank,744,0.0971734764527383,0.0195629400083282,0.121046545062235,V1_L,L,primary visual cortex,V1,beta
2,congruency,r,467,0.926228367822247,-0.0238356911910726,0.984569171276009,MST_L,L,MT+ complex and neighbors,MT+,beta
2,congruency,rank,415,0.975868908083688,-0.0236516351479011,0.999933584575897,MST_L,L,MT+ complex and neighbors,MT+,beta
2,distractor,r,537,0.773484265464893,-0.00505587719538882,0.9879837673568,MST_L,L,MT+ complex and neighbors,MT+,beta
2,distractor,rank,537,0.773484265464893,-0.00520084774397148,0.985422549238434,MST_L,L,MT+ complex and neighbors,MT+,beta
2,incongruency,r,701,0.192325488013255,0.0260554507904785,0.430044569470632,MST_L,L,MT+ complex and neighbors,MT+,beta
2,incongruency,rank,686,0.235560818381089,0.0244510118681965,0.463398331241486,MST_L,L,MT+ complex and neighbors,MT+,beta
2,target,r,740,0.10423116066667,0.0147110060793667,0.128504170684935,MST_L,L,MT+ complex and neighbors,MT+,beta
2,target,rank,737,0.109758525457469,0.0164636782152905,0.134856891347061,MST_L,L,MT+ complex and neighbors,MT+,beta
3,congruency,r,674,0.273618733115338,0.00411973305440502,0.971170003837767,V6_L,L,dorsal stream visual cortex,d vis.,beta
