num.roi,param,v,p,m,p.fdr,roi,hemi,community,community.short
1,congruency,1819,0.984259975396806,-0.0174476196948015,0.999998713932226,V1_L,L,primary visual cortex,V1
1,distractor,3982,1.75578039934577e-08,0.0475727949983536,3.16040471882238e-06,V1_L,L,primary visual cortex,V1
1,incongruency,3228,0.00224193498951161,0.0691461080364982,0.0179354799160929,V1_L,L,primary visual cortex,V1
1,target,3045,0.0141366173413187,0.0216082057342522,0.0196493522890916,V1_L,L,primary visual cortex,V1
2,congruency,1733,0.992969453256824,-0.0241382799934052,0.999998713932226,MST_L,L,MT+ complex and neighbors,MT+
2,distractor,2114,0.865549293381957,-0.00492171189006639,0.999918495817204,MST_L,L,MT+ complex and neighbors,MT+
2,incongruency,2732,0.13910824403072,0.0271653985362401,0.284539590062837,MST_L,L,MT+ complex and neighbors,MT+
2,target,2936,0.0353636596206772,0.0155278908534055,0.0440516175205668,MST_L,L,MT+ complex and neighbors,MT+
3,congruency,2568,0.307416074259937,0.00414024818440549,0.999998713932226,V6_L,L,dorsal stream visual cortex,d vis.
3,distractor,2562,0.314929090669427,0.00274881176977634,0.839810908451806,V6_L,L,dorsal stream visual cortex,d vis.
3,incongruency,2433,0.490105235913173,0.00166705228999273,0.648156320316886,V6_L,L,dorsal stream visual cortex,d vis.
3,target,3101,0.00838037394219154,0.0233641032199451,0.0125184009094977,V6_L,L,dorsal stream visual cortex,d vis.
4,congruency,2204,0.784263662699018,-0.0042379961565178,0.999998713932226,V2_L,L,early visual cortex,early vis.
4,distractor,4098,1.56281092449164e-09,0.0468552999888568,5.62611932816989e-07,V2_L,L,early visual cortex,early vis.
4,incongruency,3097,0.00870954789928177,0.0484980386160602,0.0435477394964089,V2_L,L,early visual cortex,early vis.
4,target,3482,9.12744729067212e-05,0.0338817101180179,0.000298716456785633,V2_L,L,early visual cortex,early vis.
5,congruency,2193,0.795499643857755,-0.00653543533391838,0.999998713932226,V3_L,L,early visual cortex,early vis.
5,distractor,3438,0.00016783020023916,0.0239741427314542,0.0100698120143496,V3_L,L,early visual cortex,early vis.
5,incongruency,3113,0.00745747995435975,0.0535926994233779,0.0413029659010694,V3_L,L,early visual cortex,early vis.
5,target,3428,0.000192130219468026,0.0292382346136273,0.000532052915449919,V3_L,L,early visual cortex,early vis.
6,congruency,1895,0.970057502231513,-0.0155899598294213,0.999998713932226,V4_L,L,early visual cortex,early vis.
6,distractor,2911,0.0428404419084284,0.0174491370156445,0.438177901269553,V4_L,L,early visual cortex,early vis.
6,incongruency,2697,0.168449769436362,0.0230515658361643,0.32428832618765,V4_L,L,early visual cortex,early vis.
6,target,2966,0.0278400177649513,0.0190787216603056,0.0354148635879239,V4_L,L,early visual cortex,early vis.
7,congruency,2434,0.488692053141441,0.00829883006660141,0.999998713932226,V8_L,L,ventral stream visual cortex,v vis.
7,distractor,2744,0.129901371228555,0.00898265184865084,0.645363391766608,V8_L,L,ventral stream visual cortex,v vis.
