subj,is.analysis.group,roi,param,beta
107321,TRUE,aud,target,-0.0094018113168277
115825,FALSE,aud,target,-0.0147811385612838
123117,TRUE,aud,target,0.00977997153038758
130114,TRUE,aud,target,-0.0387963559334526
130518,FALSE,aud,target,0.019727064805942
132017,TRUE,aud,target,-0.0356304626697455
138837,TRUE,aud,target,0.0832764596851629
141422,TRUE,aud,target,-0.0379294914623777
150423,TRUE,aud,target,-0.0399701103344462
158136,TRUE,aud,target,0.0683179549783604
160830,TRUE,aud,target,-0.107893025706824
161832,TRUE,aud,target,-0.111689893433609
165032,TRUE,aud,target,0.0578447334450181
171330,TRUE,aud,target,0.134286646798239
178243,TRUE,aud,target,0.0253160960944187
178647,FALSE,aud,target,-0.0328036445587936
178950,TRUE,aud,target,0.0190883062238471
182436,TRUE,aud,target,0.117572361573138
197449,TRUE,aud,target,0.00120712425385359
203418,TRUE,aud,target,0.118877085323054
204319,TRUE,aud,target,0.0168565240567514
233326,FALSE,aud,target,0.0172557087684759
300618,TRUE,aud,target,0.219584488159629
317332,TRUE,aud,target,-0.0917006304623443
346945,TRUE,aud,target,-0.0513128243942961
352738,TRUE,aud,target,-0.129658343843209
393550,FALSE,aud,target,-0.012624313203425
448347,TRUE,aud,target,-0.068130527293562
580650,TRUE,aud,target,-0.0494868382756679
594156,TRUE,aud,target,-0.0267168622414692
601127,TRUE,aud,target,0.00643535381564089
765864,TRUE,aud,target,0.0250754586829763
814649,TRUE,aud,target,-0.0516388793687048
843151,TRUE,aud,target,0.0021084223471302
849971,TRUE,aud,target,0.0850322079739059
873968,TRUE,aud,target,-0.10280653982817
877168,TRUE,aud,target,-0.0374245182974886
DMCC1328342,FALSE,aud,target,-0.058613948845613
DMCC1596165,FALSE,aud,target,-0.0207719760094071
DMCC1971064,TRUE,aud,target,0.226230708907798
DMCC2442951,TRUE,aud,target,-0.0136577472530378
DMCC2803654,FALSE,aud,target,-0.00299132561433784
DMCC2834766,FALSE,aud,target,-0.033218519177165
DMCC3062542,TRUE,aud,target,-0.0787072571054707
DMCC4191255,FALSE,aud,target,0.0138427112306258
DMCC4260551,FALSE,aud,target,-0.0939684639707143
DMCC5009144,TRUE,aud,target,0.10968041672527
DMCC5195268,FALSE,aud,target,-0.0477442667722002
DMCC5775387,FALSE,aud,target,0.101109916820962
DMCC6371570,FALSE,aud,target,-0.00315392011144797
DMCC6418065,TRUE,aud,target,-0.0534780194063777
DMCC6484785,TRUE,aud,target,0.00590825280182016
DMCC6661074,TRUE,aud,target,0.0236927624564341
DMCC6671683,TRUE,aud,target,-0.0346007436313166
DMCC6705371,FALSE,aud,target,-0.0465540756807746
DMCC6721369,TRUE,aud,target,0.0293676034886911
DMCC6904377,FALSE,aud,target,0.0893809756566436
DMCC7297690,TRUE,aud,target,0.000367493319035118
DMCC7921988,TRUE,aud,target,0.0501127946744986
DMCC8033964,TRUE,aud,target,0.0514254575971154
DMCC8050964,TRUE,aud,target,-0.0740131335975339
DMCC8078683,FALSE,aud,target,0.067874011025543
DMCC9441378,TRUE,aud,target,-0.0348731013413983
DMCC9478705,TRUE,aud,target,0.0305137975355083
DMCC9953810,TRUE,aud,target,-0.161914596993438
107321,TRUE,dlpfc_L,target,0.00412225816230972
115825,FALSE,dlpfc_L,target,-0.00824368702622571
123117,TRUE,dlpfc_L,target,0.00557891156645368
130114,TRUE,dlpfc_L,target,-0.126289160385542
130518,FALSE,dlpfc_L,target,0.0514704082923199
132017,TRUE,dlpfc_L,target,0.132094856670014
138837,TRUE,dlpfc_L,target,-0.0059465835399354
141422,TRUE,dlpfc_L,target,-0.112720454030759
150423,TRUE,dlpfc_L,target,-0.0445078371702398
158136,TRUE,dlpfc_L,target,-0.0147300145917152
160830,TRUE,dlpfc_L,target,-0.10772600033287
161832,TRUE,dlpfc_L,target,0.0491633545566991
165032,TRUE,dlpfc_L,target,-0.0289857024538309
171330,TRUE,dlpfc_L,target,-0.0426035647808229
178243,TRUE,dlpfc_L,target,-0.000291258194008711
178647,FALSE,dlpfc_L,target,0.0152218827234505
178950,TRUE,dlpfc_L,target,-0.0330667513899822
182436,TRUE,dlpfc_L,target,-0.00438478196631965
197449,TRUE,dlpfc_L,target,0.0205870137653794
203418,TRUE,dlpfc_L,target,0.00203108833480916
204319,TRUE,dlpfc_L,target,0.029218601939143
233326,FALSE,dlpfc_L,target,0.136131977694497
300618,TRUE,dlpfc_L,target,-0.0945951243610903
317332,TRUE,dlpfc_L,target,-0.108303798764784
346945,TRUE,dlpfc_L,target,0.207088156547121
352738,TRUE,dlpfc_L,target,0.0394201119135668
393550,FALSE,dlpfc_L,target,0.0145167137085738
448347,TRUE,dlpfc_L,target,0.138712110156569
580650,TRUE,dlpfc_L,target,-0.164163929499859
594156,TRUE,dlpfc_L,target,0.141672363325303
601127,TRUE,dlpfc_L,target,-0.0291440999096658
765864,TRUE,dlpfc_L,target,-0.0190609538632468
814649,TRUE,dlpfc_L,target,-0.0577876408009343
843151,TRUE,dlpfc_L,target,0.0607587682824258
849971,TRUE,dlpfc_L,target,0.0654868952959429
873968,TRUE,dlpfc_L,target,-0.0607580855512028
877168,TRUE,dlpfc_L,target,0.00276552556217174
DMCC1328342,FALSE,dlpfc_L,target,-0.0904724709114407
DMCC1596165,FALSE,dlpfc_L,target,-0.066724693051974
DMCC1971064,TRUE,dlpfc_L,target,0.106734730842961
DMCC2442951,TRUE,dlpfc_L,target,-0.00116049069008869
DMCC2803654,FALSE,dlpfc_L,target,0.0692169059239141
DMCC2834766,FALSE,dlpfc_L,target,0.0493782782100984
DMCC3062542,TRUE,dlpfc_L,target,0.167364572886899
DMCC4191255,FALSE,dlpfc_L,target,-0.0146467898498843
DMCC4260551,FALSE,dlpfc_L,target,-0.15566904297062
DMCC5009144,TRUE,dlpfc_L,target,0.0170523529367256
DMCC5195268,FALSE,dlpfc_L,target,-0.0661949031693065
DMCC5775387,FALSE,dlpfc_L,target,0.074760261349125
DMCC6371570,FALSE,dlpfc_L,target,-0.0323231838139516
DMCC6418065,TRUE,dlpfc_L,target,0.0877207913917296
DMCC6484785,TRUE,dlpfc_L,target,-0.0550386818301755
DMCC6661074,TRUE,dlpfc_L,target,-0.14794333324733
DMCC6671683,TRUE,dlpfc_L,target,-0.0903326075686548
DMCC6705371,FALSE,dlpfc_L,target,-0.0491833063398411
DMCC6721369,TRUE,dlpfc_L,target,-0.0933740179128589
DMCC6904377,FALSE,dlpfc_L,target,-0.186996208955201
DMCC7297690,TRUE,dlpfc_L,target,0.139520476931702
DMCC7921988,TRUE,dlpfc_L,target,-0.0627621938097953
DMCC8033964,TRUE,dlpfc_L,target,0.0300192484752194
DMCC8050964,TRUE,dlpfc_L,target,0.138310533026408
DMCC8078683,FALSE,dlpfc_L,target,0.0335090799293806
DMCC9441378,TRUE,dlpfc_L,target,0.202515556190404
DMCC9478705,TRUE,dlpfc_L,target,0.106955079846123
DMCC9953810,TRUE,dlpfc_L,target,-0.157105280085733
107321,TRUE,dlpfc_R,target,-0.00246616000672377
115825,FALSE,dlpfc_R,target,-0.0877826511042305
123117,TRUE,dlpfc_R,target,0.0821345052789619
