subj,is.analysis.group,roi,param,beta
107321,TRUE,aud,target,0.00392153870814247
115825,FALSE,aud,target,-0.0230867239899599
123117,TRUE,aud,target,0.0222932609050441
130114,TRUE,aud,target,-0.0573887435070986
130518,FALSE,aud,target,-0.00573734846016175
132017,TRUE,aud,target,0.0296480533459965
138837,TRUE,aud,target,-0.00508121552455869
141422,TRUE,aud,target,-0.0253603009063542
150423,TRUE,aud,target,0.0313723096651407
158136,TRUE,aud,target,0.0692143952534429
160830,TRUE,aud,target,-0.0753484752560628
161832,TRUE,aud,target,-0.103318048999352
165032,TRUE,aud,target,-0.00854498706832642
171330,TRUE,aud,target,-0.00489810865880842
178243,TRUE,aud,target,-0.012695409358656
178647,FALSE,aud,target,0.00708013214232724
178950,TRUE,aud,target,0.0138703450805513
182436,TRUE,aud,target,0.0229188760296894
197449,TRUE,aud,target,0.0393221994197798
203418,TRUE,aud,target,0.0454562794224001
204319,TRUE,aud,target,-0.000579838408208109
233326,FALSE,aud,target,-0.0231935363283143
300618,TRUE,aud,target,0.0900580601379675
317332,TRUE,aud,target,-0.0335390742431806
346945,TRUE,aud,target,0.0280458682706851
352738,TRUE,aud,target,-0.0550999076852255
393550,FALSE,aud,target,0.000701909652041116
448347,TRUE,aud,target,0.04635655484567
580650,TRUE,aud,target,-0.000717168557520396
594156,TRUE,aud,target,-0.00117493572189491
601127,TRUE,aud,target,0.0241701062789801
765864,TRUE,aud,target,0.0153199411010706
814649,TRUE,aud,target,0.0154725301558623
843151,TRUE,aud,target,-0.00598149094782829
849971,TRUE,aud,target,0.00216676457804013
873968,TRUE,aud,target,-0.0488284975332932
877168,TRUE,aud,target,-0.027557583295352
DMCC1328342,FALSE,aud,target,0.0189363016996299
DMCC1596165,FALSE,aud,target,-0.0127717038860519
DMCC1971064,TRUE,aud,target,-0.0380557102650103
DMCC2442951,TRUE,aud,target,-0.0098114762230963
DMCC2803654,FALSE,aud,target,-0.0138550861750722
DMCC2834766,FALSE,aud,target,0.0244295076721259
DMCC3062542,TRUE,aud,target,-0.00164796179174889
DMCC4191255,FALSE,aud,target,-0.0262758352351032
DMCC5009144,TRUE,aud,target,-0.0108948585121157
DMCC5195268,FALSE,aud,target,0.0615086479864702
DMCC5775387,FALSE,aud,target,-0.0342562428007009
DMCC6371570,FALSE,aud,target,-0.00680547184370261
DMCC6418065,TRUE,aud,target,0.0377047554389896
DMCC6484785,TRUE,aud,target,0.0177918837886939
DMCC6661074,TRUE,aud,target,0.0334932975267431
DMCC6671683,TRUE,aud,target,0.0112610722436156
DMCC6705371,FALSE,aud,target,-0.0110321886614283
DMCC6721369,TRUE,aud,target,0.0216981635913572
DMCC6904377,FALSE,aud,target,0.0139618985134261
DMCC7297690,TRUE,aud,target,0.0249940871748541
DMCC7921988,TRUE,aud,target,-0.0102234666710329
DMCC8033964,TRUE,aud,target,0.000396731542458043
DMCC8050964,TRUE,aud,target,0.0334170029993478
DMCC8078683,FALSE,aud,target,0.0699163049054838
DMCC9441378,TRUE,aud,target,-0.0389865034992386
DMCC9478705,TRUE,aud,target,0.0218965293625861
DMCC9953810,TRUE,aud,target,0.00273134408076881
107321,TRUE,dlpfc_L,target,0.0369265512595528
115825,FALSE,dlpfc_L,target,-0.00851446925736845
123117,TRUE,dlpfc_L,target,0.0506595661907912
130114,TRUE,dlpfc_L,target,0.0670018539589656
130518,FALSE,dlpfc_L,target,-0.00538639363414144
132017,TRUE,dlpfc_L,target,-0.0296785711569547
138837,TRUE,dlpfc_L,target,0.0368197389211987
141422,TRUE,dlpfc_L,target,0.0132599888613848
150423,TRUE,dlpfc_L,target,0.0210267717502745
158136,TRUE,dlpfc_L,target,0.0040741277629339
160830,TRUE,dlpfc_L,target,0.0178681783160895
161832,TRUE,dlpfc_L,target,0.0502017990264168
165032,TRUE,dlpfc_L,target,0.00289919204103906
171330,TRUE,dlpfc_L,target,0.0199586483667336
178243,TRUE,dlpfc_L,target,-0.047165276836065
178647,FALSE,dlpfc_L,target,-0.0130311052791976
178950,TRUE,dlpfc_L,target,-0.0152589054791541
182436,TRUE,dlpfc_L,target,-0.0654607045055708
197449,TRUE,dlpfc_L,target,-0.00698857870945241
203418,TRUE,dlpfc_L,target,0.0995796171569594
204319,TRUE,dlpfc_L,target,0.121979690400357
233326,FALSE,dlpfc_L,target,0.0765081520724783
300618,TRUE,dlpfc_L,target,-0.0305178109583079
317332,TRUE,dlpfc_L,target,0.0564426913673908
346945,TRUE,dlpfc_L,target,0.0785986221231228
352738,TRUE,dlpfc_L,target,0.0439303888744842
393550,FALSE,dlpfc_L,target,0.0503696469866877
448347,TRUE,dlpfc_L,target,0.0588841162440552
580650,TRUE,dlpfc_L,target,0.0255128899611454
594156,TRUE,dlpfc_L,target,0.0383914061855518
601127,TRUE,dlpfc_L,target,-0.0310823904610364
765864,TRUE,dlpfc_L,target,0.0517887251962489
814649,TRUE,dlpfc_L,target,-0.0760809027190625
843151,TRUE,dlpfc_L,target,0.0206605580187743
849971,TRUE,dlpfc_L,target,-0.014373888961363
873968,TRUE,dlpfc_L,target,0.0343020195171386
877168,TRUE,dlpfc_L,target,-0.00932319124776317
DMCC1328342,FALSE,dlpfc_L,target,-0.0282289751364352
