subj,is.analysis.group,roi,param,beta
107321,TRUE,aud,target,0.0527423228406286
115825,FALSE,aud,target,0.0513383026724172
123117,TRUE,aud,target,0.0758781334385434
130114,TRUE,aud,target,-0.0427310485977324
130518,FALSE,aud,target,0.0369928792146074
132017,TRUE,aud,target,0.0367487017940488
138837,TRUE,aud,target,0.0774652866721733
141422,TRUE,aud,target,0.0443792461865011
150423,TRUE,aud,target,0.198333109848615
158136,TRUE,aud,target,0.102798694055114
160830,TRUE,aud,target,-0.0896131133449578
161832,TRUE,aud,target,-0.0191068831587004
165032,TRUE,aud,target,0.0854620971954634
171330,TRUE,aud,target,0.0430973147285687
178243,TRUE,aud,target,0.0908340004477496
178647,FALSE,aud,target,-0.128254190148336
178950,TRUE,aud,target,0.0683696777563706
182436,TRUE,aud,target,-0.0199615041306549
197449,TRUE,aud,target,0.0271036936819893
203418,TRUE,aud,target,0.0758170890834039
204319,TRUE,aud,target,0.00433414921491229
233326,FALSE,aud,target,0.0622041978872691
300618,TRUE,aud,target,0.216402238969942
317332,TRUE,aud,target,0.0027469959812827
346945,TRUE,aud,target,0.158776367718143
352738,TRUE,aud,target,-0.00366266130837732
393550,FALSE,aud,target,0.0583584035134732
448347,TRUE,aud,target,0.111100726354102
580650,TRUE,aud,target,-0.0166040645979763
594156,TRUE,aud,target,-0.0662331253264847
601127,TRUE,aud,target,0.0612274882050352
765864,TRUE,aud,target,0.219698634147481
814649,TRUE,aud,target,0.0341237945230456
843151,TRUE,aud,target,0.0739857584292154
849971,TRUE,aud,target,0.0738636697189359
873968,TRUE,aud,target,-0.000366266130837975
877168,TRUE,aud,target,0.112199524746615
DMCC1328342,FALSE,aud,target,0.0715439842236303
DMCC1596165,FALSE,aud,target,-0.0170313750839534
DMCC1971064,TRUE,aud,target,-0.0496901050836485
DMCC2442951,TRUE,aud,target,-0.00518877018686804
DMCC2803654,FALSE,aud,target,0.00140402016821064
DMCC2834766,FALSE,aud,target,-0.0494459276630897
DMCC3062542,TRUE,aud,target,0.06684356887788
DMCC4191255,FALSE,aud,target,-0.0395567421304719
DMCC5009144,TRUE,aud,target,-0.0678202785601147
DMCC5195268,FALSE,aud,target,0.167749887923667
DMCC5775387,FALSE,aud,target,0.0314378428969021
DMCC6371570,FALSE,aud,target,0.0291181574015969
DMCC6418065,TRUE,aud,target,0.0441350687659424
