subj,is.analysis.group,roi,param,beta
107321,TRUE,aud,target,0.0222201452708202
115825,FALSE,aud,target,0.123858996578282
123117,TRUE,aud,target,0.0293623348221555
130114,TRUE,aud,target,-0.0381527219622611
130518,FALSE,aud,target,0.0240514759250087
132017,TRUE,aud,target,0.063974484186318
138837,TRUE,aud,target,0.0854010528403236
141422,TRUE,aud,target,0.0192900162241184
150423,TRUE,aud,target,0.156212504802279
158136,TRUE,aud,target,0.0926042867467979
160830,TRUE,aud,target,-0.114580254597061
161832,TRUE,aud,target,0.00763054439245149
165032,TRUE,aud,target,0.120013202204487
171330,TRUE,aud,target,0.0160546654017187
178243,TRUE,aud,target,0.0556114075321904
178647,FALSE,aud,target,-0.121050956241861
178950,TRUE,aud,target,-0.00775263310273168
182436,TRUE,aud,target,-0.0292402461118771
197449,TRUE,aud,target,-0.00958396375691997
203418,TRUE,aud,target,0.0491407058873914
204319,TRUE,aud,target,0.0058602580934029
233326,FALSE,aud,target,0.0744130689151924
300618,TRUE,aud,target,0.215608662353127
317332,TRUE,aud,target,0.0338185727473475
346945,TRUE,aud,target,0.127338524821241
352738,TRUE,aud,target,0.0346121493641623
393550,FALSE,aud,target,0.0748403794011701
448347,TRUE,aud,target,0.122027665924094
580650,TRUE,aud,target,-0.0126361815139014
594156,TRUE,aud,target,-0.0229526775324965
601127,TRUE,aud,target,0.0445623792519198
765864,TRUE,aud,target,0.256874646427507
814649,TRUE,aud,target,0.0365045243734907
843151,TRUE,aud,target,0.110307149737287
849971,TRUE,aud,target,0.0993191658121564
873968,TRUE,aud,target,0.0866219399431159
877168,TRUE,aud,target,0.183438287194548
DMCC1328342,FALSE,aud,target,0.0720933834198871
DMCC1596165,FALSE,aud,target,-0.028873979981039
DMCC1971064,TRUE,aud,target,-0.0246619194764054
DMCC2442951,TRUE,aud,target,0.0046393709906103
DMCC2803654,FALSE,aud,target,0.00366266130837645
DMCC2834766,FALSE,aud,target,-0.0752676898871482
DMCC3062542,TRUE,aud,target,0.0829592786347389
DMCC4191255,FALSE,aud,target,0.00586025809340293
DMCC5009144,TRUE,aud,target,-0.0850347867094867
DMCC5195268,FALSE,aud,target,0.0980372343542244
DMCC5775387,FALSE,aud,target,0.110124016671869
DMCC6371570,FALSE,aud,target,0.0503615929901836
DMCC6418065,TRUE,aud,target,0.036748701794049
DMCC6484785,TRUE,aud,target,0.0220370122054013
DMCC6661074,TRUE,aud,target,0.0698957866348606
DMCC6671683,TRUE,aud,target,-0.0749014237563107
DMCC6705371,FALSE,aud,target,-0.00366266130837766
DMCC6721369,TRUE,aud,target,0.070323097120838
DMCC6904377,FALSE,aud,target,0.132038940166991
DMCC7297690,TRUE,aud,target,0.149070315250944
DMCC7921988,TRUE,aud,target,0.0447455123173387
DMCC8033964,TRUE,aud,target,0.153648641886416
DMCC8050964,TRUE,aud,target,0.0127582702241796
DMCC8078683,FALSE,aud,target,0.0623262865975483
DMCC9441378,TRUE,aud,target,0.00158715323362968
DMCC9478705,TRUE,aud,target,-0.0168482420185348
DMCC9953810,TRUE,aud,target,-0.018191217831606
107321,TRUE,dlpfc_L,target,-0.037664367121144
115825,FALSE,dlpfc_L,target,0.105240468260699
123117,TRUE,dlpfc_L,target,0.100112742428972
130114,TRUE,dlpfc_L,target,-0.133442960335203
130518,FALSE,dlpfc_L,target,0.117632472354041
132017,TRUE,dlpfc_L,target,0.0516435244481158
138837,TRUE,dlpfc_L,target,-0.0538411212331426
141422,TRUE,dlpfc_L,target,0.0728869600367025
150423,TRUE,dlpfc_L,target,0.038946298579075
158136,TRUE,dlpfc_L,target,0.0412049397192411
160830,TRUE,dlpfc_L,target,-0.158837412073284
161832,TRUE,dlpfc_L,target,-0.00488354841116983
165032,TRUE,dlpfc_L,target,-0.0702620527656994
171330,TRUE,dlpfc_L,target,-0.00115984274765319
178243,TRUE,dlpfc_L,target,0.0126361815139005
178647,FALSE,dlpfc_L,target,-0.0723375608404465
178950,TRUE,dlpfc_L,target,0.0266763831960119
182436,TRUE,dlpfc_L,target,-0.0162377984671387
197449,TRUE,dlpfc_L,target,0.0194731492895374
203418,TRUE,dlpfc_L,target,0.0366266130837696
204319,TRUE,dlpfc_L,target,-0.0823488350833438
233326,FALSE,dlpfc_L,target,0.00958396375691908
300618,TRUE,dlpfc_L,target,0.0832645004104369
317332,TRUE,dlpfc_L,target,0.0700178753451403
346945,TRUE,dlpfc_L,target,-0.021609701719425
352738,TRUE,dlpfc_L,target,0.0115984274765266
393550,FALSE,dlpfc_L,target,0.0824098794384827
448347,TRUE,dlpfc_L,target,-0.026981604971711
580650,TRUE,dlpfc_L,target,0.0419985163360558
594156,TRUE,dlpfc_L,target,-0.0825319681487622
601127,TRUE,dlpfc_L,target,0.0273478711025481
765864,TRUE,dlpfc_L,target,-0.0105606734391543
814649,TRUE,dlpfc_L,target,0.0435856695696861
843151,TRUE,dlpfc_L,target,0.114152944111083
849971,TRUE,dlpfc_L,target,-0.130573875643641
873968,TRUE,dlpfc_L,target,0.146628541045359
877168,TRUE,dlpfc_L,target,0.195402980801913
DMCC1328342,FALSE,dlpfc_L,target,0.059884512391964
DMCC1596165,FALSE,dlpfc_L,target,-0.00982814117747862
DMCC1971064,TRUE,dlpfc_L,target,0.0678202785601138
DMCC2442951,TRUE,dlpfc_L,target,0.0758781334385436
DMCC2803654,FALSE,dlpfc_L,target,0.0780146858684295
DMCC2834766,FALSE,dlpfc_L,target,-0.0220980565605418
DMCC3062542,TRUE,dlpfc_L,target,0.0594572019059866
DMCC4191255,FALSE,dlpfc_L,target,-0.018679572672723
DMCC5009144,TRUE,dlpfc_L,target,-0.0180691291213273
DMCC5195268,FALSE,dlpfc_L,target,0.00622652422424058
DMCC5775387,FALSE,dlpfc_L,target,-0.0200835928409342
DMCC6371570,FALSE,dlpfc_L,target,-0.0396788308407513
DMCC6418065,TRUE,dlpfc_L,target,0.00616547986910059
DMCC6484785,TRUE,dlpfc_L,target,-0.0482250405602979
DMCC6661074,TRUE,dlpfc_L,target,0.000122088710279036
