subj,is.analysis.group,roi,param,beta
107321,TRUE,aud,target,0.0317080055856821
115825,FALSE,aud,target,-0.0110627064723866
123117,TRUE,aud,target,0.00796514866011826
130114,TRUE,aud,target,-0.03842192399651
130518,FALSE,aud,target,0.0336916632979723
132017,TRUE,aud,target,-0.0395510830019671
138837,TRUE,aud,target,0.0265657544392069
141422,TRUE,aud,target,-0.00268556736433127
150423,TRUE,aud,target,0.0183259454804638
158136,TRUE,aud,target,0.0207521114516496
160830,TRUE,aud,target,-0.00985725293953337
161832,TRUE,aud,target,-0.0699620816219216
165032,TRUE,aud,target,0.000488284975332847
171330,TRUE,aud,target,-0.00215150567256083
178243,TRUE,aud,target,-0.00152589054791518
178647,FALSE,aud,target,-0.0291597683706636
178950,TRUE,aud,target,0.00828558567518078
182436,TRUE,aud,target,-0.029724347873392
197449,TRUE,aud,target,0.0152131287627164
203418,TRUE,aud,target,0.0506595661907917
204319,TRUE,aud,target,-0.015030021896967
233326,FALSE,aud,target,-0.0483096947470018
300618,TRUE,aud,target,0.118088669503174
317332,TRUE,aud,target,-0.0301821150377667
346945,TRUE,aud,target,0.0789953536655804
352738,TRUE,aud,target,-0.0435336573320268
393550,FALSE,aud,target,0.0107422694573244
448347,TRUE,aud,target,0.00277712079720611
580650,TRUE,aud,target,0.0248872748365
594156,TRUE,aud,target,0.00761419383409786
601127,TRUE,aud,target,0.00848395144640976
765864,TRUE,aud,target,0.00900275423270067
814649,TRUE,aud,target,0.0263368708570198
843151,TRUE,aud,target,-0.0057068306492036
849971,TRUE,aud,target,-0.0104828680641786
873968,TRUE,aud,target,-0.0355837675773875
877168,TRUE,aud,target,0.0225526622981899
DMCC1328342,FALSE,aud,target,0.00671391841082753
DMCC1596165,FALSE,aud,target,0.00849921035188895
DMCC1971064,TRUE,aud,target,-0.0110016708504702
DMCC2442951,TRUE,aud,target,-0.00308229890678941
DMCC2803654,FALSE,aud,target,-0.00627141015193256
DMCC2834766,FALSE,aud,target,0.0134278368216558
DMCC3062542,TRUE,aud,target,-0.0110474475669077
DMCC4191255,FALSE,aud,target,-0.010223466671033
DMCC5009144,TRUE,aud,target,0.0271608517528945
DMCC5195268,FALSE,aud,target,0.0785223275957269
DMCC5775387,FALSE,aud,target,-0.0234529377214598
DMCC6371570,FALSE,aud,target,0.0335695920541391
DMCC6418065,TRUE,aud,target,0.035660062104783
DMCC6484785,TRUE,aud,target,0.0158997795092787
DMCC6661074,TRUE,aud,target,0.0270235216035817
DMCC6671683,TRUE,aud,target,0.0304720342418706
DMCC6705371,FALSE,aud,target,-0.0148316561257377
DMCC6721369,TRUE,aud,target,0.0497745496730006
DMCC6904377,FALSE,aud,target,0.0304720342418708
DMCC7297690,TRUE,aud,target,0.0111847777162196
DMCC7921988,TRUE,aud,target,-0.0113984023929278
DMCC8033964,TRUE,aud,target,-0.0110321886614284
DMCC8050964,TRUE,aud,target,0.00106812338354118
DMCC8078683,FALSE,aud,target,0.047851927582627
DMCC9441378,TRUE,aud,target,-0.0265047188172906
DMCC9478705,TRUE,aud,target,0.0429690778292981
DMCC9953810,TRUE,aud,target,0.0156556370216122
107321,TRUE,dlpfc_L,target,0.044861182108713
115825,FALSE,dlpfc_L,target,0.0116425448805941
123117,TRUE,dlpfc_L,target,0.0566105393276612
130114,TRUE,dlpfc_L,target,0.0580448764427022
130518,FALSE,dlpfc_L,target,-0.0412753393211117
132017,TRUE,dlpfc_L,target,-0.039215387081426
138837,TRUE,dlpfc_L,target,0.0485996139511056
141422,TRUE,dlpfc_L,target,0.00552372378345361
150423,TRUE,dlpfc_L,target,0.0338289934472846
158136,TRUE,dlpfc_L,target,-0.00746160477930647
160830,TRUE,dlpfc_L,target,-0.021698163591357
161832,TRUE,dlpfc_L,target,0.0348971168308253
165032,TRUE,dlpfc_L,target,0.0298921958336626
171330,TRUE,dlpfc_L,target,0.0118866873682611
178243,TRUE,dlpfc_L,target,-0.0253145241899166
178647,FALSE,dlpfc_L,target,-0.00277712079720604
178950,TRUE,dlpfc_L,target,0.0044250825889546
182436,TRUE,dlpfc_L,target,-0.0447696286758378
197449,TRUE,dlpfc_L,target,0.00744634587382711
203418,TRUE,dlpfc_L,target,0.0945289194433595
204319,TRUE,dlpfc_L,target,0.0794073441135177
233326,FALSE,dlpfc_L,target,0.0617985671905737
300618,TRUE,dlpfc_L,target,-0.0275270654843937
317332,TRUE,dlpfc_L,target,0.0191346674708591
346945,TRUE,dlpfc_L,target,0.054855765197559
352738,TRUE,dlpfc_L,target,0.0369875868814694
393550,FALSE,dlpfc_L,target,0.0315248987199325
448347,TRUE,dlpfc_L,target,0.0753026985396251
580650,TRUE,dlpfc_L,target,0.00419619900676731
594156,TRUE,dlpfc_L,target,0.0257417735433332
601127,TRUE,dlpfc_L,target,-0.0547184350482462
765864,TRUE,dlpfc_L,target,0.0137330149312389
814649,TRUE,dlpfc_L,target,-0.0577091805221611
843151,TRUE,dlpfc_L,target,0.0600590519659504
849971,TRUE,dlpfc_L,target,-0.0446170396210464
873968,TRUE,dlpfc_L,target,-0.0478061508661894
877168,TRUE,dlpfc_L,target,-0.0425570873813608
DMCC1328342,FALSE,dlpfc_L,target,-0.00883490627243045
DMCC1596165,FALSE,dlpfc_L,target,-0.0540470432071638
DMCC1971064,TRUE,dlpfc_L,target,0.0535129815153933
DMCC2442951,TRUE,dlpfc_L,target,0.0371554348417402
DMCC2803654,FALSE,dlpfc_L,target,0.0418399188238402
DMCC2834766,FALSE,dlpfc_L,target,0.0625309946535731
DMCC3062542,TRUE,dlpfc_L,target,-0.0548557651975589
DMCC4191255,FALSE,dlpfc_L,target,-0.00633244577384874
DMCC5009144,TRUE,dlpfc_L,target,0.0123902312490729
DMCC5195268,FALSE,dlpfc_L,target,0.0101624310491168
