subj,is.analysis.group,roi,param,beta
107321,TRUE,aud,target,0.0937811863437079
115825,FALSE,aud,target,-0.0149469848430696
123117,TRUE,aud,target,0.083730270146843
130114,TRUE,aud,target,-0.0391910555523663
130518,FALSE,aud,target,0.0516361258723243
132017,TRUE,aud,target,0.0512223941544532
138837,TRUE,aud,target,0.180358045016828
141422,TRUE,aud,target,0.0247838126940344
150423,TRUE,aud,target,0.129105093053763
158136,TRUE,aud,target,0.0513008796166005
160830,TRUE,aud,target,-0.119922476772295
161832,TRUE,aud,target,-0.0154843207727932
165032,TRUE,aud,target,0.0666051625614001
171330,TRUE,aud,target,-0.0432183559640025
178243,TRUE,aud,target,0.0907412827732491
178647,FALSE,aud,target,-0.0902957738022019
178950,TRUE,aud,target,0.161568391862984
182436,TRUE,aud,target,-0.00236615950138288
197449,TRUE,aud,target,0.0344665971806708
203418,TRUE,aud,target,0.0715179464948569
204319,TRUE,aud,target,-0.0492588294689692
233326,FALSE,aud,target,0.0319046492260491
300618,TRUE,aud,target,0.227038209145678
317332,TRUE,aud,target,-0.0604285608205235
346945,TRUE,aud,target,0.0795299702419711
352738,TRUE,aud,target,-0.00556080045286207
393550,FALSE,aud,target,0.0299883153380523
448347,TRUE,aud,target,0.159091489140662
580650,TRUE,aud,target,-0.0241785119404173
594156,TRUE,aud,target,-0.0163014513710224
601127,TRUE,aud,target,0.119116730416517
765864,TRUE,aud,target,0.183900598418463
814649,TRUE,aud,target,0.0652347188557458
843151,TRUE,aud,target,0.156037476402082
849971,TRUE,aud,target,0.00862919748127166
873968,TRUE,aud,target,-0.00373090230691351
877168,TRUE,aud,target,0.149304666068851
DMCC1328342,FALSE,aud,target,0.0784492067723787
DMCC1596165,FALSE,aud,target,-0.0297348932068551
DMCC1971064,TRUE,aud,target,-0.0326669134326626
DMCC2442951,TRUE,aud,target,0.00516582466199334
DMCC2803654,FALSE,aud,target,0.000899450378636737
DMCC2834766,FALSE,aud,target,-0.0206766834447147
DMCC3062542,TRUE,aud,target,0.127188646720432
DMCC4191255,FALSE,aud,target,-0.0230435303750358
DMCC5009144,TRUE,aud,target,-0.0119702501522314
DMCC5195268,FALSE,aud,target,0.210646363805471
DMCC5775387,FALSE,aud,target,0.00313929681891163
DMCC6371570,FALSE,aud,target,0.0664470009142969
DMCC6418065,TRUE,aud,target,-0.0289249177805042
DMCC6484785,TRUE,aud,target,0.096736170876948
DMCC6661074,TRUE,aud,target,0.00290687604873919
DMCC6671683,TRUE,aud,target,-0.0163122099642011
DMCC6705371,FALSE,aud,target,-0.00524288946804057
DMCC6721369,TRUE,aud,target,0.0804468983680143
DMCC6904377,FALSE,aud,target,0.116984207546096
DMCC7297690,TRUE,aud,target,0.0419543930338253
DMCC7921988,TRUE,aud,target,0.0101891091891586
DMCC8033964,TRUE,aud,target,0.0503706459202305
DMCC8050964,TRUE,aud,target,0.092596017328358
DMCC8078683,FALSE,aud,target,0.127098636832593
DMCC9441378,TRUE,aud,target,-0.00565145203521453
DMCC9478705,TRUE,aud,target,0.0616245663071848
DMCC9953810,TRUE,aud,target,-0.07106507979619
107321,TRUE,dlpfc_L,target,-0.020839123870632
115825,FALSE,dlpfc_L,target,-0.0197209302467508
123117,TRUE,dlpfc_L,target,0.0840876462310739
130114,TRUE,dlpfc_L,target,0.00224531885102344
130518,FALSE,dlpfc_L,target,0.151977080673463
132017,TRUE,dlpfc_L,target,0.0719521464145891
138837,TRUE,dlpfc_L,target,-0.0244776162951376
141422,TRUE,dlpfc_L,target,0.093356120082214
150423,TRUE,dlpfc_L,target,0.0107146560021247
158136,TRUE,dlpfc_L,target,0.0667330973810743
160830,TRUE,dlpfc_L,target,-0.0884880819506472
161832,TRUE,dlpfc_L,target,0.0803332533204712
165032,TRUE,dlpfc_L,target,0.0683696278667063
171330,TRUE,dlpfc_L,target,-0.0905578471455248
178243,TRUE,dlpfc_L,target,-0.124115887734205
178647,FALSE,dlpfc_L,target,-0.105670356300084
178950,TRUE,dlpfc_L,target,0.0964393547846277
182436,TRUE,dlpfc_L,target,0.0381510992669122
197449,TRUE,dlpfc_L,target,0.0658305185485395
203418,TRUE,dlpfc_L,target,0.0696436196490518
204319,TRUE,dlpfc_L,target,0.0174405807253717
233326,FALSE,dlpfc_L,target,0.127590990637356
300618,TRUE,dlpfc_L,target,0.00473907622869478
317332,TRUE,dlpfc_L,target,0.0532225770269941
346945,TRUE,dlpfc_L,target,0.0918272560492391
352738,TRUE,dlpfc_L,target,-0.0188702787517878
393550,FALSE,dlpfc_L,target,0.013445536271947
448347,TRUE,dlpfc_L,target,0.162554048712268
580650,TRUE,dlpfc_L,target,0.0212156504835934
594156,TRUE,dlpfc_L,target,0.138391271774516
601127,TRUE,dlpfc_L,target,-0.0600432479862761
765864,TRUE,dlpfc_L,target,0.017559219368234
814649,TRUE,dlpfc_L,target,0.0343002308829192
843151,TRUE,dlpfc_L,target,0.11334348262456
849971,TRUE,dlpfc_L,target,-0.0877278022559255
873968,TRUE,dlpfc_L,target,0.00696178554093182
877168,TRUE,dlpfc_L,target,0.110791835609621
DMCC1328342,FALSE,dlpfc_L,target,0.0455522208004753
DMCC1596165,FALSE,dlpfc_L,target,-0.0686098819261768
DMCC1971064,TRUE,dlpfc_L,target,0.000597899213992831
DMCC2442951,TRUE,dlpfc_L,target,0.0224427770707977
