subj,is.analysis.group,roi,param,beta
107321,TRUE,aud,target,0.103672004573882
115825,FALSE,aud,target,-0.0706957741656237
123117,TRUE,aud,target,0.0670468105946786
130114,TRUE,aud,target,-0.0409005162906567
130518,FALSE,aud,target,0.0860715115946136
132017,TRUE,aud,target,-0.070005758032244
138837,TRUE,aud,target,0.110572334108475
141422,TRUE,aud,target,0.0398839911866349
150423,TRUE,aud,target,0.104376359191877
158136,TRUE,aud,target,0.053452308962168
160830,TRUE,aud,target,-0.0211878250640211
161832,TRUE,aud,target,-0.108750290466441
165032,TRUE,aud,target,-0.0164567101865757
171330,TRUE,aud,target,0.0249869348717882
178243,TRUE,aud,target,0.0527270836301628
178647,FALSE,aud,target,-0.105081700915508
178950,TRUE,aud,target,0.0708967950584648
182436,TRUE,aud,target,-0.0182645408334024
197449,TRUE,aud,target,0.0561372273143117
203418,TRUE,aud,target,0.117167327978314
204319,TRUE,aud,target,-0.0420011088180125
233326,FALSE,aud,target,-0.137262903430757
300618,TRUE,aud,target,0.188280024737957
317332,TRUE,aud,target,-0.158082244172247
346945,TRUE,aud,target,0.181104162370778
352738,TRUE,aud,target,-0.0391679196148276
393550,FALSE,aud,target,-0.0287342687572663
448347,TRUE,aud,target,-0.0551819111440073
580650,TRUE,aud,target,0.001463756206537
594156,TRUE,aud,target,0.0347344639364686
601127,TRUE,aud,target,0.0536057236823686
765864,TRUE,aud,target,0.0139725629988284
814649,TRUE,aud,target,0.0288111165419424
843151,TRUE,aud,target,-0.0261659925096975
849971,TRUE,aud,target,-0.118159214929847
873968,TRUE,aud,target,0.0429542665729737
877168,TRUE,aud,target,0.00503516421550008
DMCC1328342,FALSE,aud,target,0.0341005150585902
DMCC1596165,FALSE,aud,target,0.0204704286610059
DMCC1971064,TRUE,aud,target,-0.0899497360880122
DMCC2442951,TRUE,aud,target,0.0721058581736148
DMCC2803654,FALSE,aud,target,-0.00509358339050438
DMCC2834766,FALSE,aud,target,-0.0210954723547962
DMCC3062542,TRUE,aud,target,-0.0411254705109517
DMCC4191255,FALSE,aud,target,0.0015433107008957
DMCC5009144,TRUE,aud,target,0.0254102952175595
DMCC5195268,FALSE,aud,target,0.144811355553892
DMCC5775387,FALSE,aud,target,-0.0378488449683239
DMCC6371570,FALSE,aud,target,0.0269436331232846
DMCC6418065,TRUE,aud,target,0.0576186497463815
DMCC6484785,TRUE,aud,target,0.0548432326189476
DMCC6661074,TRUE,aud,target,0.00756261421238222
DMCC6671683,TRUE,aud,target,-0.0519877804629894
DMCC6705371,FALSE,aud,target,0.0163998222623613
DMCC6721369,TRUE,aud,target,0.132148797559568
