subj,is.analysis.group,roi,param,beta
107321,TRUE,aud,target,0.108652431462842
115825,FALSE,aud,target,-0.0665809607085342
123117,TRUE,aud,target,0.0647766456725101
130114,TRUE,aud,target,0.0265844121098342
130518,FALSE,aud,target,0.0245211039354658
132017,TRUE,aud,target,-0.105844661136434
138837,TRUE,aud,target,0.175836479034043
141422,TRUE,aud,target,-0.103710902775561
150423,TRUE,aud,target,0.0836287687228247
158136,TRUE,aud,target,0.0230955517774104
160830,TRUE,aud,target,0.0269235911247113
161832,TRUE,aud,target,-0.104622383779245
165032,TRUE,aud,target,-0.0131898760330926
171330,TRUE,aud,target,-0.0386629716300161
178243,TRUE,aud,target,0.237864989217806
178647,FALSE,aud,target,0.0263145344439769
178950,TRUE,aud,target,0.0918049520570899
182436,TRUE,aud,target,-0.0411163247768417
197449,TRUE,aud,target,-0.164113252168626
203418,TRUE,aud,target,0.15042165384413
204319,TRUE,aud,target,-0.0183544724086142
233326,FALSE,aud,target,-0.0332445414795268
300618,TRUE,aud,target,0.184092265902642
317332,TRUE,aud,target,-0.0223315679937474
346945,TRUE,aud,target,0.199279104801035
352738,TRUE,aud,target,-0.0403279651623256
393550,FALSE,aud,target,0.0118959624589161
448347,TRUE,aud,target,0.0721270225847612
580650,TRUE,aud,target,0.096328679675402
594156,TRUE,aud,target,0.0450231949778075
601127,TRUE,aud,target,-0.0130007957157638
765864,TRUE,aud,target,0.0489052810946865
814649,TRUE,aud,target,0.0299041212119521
843151,TRUE,aud,target,0.0566128825038596
849971,TRUE,aud,target,-0.123517365738432
873968,TRUE,aud,target,0.127516345869918
877168,TRUE,aud,target,-0.0370798388910571
DMCC1328342,FALSE,aud,target,-0.0152503736592079
DMCC1596165,FALSE,aud,target,0.0510084362900784
DMCC1971064,TRUE,aud,target,-0.0527276742999769
DMCC2442951,TRUE,aud,target,-0.00311191918172802
DMCC2803654,FALSE,aud,target,-0.00758739064785388
DMCC2834766,FALSE,aud,target,-0.0641973038617231
DMCC3062542,TRUE,aud,target,-0.0570027669454227
DMCC4191255,FALSE,aud,target,-0.0116108543007793
DMCC5009144,TRUE,aud,target,-0.038877108384212
DMCC5195268,FALSE,aud,target,0.0233081429853909
DMCC5775387,FALSE,aud,target,0.00319937732110518
DMCC6371570,FALSE,aud,target,-0.042279978207556
DMCC6418065,TRUE,aud,target,0.0457987815321105
DMCC6484785,TRUE,aud,target,0.0908126018857469
DMCC6661074,TRUE,aud,target,0.0104309302458496
DMCC6671683,TRUE,aud,target,-0.0301502859151249
DMCC6705371,FALSE,aud,target,-0.0333209413407509
DMCC6721369,TRUE,aud,target,0.0503916933449116
DMCC6904377,FALSE,aud,target,0.163894197878706
DMCC7297690,TRUE,aud,target,0.0648171057576174
DMCC7921988,TRUE,aud,target,0.102857915029768
DMCC8033964,TRUE,aud,target,0.133326573915156
DMCC8050964,TRUE,aud,target,0.0594062362175929
DMCC8078683,FALSE,aud,target,0.0924141211074705
DMCC9441378,TRUE,aud,target,0.0169388129906928
DMCC9478705,TRUE,aud,target,0.175322147848028
DMCC9953810,TRUE,aud,target,-0.0513186686712468
107321,TRUE,dlpfc_L,target,0.0412156110542465
115825,FALSE,dlpfc_L,target,-0.0496558290384554
123117,TRUE,dlpfc_L,target,0.117323212642538
130114,TRUE,dlpfc_L,target,-0.0351958321769018
130518,FALSE,dlpfc_L,target,-0.0724415869705509
132017,TRUE,dlpfc_L,target,-0.195174831287929
138837,TRUE,dlpfc_L,target,0.0434311940715214
141422,TRUE,dlpfc_L,target,-0.011378699608099
150423,TRUE,dlpfc_L,target,0.00769949288950535
158136,TRUE,dlpfc_L,target,0.0637722827053666
160830,TRUE,dlpfc_L,target,0.00860757807014676
161832,TRUE,dlpfc_L,target,0.0345593034740321
165032,TRUE,dlpfc_L,target,-0.0434185253091079
171330,TRUE,dlpfc_L,target,-0.0314611845784193
178243,TRUE,dlpfc_L,target,-0.0590046208878213
178647,FALSE,dlpfc_L,target,-0.0344837972213902
178950,TRUE,dlpfc_L,target,-0.0452493411022263
182436,TRUE,dlpfc_L,target,-0.0894577437475091
197449,TRUE,dlpfc_L,target,0.00373595941120538
203418,TRUE,dlpfc_L,target,0.0280031025634622
204319,TRUE,dlpfc_L,target,0.0849560880578482
233326,FALSE,dlpfc_L,target,0.0700983570052013
300618,TRUE,dlpfc_L,target,-0.0187497478534467
317332,TRUE,dlpfc_L,target,0.109176419276716
346945,TRUE,dlpfc_L,target,0.0279397308619899
352738,TRUE,dlpfc_L,target,-0.0503731738898844
393550,FALSE,dlpfc_L,target,0.0280457394446422
448347,TRUE,dlpfc_L,target,0.0663084985016261
580650,TRUE,dlpfc_L,target,0.0736873316159325
594156,TRUE,dlpfc_L,target,0.0372889800678768
601127,TRUE,dlpfc_L,target,-0.0539114405651272
765864,TRUE,dlpfc_L,target,0.0161029026808792
814649,TRUE,dlpfc_L,target,-0.112236992221743
843151,TRUE,dlpfc_L,target,0.0704692745439317
849971,TRUE,dlpfc_L,target,-0.000333298915341974
873968,TRUE,dlpfc_L,target,0.00451172453695799
877168,TRUE,dlpfc_L,target,-0.0262447019846673
DMCC1328342,FALSE,dlpfc_L,target,-0.099896016888838
DMCC1596165,FALSE,dlpfc_L,target,0.0372809729465641
DMCC1971064,TRUE,dlpfc_L,target,-0.000438491962519614
DMCC2442951,TRUE,dlpfc_L,target,-0.0132488842421517
DMCC2803654,FALSE,dlpfc_L,target,0.0300492220668822
DMCC2834766,FALSE,dlpfc_L,target,-0.0116548033391582
DMCC3062542,TRUE,dlpfc_L,target,-0.0816706200005248
DMCC4191255,FALSE,dlpfc_L,target,-0.0134602949093665
DMCC5009144,TRUE,dlpfc_L,target,-0.0192427880358157
DMCC5195268,FALSE,dlpfc_L,target,-0.0312248465369316
DMCC5775387,FALSE,dlpfc_L,target,0.000708494354275472
DMCC6371570,FALSE,dlpfc_L,target,-0.0416783743074272
DMCC6418065,TRUE,dlpfc_L,target,-0.0223161827589426
DMCC6484785,TRUE,dlpfc_L,target,0.100973102604845
DMCC6661074,TRUE,dlpfc_L,target,-0.0952535879319374
DMCC6671683,TRUE,dlpfc_L,target,-0.0369467178111921
DMCC6705371,FALSE,dlpfc_L,target,-0.0152480335216147
DMCC6721369,TRUE,dlpfc_L,target,-0.121655106090318
DMCC6904377,FALSE,dlpfc_L,target,-0.0807168352364182
DMCC7297690,TRUE,dlpfc_L,target,0.0331450037117366
DMCC7921988,TRUE,dlpfc_L,target,0.0917470274595685
DMCC8033964,TRUE,dlpfc_L,target,0.130132472847054
DMCC8050964,TRUE,dlpfc_L,target,0.165829697782296
DMCC8078683,FALSE,dlpfc_L,target,0.0810714471658072
DMCC9441378,TRUE,dlpfc_L,target,0.0951866212028388
DMCC9478705,TRUE,dlpfc_L,target,0.145962905211495
DMCC9953810,TRUE,dlpfc_L,target,0.0704635422197423
107321,TRUE,dlpfc_R,target,0.0158475396691227
115825,FALSE,dlpfc_R,target,-0.150092128929497
123117,TRUE,dlpfc_R,target,0.0837889528679724
130114,TRUE,dlpfc_R,target,-0.0450459860214428
130518,FALSE,dlpfc_R,target,-0.0585747722112436
132017,TRUE,dlpfc_R,target,-0.172973072507932
138837,TRUE,dlpfc_R,target,0.0275716923319139
141422,TRUE,dlpfc_R,target,0.0299561713388412
150423,TRUE,dlpfc_R,target,0.00824907018463567
158136,TRUE,dlpfc_R,target,-0.0500313150975107
160830,TRUE,dlpfc_R,target,0.0354888546533758
161832,TRUE,dlpfc_R,target,0.0765340321826773
165032,TRUE,dlpfc_R,target,0.0757997486387553
171330,TRUE,dlpfc_R,target,-0.0450865393250355
178243,TRUE,dlpfc_R,target,-0.00479119164324497
178647,FALSE,dlpfc_R,target,0.000979426564834286
178950,TRUE,dlpfc_R,target,-0.0451968748205503
182436,TRUE,dlpfc_R,target,-0.15787224560335
197449,TRUE,dlpfc_R,target,0.00705662408356867
203418,TRUE,dlpfc_R,target,0.0195678225462925
204319,TRUE,dlpfc_R,target,0.0834399818733915
233326,FALSE,dlpfc_R,target,0.00641423398572166
300618,TRUE,dlpfc_R,target,0.0128105616521307
317332,TRUE,dlpfc_R,target,-0.000788204922838503
346945,TRUE,dlpfc_R,target,0.101573263642662
352738,TRUE,dlpfc_R,target,-0.00324723847799155
393550,FALSE,dlpfc_R,target,0.00719284608563649
448347,TRUE,dlpfc_R,target,0.0958594763115063
580650,TRUE,dlpfc_R,target,0.043936494679641
594156,TRUE,dlpfc_R,target,0.0244826749704771
601127,TRUE,dlpfc_R,target,-0.0124113708124643
765864,TRUE,dlpfc_R,target,0.0272606780040514
814649,TRUE,dlpfc_R,target,0.0762662719039838
843151,TRUE,dlpfc_R,target,-0.0173025921031484
849971,TRUE,dlpfc_R,target,0.0637203231493877
873968,TRUE,dlpfc_R,target,-0.000802640516667958
877168,TRUE,dlpfc_R,target,-0.09630225428037
DMCC1328342,FALSE,dlpfc_R,target,-0.00867347052037248
DMCC1596165,FALSE,dlpfc_R,target,0.0836861628975928
DMCC1971064,TRUE,dlpfc_R,target,0.0315266400569768
DMCC2442951,TRUE,dlpfc_R,target,0.0941830286863797
DMCC2803654,FALSE,dlpfc_R,target,0.131843868625011
DMCC2834766,FALSE,dlpfc_R,target,-0.113602486944063
DMCC3062542,TRUE,dlpfc_R,target,-0.188757094807998
DMCC4191255,FALSE,dlpfc_R,target,0.0154591614408513
DMCC5009144,TRUE,dlpfc_R,target,0.0389032988200826
DMCC5195268,FALSE,dlpfc_R,target,0.0901522868497791
DMCC5775387,FALSE,dlpfc_R,target,0.0191627345510315
DMCC6371570,FALSE,dlpfc_R,target,-0.0311301194179275
DMCC6418065,TRUE,dlpfc_R,target,0.0284648183876966
DMCC6484785,TRUE,dlpfc_R,target,-0.00443968948768295
DMCC6661074,TRUE,dlpfc_R,target,-0.118009867124806
