subj,is.analysis.group,roi,model,y,param,coef,beta,partr
107321,TRUE,auditory_L,all,r,target,0.0288181018649636,0.255903320597118,0.084252329372262
107321,TRUE,auditory_L,all,r,cielab,2.54187053416474e-06,0.287572160985933,0.173959653282682
107321,TRUE,auditory_L,all,r,tphono,-0.00209580014438622,-0.45902352145901,-0.17921695058331
107321,TRUE,auditory_L,all,r,distractor,-0.268034447729609,-2.38013265168635,-0.156674222148565
107321,TRUE,auditory_L,all,r,silhou,0.187472925808848,0.902309338471104,0.0839969211018319
107321,TRUE,auditory_L,all,r,orthog,0.164666660669903,1.35585154946176,0.210908308356967
107321,TRUE,auditory_L,all,r,dphono,0.000826818765498577,0.181090388014406,0.0718768825014832
107321,TRUE,auditory_L,all,r,incongruency,0.0123235218769528,0.136104661529163,0.138811856434578
107321,TRUE,auditory_L,all,r,congruency,-0.00641177180911286,-0.0310224019322019,-0.0314738515461726
115825,FALSE,auditory_L,all,r,target,-0.0362596212958437,-0.491727251568567,-0.158924807331327
115825,FALSE,auditory_L,all,r,cielab,2.33248572617308e-06,0.402997983909372,0.238210838370042
115825,FALSE,auditory_L,all,r,tphono,0.000600604765047885,0.200892772486071,0.0787437784918037
115825,FALSE,auditory_L,all,r,distractor,-0.0531593177960889,-0.720908942259848,-0.0475501098862578
115825,FALSE,auditory_L,all,r,silhou,-0.022229022288484,-0.163390845702635,-0.0151214333265982
115825,FALSE,auditory_L,all,r,orthog,0.0856133567058778,1.0765605294249,0.167341077486679
115825,FALSE,auditory_L,all,r,dphono,-0.000447126383133599,-0.149556686837502,-0.0588627043766739
115825,FALSE,auditory_L,all,r,incongruency,-0.00778533539299788,-0.131312464019594,-0.132797643204059
115825,FALSE,auditory_L,all,r,congruency,-0.00048577616910212,-0.00358941797080053,-0.0036097768923949
123117,TRUE,auditory_L,all,r,target,-0.0451770716260209,-0.451395557577833,-0.143149274007213
123117,TRUE,auditory_L,all,r,cielab,-1.00341008774379e-07,-0.0127732241087053,-0.00760917102421398
123117,TRUE,auditory_L,all,r,tphono,0.00203276553223666,0.500957655221658,0.189314376042508
123117,TRUE,auditory_L,all,r,distractor,0.123723197975215,1.23620455964143,0.079648294726022
123117,TRUE,auditory_L,all,r,silhou,-0.245147974915341,-1.32762022484,-0.119419475954775
123117,TRUE,auditory_L,all,r,orthog,-0.0222357863264301,-0.206009671850548,-0.0317764464327548
