subj,is.analysis.group,roi,model,y,param,coef,beta
107321,TRUE,auditory_L,continu,z,target,0.119495009978992,0.273646818161569
107321,TRUE,auditory_L,continu,z,cielab,1.2574617904498e-05,0.366875149273495
107321,TRUE,auditory_L,continu,z,tphono,-0.00933332953027451,-0.527171299070623
107321,TRUE,auditory_L,continu,z,distractor,0.157170911264482,0.359925655327686
107321,TRUE,auditory_L,continu,z,silhou,-0.360817886911532,-0.44785253554285
107321,TRUE,auditory_L,continu,z,dphono,0.00192344194657728,0.10864112173207
107321,TRUE,auditory_L,continu,z,incongruency,0.0519330023393996,0.147914814716361
107321,TRUE,auditory_L,continu,z,congruency,-0.0207463843765335,-0.0258862932274512
115825,FALSE,auditory_L,continu,z,target,-0.140716354719939,-0.4465377926866
115825,FALSE,auditory_L,continu,z,cielab,9.52553517917292e-06,0.385110975027552
115825,FALSE,auditory_L,continu,z,tphono,0.00240435469257258,0.188185737757949
115825,FALSE,auditory_L,continu,z,distractor,0.460571636979764,1.46154043401934
115825,FALSE,auditory_L,continu,z,silhou,-0.767384351364493,-1.31987538493671
115825,FALSE,auditory_L,continu,z,dphono,-0.00155124223728174,-0.121413727253283
115825,FALSE,auditory_L,continu,z,incongruency,-0.0361669436278898,-0.142742423067657
115825,FALSE,auditory_L,continu,z,congruency,0.00604314529662035,0.0104487297081272
123117,TRUE,auditory_L,continu,z,target,-0.131673122775256,-0.385907748846613
123117,TRUE,auditory_L,continu,z,cielab,-3.30873292956058e-07,-0.0123546641040561
123117,TRUE,auditory_L,continu,z,tphono,0.00636345364601906,0.459995701937002
123117,TRUE,auditory_L,continu,z,distractor,0.356613198783895,1.04516239799808
123117,TRUE,auditory_L,continu,z,silhou,-0.833702144275195,-1.32435259787948
123117,TRUE,auditory_L,continu,z,dphono,0.00380315046068048,0.274918772579916
123117,TRUE,auditory_L,continu,z,incongruency,-0.0378395575604922,-0.137930408900784
123117,TRUE,auditory_L,continu,z,congruency,-0.0118392800290565,-0.0189059484747846
130114,TRUE,auditory_L,continu,z,target,-0.128334259259779,-0.336169929230354
130114,TRUE,auditory_L,continu,z,cielab,6.36964348506582e-06,0.212576006833054
130114,TRUE,auditory_L,continu,z,tphono,0.00367890454631113,0.237689118196399
130114,TRUE,auditory_L,continu,z,distractor,-0.0356593828785674,-0.0934092913913082
130114,TRUE,auditory_L,continu,z,silhou,-0.0131615233630045,-0.0186865341634783
130114,TRUE,auditory_L,continu,z,dphono,0.00227691298619904,0.147108312566098
130114,TRUE,auditory_L,continu,z,incongruency,0.0151509398113965,0.0493609418396558
130114,TRUE,auditory_L,continu,z,congruency,-0.0503606811472953,-0.0718777813793748
130518,FALSE,auditory_L,continu,z,target,-0.0796219437169921,-0.208072126292162
130518,FALSE,auditory_L,continu,z,cielab,6.45286453101251e-06,0.2148406921254
130518,FALSE,auditory_L,continu,z,tphono,0.00110896821048187,0.0714783884157261
130518,FALSE,auditory_L,continu,z,distractor,-0.117860283454926,-0.307998506932116
130518,FALSE,auditory_L,continu,z,silhou,0.366930965792959,0.519722883870264
130518,FALSE,auditory_L,continu,z,dphono,-0.0039673832872919,-0.255717125993978
130518,FALSE,auditory_L,continu,z,incongruency,0.0117878862501211,0.0383128691735386
130518,FALSE,auditory_L,continu,z,congruency,0.0230719039625291,0.0328512106260424
132017,TRUE,auditory_L,continu,z,target,0.0357903834082098,0.0989965010859325
132017,TRUE,auditory_L,continu,z,cielab,-1.19998822948516e-06,-0.0422876299719503
132017,TRUE,auditory_L,continu,z,tphono,-8.07166793755275e-05,-0.00550669859977624
132017,TRUE,auditory_L,continu,z,distractor,0.304874489847257,0.843285399348758
132017,TRUE,auditory_L,continu,z,silhou,-0.383794687080763,-0.575385347997492
132017,TRUE,auditory_L,continu,z,dphono,-0.00449571210940039,-0.306708994588855
132017,TRUE,auditory_L,continu,z,incongruency,-0.0242282390336734,-0.0833494914643803
