subj,is.analysis.group,roi,model,y,param,coef,beta,partr
107321,TRUE,auditory_L,tdclust,r,target,0.00862197815976767,0.0765627400284424,0.0739191610754195
107321,TRUE,auditory_L,tdclust,r,distractor,0.00370634229588916,0.0329121364492351,0.0318467446717729
107321,TRUE,auditory_L,tdclust,r,conclust,0.0109852866136625,0.119472395355395,0.118002846163657
115825,FALSE,auditory_L,tdclust,r,target,0.00118962107879651,0.016132796829615,0.0156119114615198
115825,FALSE,auditory_L,tdclust,r,distractor,0.00229794948476093,0.0311631601214346,0.0301469511275839
115825,FALSE,auditory_L,tdclust,r,conclust,-0.00726393830557677,-0.120647628644245,-0.119112078860599
123117,TRUE,auditory_L,tdclust,r,target,-0.000466160832844782,-0.00465773724345884,-0.00450967484649924
123117,TRUE,auditory_L,tdclust,r,distractor,-0.00388804147396507,-0.038848127730688,-0.0375870078844679
123117,TRUE,auditory_L,tdclust,r,conclust,-0.0107231071906835,-0.131221645947083,-0.129435053965121
130114,TRUE,auditory_L,tdclust,r,target,0.0114956948009827,0.0618379329062273,0.0594426866828949
130114,TRUE,auditory_L,tdclust,r,distractor,0.00849578314101407,0.0457007320527486,0.0439658128831563
130114,TRUE,auditory_L,tdclust,r,conclust,0.00905093884050402,0.0596292021335095,0.0588921229270343
130518,FALSE,auditory_L,tdclust,r,target,0.00626561884543314,0.041399798621029,0.0397884030364222
130518,FALSE,auditory_L,tdclust,r,distractor,-0.00516299615460873,-0.0341142680962372,-0.0327947793263618
130518,FALSE,auditory_L,tdclust,r,conclust,0.00364835233520495,0.0295240994290741,0.0291631726306149
132017,TRUE,auditory_L,tdclust,r,target,0.00749062734575049,0.0471952924352904,0.0454957509165263
132017,TRUE,auditory_L,tdclust,r,distractor,0.00139457262406265,0.0087866155632775,0.00847867720760475
132017,TRUE,auditory_L,tdclust,r,conclust,-0.0114405596315129,-0.0882822490091006,-0.087192443627773
138837,TRUE,auditory_L,tdclust,r,target,0.0162433825054624,0.217098953185962,0.208659587062758
138837,TRUE,auditory_L,tdclust,r,distractor,0.00803128201892697,0.107341122975091,0.104908326021894
138837,TRUE,auditory_L,tdclust,r,conclust,0.00330551643519924,0.0541085889334995,0.0545514794441877
141422,TRUE,auditory_L,tdclust,r,target,0.00921664122382211,0.0580738822731241,0.0557928970891048
141422,TRUE,auditory_L,tdclust,r,distractor,-0.00485275508497089,-0.0305771181345853,-0.0294092339557505
141422,TRUE,auditory_L,tdclust,r,conclust,0.000878145020145687,0.00677672793166423,0.00669924569780709
150423,TRUE,auditory_L,tdclust,r,target,0.0239522770741818,0.189115133111085,0.187555404100108
150423,TRUE,auditory_L,tdclust,r,distractor,0.0123452190928052,0.097471640996417,0.0979410445385471
150423,TRUE,auditory_L,tdclust,r,conclust,0.028631249579901,0.276863310922599,0.276041673089419
158136,TRUE,auditory_L,tdclust,r,target,0.00511544904695639,0.0293541128132647,0.0283994368613407
158136,TRUE,auditory_L,tdclust,r,distractor,-0.0207319654544189,-0.118966770503129,-0.114388296528089
158136,TRUE,auditory_L,tdclust,r,conclust,-0.00271536075932202,-0.0190835146606364,-0.0189730304796876
160830,TRUE,auditory_L,tdclust,r,target,-0.00537907203429261,-0.0281124363756576,-0.0269934717965291
160830,TRUE,auditory_L,tdclust,r,distractor,0.004656138439608,0.0243341964571678,0.023367752558538
160830,TRUE,auditory_L,tdclust,r,conclust,-0.000477849487749206,-0.00305863659017339,-0.00301845697961575
161832,TRUE,auditory_L,tdclust,r,target,-0.00207662338620852,-0.00755060515537478,-0.00730149248438744
161832,TRUE,auditory_L,tdclust,r,distractor,0.0022118404305699,0.00804225449296339,0.00777689324971089
161832,TRUE,auditory_L,tdclust,r,conclust,-0.0274241475245778,-0.122124496353325,-0.120451228671688
165032,TRUE,auditory_L,tdclust,r,target,0.0270977398643035,0.0860411200390637,0.0836754988475661
165032,TRUE,auditory_L,tdclust,r,distractor,-0.0231695942320969,-0.0735684174607633,-0.0716131700747206
165032,TRUE,auditory_L,tdclust,r,conclust,0.0338278353841327,0.131550597188213,0.130769324843667
171330,TRUE,auditory_L,tdclust,r,target,-0.00718505518860309,-0.0339592593421776,-0.0325914913614686
171330,TRUE,auditory_L,tdclust,r,distractor,-0.00100198868818155,-0.00473577346682862,-0.00454740077406888
171330,TRUE,auditory_L,tdclust,r,conclust,-0.000715854813624052,-0.0041437989924954,-0.00408801425241869
178243,TRUE,auditory_L,tdclust,r,target,0.00394330316809248,0.12430323263522,0.1200225401212
178243,TRUE,auditory_L,tdclust,r,distractor,-0.000691065470106024,-0.0217841916370618,-0.0211824031586994
178243,TRUE,auditory_L,tdclust,r,conclust,-0.00220486754594691,-0.0851236799001843,-0.0847533255454628
178647,FALSE,auditory_L,tdclust,r,target,0.00186743332132347,0.0103247155224434,0.00995554309899983
178647,FALSE,auditory_L,tdclust,r,distractor,-0.0139565662491993,-0.0771634384733959,-0.0742029250011452
178647,FALSE,auditory_L,tdclust,r,conclust,-0.00917306602830949,-0.0621145208814871,-0.0614216262248417
178950,TRUE,auditory_L,tdclust,r,target,0.00987315089185026,0.101472994203053,0.0973957408746569
178950,TRUE,auditory_L,tdclust,r,distractor,0.00243547666368092,0.0250310272862704,0.0241330012593648
178950,TRUE,auditory_L,tdclust,r,conclust,0.00219026111090181,0.027569965503925,0.0273069977961664
182436,TRUE,auditory_L,tdclust,r,target,0.0207020523394514,0.132565786019767,0.130141144720887
182436,TRUE,auditory_L,tdclust,r,distractor,-0.00105612507756325,-0.00676290682424571,-0.00669601011701004
182436,TRUE,auditory_L,tdclust,r,conclust,0.0279517045932348,0.21921586237724,0.217653851015639
197449,TRUE,auditory_L,tdclust,r,target,0.000271297239233512,0.00165117265124911,0.00160238540192369
197449,TRUE,auditory_L,tdclust,r,distractor,-0.0151123349367078,-0.0919768819413996,-0.0889058884767588
197449,TRUE,auditory_L,tdclust,r,conclust,0.0143833807136779,0.107214547709173,0.106292349965978
203418,TRUE,auditory_L,tdclust,r,target,0.00848377599698365,0.102708239151736,0.0989374435312443
