subj,is.analysis.group,roi,model,y,param,coef,beta,partr
107321,TRUE,auditory_L,tdi,r,target,0.00788145043800473,0.0699868904502386,0.0682933196426475
107321,TRUE,auditory_L,tdi,r,distractor,0.00296581457412623,0.0263362868710313,0.025750589297629
107321,TRUE,auditory_L,tdi,r,incongruency,0.0130842405661697,0.144506266261037,0.144265206819088
115825,FALSE,auditory_L,tdi,r,target,0.00175630238537122,0.0238177265514048,0.0232332384917212
115825,FALSE,auditory_L,tdi,r,distractor,0.00286463079133564,0.0388480898432244,0.0378777862187318
115825,FALSE,auditory_L,tdi,r,incongruency,-0.00772770093225697,-0.130340364210106,-0.130066650397897
123117,TRUE,auditory_L,tdi,r,target,0.00037536298576093,0.00375051277458273,0.0036614608285837
123117,TRUE,auditory_L,tdi,r,distractor,-0.00304651765535936,-0.0304398777126464,-0.0297042010434195
123117,TRUE,auditory_L,tdi,r,incongruency,-0.0113479285580984,-0.141020875758368,-0.14059822797603
130114,TRUE,auditory_L,tdi,r,target,0.0112371523462694,0.0604471747794017,0.0586948114770738
130114,TRUE,auditory_L,tdi,r,distractor,0.00823724068630076,0.0443099739259229,0.0430597580156756
130114,TRUE,auditory_L,tdi,r,incongruency,0.0149993682244482,0.100350679078927,0.10017711928721
130518,FALSE,auditory_L,tdi,r,target,0.00579284634447312,0.0382759752899032,0.0370262474639344
130518,FALSE,auditory_L,tdi,r,distractor,-0.00563576865556875,-0.0372380914273629,-0.0360235719932423
130518,FALSE,auditory_L,tdi,r,incongruency,0.00162343465888961,0.0133412548528627,0.0133200176822135
132017,TRUE,auditory_L,tdi,r,target,0.00868870103946759,0.0547438508836138,0.0530245880877586
132017,TRUE,auditory_L,tdi,r,distractor,0.00259264631777975,0.0163351740116009,0.0158424596620618
132017,TRUE,auditory_L,tdi,r,incongruency,-0.00850423493842045,-0.0666412829841897,-0.0665271351617554
138837,TRUE,auditory_L,tdi,r,target,0.0160378029991062,0.214351305298497,0.207659606877464
138837,TRUE,auditory_L,tdi,r,distractor,0.00782570251257074,0.104593475087626,0.103034985590239
138837,TRUE,auditory_L,tdi,r,incongruency,0.00414407879412376,0.0688869366847962,0.0701983992683511
141422,TRUE,auditory_L,tdi,r,target,0.00872893798046224,0.0550008733481488,0.0532313496588601
141422,TRUE,auditory_L,tdi,r,distractor,-0.00534045832833076,-0.0336501270595606,-0.0325964218618746
141422,TRUE,auditory_L,tdi,r,incongruency,-0.00409614888002702,-0.0321004796233526,-0.0320750534511989
150423,TRUE,auditory_L,tdi,r,target,0.0225395588524339,0.177961020551061,0.186288119850454
150423,TRUE,auditory_L,tdi,r,distractor,0.0109325008710573,0.0863175284363928,0.0915798617501106
150423,TRUE,auditory_L,tdi,r,incongruency,0.0403098804988274,0.395839014653009,0.398912689226065
158136,TRUE,auditory_L,tdi,r,target,0.00592885497162077,0.0340217009480311,0.0331428564434588
158136,TRUE,auditory_L,tdi,r,distractor,-0.0199185595297545,-0.114299182368362,-0.110722813915978
158136,TRUE,auditory_L,tdi,r,incongruency,0.00433014957732859,0.0309040718355973,0.0310558955722453
160830,TRUE,auditory_L,tdi,r,target,-0.0046067132778128,-0.0240758876434047,-0.0233097597491232
160830,TRUE,auditory_L,tdi,r,distractor,0.00542849719608782,0.0283707451894206,0.0274650496366542
160830,TRUE,auditory_L,tdi,r,incongruency,0.00831260610225929,0.054032608886805,0.0538968098033901
161832,TRUE,auditory_L,tdi,r,target,-0.000480058214579994,-0.00174549225148887,-0.00170925172399377
161832,TRUE,auditory_L,tdi,r,distractor,0.00380840560219842,0.0138473673968493,0.0135586368061992
161832,TRUE,auditory_L,tdi,r,incongruency,-0.0356895129896132,-0.16139580847503,-0.160898024532682
165032,TRUE,auditory_L,tdi,r,target,0.0255690135105857,0.0811870868847937,0.0803810476789829
165032,TRUE,auditory_L,tdi,r,distractor,-0.0246983205858147,-0.0784224506150333,-0.0776606568287846
165032,TRUE,auditory_L,tdi,r,incongruency,0.0493109545236522,0.194734995810495,0.195662264100723
171330,TRUE,auditory_L,tdi,r,target,-0.00616160290028206,-0.0291220408697895,-0.0281985996738037
171330,TRUE,auditory_L,tdi,r,distractor,2.14636001394961e-05,0.000101445005559542,9.82673261124224e-05
171330,TRUE,auditory_L,tdi,r,incongruency,0.0108497178326044,0.0637784786194635,0.0635971842248699
178243,TRUE,auditory_L,tdi,r,target,0.0040428192372848,0.127440239497855,0.124375808057469
178243,TRUE,auditory_L,tdi,r,distractor,-0.000591549400913697,-0.0186471847744267,-0.0183381259933656
178243,TRUE,auditory_L,tdi,r,incongruency,-0.00321554226158588,-0.126067774886672,-0.126870443253975
178647,FALSE,auditory_L,tdi,r,target,0.0026422733016509,0.0146086716246224,0.0141814709577467
178647,FALSE,auditory_L,tdi,r,distractor,-0.0131817262688718,-0.0728794823712168,-0.0705789365867985
