subj,is.analysis.group,roi.hemi,roi,hemi,param,taua
107321,TRUE,Auditory_l,Auditory,l,target,0.0459383753501401
115825,FALSE,Auditory_l,Auditory,l,target,0.00644257703081232
123117,TRUE,Auditory_l,Auditory,l,target,0.0112044817927171
130114,TRUE,Auditory_l,Auditory,l,target,0.0322128851540616
130518,FALSE,Auditory_l,Auditory,l,target,0.0173669467787115
132017,TRUE,Auditory_l,Auditory,l,target,0.0358543417366947
138837,TRUE,Auditory_l,Auditory,l,target,0.0899159663865546
141422,TRUE,Auditory_l,Auditory,l,target,0.015406162464986
150423,TRUE,Auditory_l,Auditory,l,target,0.0490196078431373
158136,TRUE,Auditory_l,Auditory,l,target,0.034453781512605
160830,TRUE,Auditory_l,Auditory,l,target,-0.0266106442577031
161832,TRUE,Auditory_l,Auditory,l,target,0.00728291316526611
165032,TRUE,Auditory_l,Auditory,l,target,0.030812324929972
171330,TRUE,Auditory_l,Auditory,l,target,-0.0103641456582633
178243,TRUE,Auditory_l,Auditory,l,target,0.0689075630252101
178647,FALSE,Auditory_l,Auditory,l,target,0.0204481792717087
178950,TRUE,Auditory_l,Auditory,l,target,0.0568627450980392
182436,TRUE,Auditory_l,Auditory,l,target,0.0380952380952381
197449,TRUE,Auditory_l,Auditory,l,target,-0.0176470588235294
203418,TRUE,Auditory_l,Auditory,l,target,0.0675070028011205
204319,TRUE,Auditory_l,Auditory,l,target,-0.0187675070028011
233326,FALSE,Auditory_l,Auditory,l,target,0.0361344537815126
300618,TRUE,Auditory_l,Auditory,l,target,0.0831932773109244
317332,TRUE,Auditory_l,Auditory,l,target,0.0288515406162465
346945,TRUE,Auditory_l,Auditory,l,target,0.0487394957983193
352738,TRUE,Auditory_l,Auditory,l,target,0.0117647058823529
393550,FALSE,Auditory_l,Auditory,l,target,-0.023249299719888
448347,TRUE,Auditory_l,Auditory,l,target,0.0649859943977591
580650,TRUE,Auditory_l,Auditory,l,target,-0.00224089635854342
594156,TRUE,Auditory_l,Auditory,l,target,0.019327731092437
601127,TRUE,Auditory_l,Auditory,l,target,0.0414565826330532
765864,TRUE,Auditory_l,Auditory,l,target,0.0817927170868347
814649,TRUE,Auditory_l,Auditory,l,target,-0.000560224089635854
843151,TRUE,Auditory_l,Auditory,l,target,0.0240896358543417
849971,TRUE,Auditory_l,Auditory,l,target,0.0350140056022409
873968,TRUE,Auditory_l,Auditory,l,target,-0.0336134453781513
877168,TRUE,Auditory_l,Auditory,l,target,0.0372549019607843
DMCC1328342,FALSE,Auditory_l,Auditory,l,target,0.026890756302521
DMCC1596165,FALSE,Auditory_l,Auditory,l,target,-0.011484593837535
DMCC1971064,TRUE,Auditory_l,Auditory,l,target,-0.00476190476190476
DMCC2442951,TRUE,Auditory_l,Auditory,l,target,-0.00168067226890756
DMCC2803654,FALSE,Auditory_l,Auditory,l,target,0.0240896358543417
DMCC2834766,FALSE,Auditory_l,Auditory,l,target,0.0260504201680672
DMCC3062542,TRUE,Auditory_l,Auditory,l,target,0.0591036414565826
DMCC4191255,FALSE,Auditory_l,Auditory,l,target,0.0156862745098039
DMCC4260551,FALSE,Auditory_l,Auditory,l,target,-0.0106442577030812
DMCC4854075,TRUE,Auditory_l,Auditory,l,target,0.0226890756302521
DMCC5009144,TRUE,Auditory_l,Auditory,l,target,-0.0123249299719888
DMCC5195268,FALSE,Auditory_l,Auditory,l,target,0.154901960784314
DMCC5775387,FALSE,Auditory_l,Auditory,l,target,-0.000560224089635854
DMCC6371570,FALSE,Auditory_l,Auditory,l,target,0.0117647058823529
DMCC6418065,TRUE,Auditory_l,Auditory,l,target,0.0156862745098039
DMCC6484785,TRUE,Auditory_l,Auditory,l,target,0.00980392156862745
DMCC6661074,TRUE,Auditory_l,Auditory,l,target,0.0179271708683473
DMCC6671683,TRUE,Auditory_l,Auditory,l,target,0.0375350140056022
DMCC6705371,FALSE,Auditory_l,Auditory,l,target,0.0226890756302521
DMCC6721369,TRUE,Auditory_l,Auditory,l,target,-0.0134453781512605
DMCC6904377,FALSE,Auditory_l,Auditory,l,target,0.0843137254901961
DMCC7297690,TRUE,Auditory_l,Auditory,l,target,0.0969187675070028
DMCC7921988,TRUE,Auditory_l,Auditory,l,target,0.0291316526610644
DMCC8033964,TRUE,Auditory_l,Auditory,l,target,0.106162464985994
DMCC8050964,TRUE,Auditory_l,Auditory,l,target,0.0705882352941176
DMCC8078683,FALSE,Auditory_l,Auditory,l,target,0.0523809523809524
DMCC9441378,TRUE,Auditory_l,Auditory,l,target,-0.00224089635854342
DMCC9478705,TRUE,Auditory_l,Auditory,l,target,-0.00448179271708684
DMCC9953810,TRUE,Auditory_l,Auditory,l,target,-0.0092436974789916
107321,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0591036414565826
115825,FALSE,CinguloOperc_l,CinguloOperc,l,target,0.00672268907563025
123117,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0420168067226891
130114,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.00868347338935574
130518,FALSE,CinguloOperc_l,CinguloOperc,l,target,0.0333333333333333
132017,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0310924369747899
138837,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0787114845938375
141422,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0179271708683473
150423,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.00140056022408964
158136,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0100840336134454
160830,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.0162464985994398
161832,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.0294117647058824
165032,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0061624649859944
171330,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.0641456582633053
178243,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0756302521008403
178647,FALSE,CinguloOperc_l,CinguloOperc,l,target,-0.026890756302521
178950,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0798319327731092
182436,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.0092436974789916
197449,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.000560224089635854
203418,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0414565826330532
204319,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.0215686274509804
233326,FALSE,CinguloOperc_l,CinguloOperc,l,target,0.0672268907563025
300618,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0123249299719888
317332,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0246498599439776
346945,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0638655462184874
352738,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0156862745098039
393550,FALSE,CinguloOperc_l,CinguloOperc,l,target,-0.0151260504201681
448347,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.105042016806723
580650,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0294117647058824
594156,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.00672268907563025
601127,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0599439775910364
765864,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.084593837535014
814649,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.00392156862745098
843151,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0843137254901961
849971,TRUE,CinguloOperc_l,CinguloOperc,l,target,-0.00532212885154062
873968,TRUE,CinguloOperc_l,CinguloOperc,l,target,0.0313725490196078
