subj,is.analysis.group,roi,param,beta
107321,TRUE,auditory_L,target,0.106067280205156
115825,FALSE,auditory_L,target,0.0171901187322558
123117,TRUE,auditory_L,target,0.0165298548491995
130114,TRUE,auditory_L,target,0.0608824285042329
130518,FALSE,auditory_L,target,0.0324567772035867
132017,TRUE,auditory_L,target,0.0608681855138412
138837,TRUE,auditory_L,target,0.233522804800548
141422,TRUE,auditory_L,target,0.0397846773135921
150423,TRUE,auditory_L,target,0.130133293076598
158136,TRUE,auditory_L,target,0.029209286380496
160830,TRUE,auditory_L,target,-0.0583502030098184
161832,TRUE,auditory_L,target,0.0130854985946827
165032,TRUE,auditory_L,target,0.0450033744867091
171330,TRUE,auditory_L,target,-0.0583696397213389
178243,TRUE,auditory_L,target,0.145264512786402
178647,FALSE,auditory_L,target,0.0252833367048924
178950,TRUE,auditory_L,target,0.114521883607344
182436,TRUE,auditory_L,target,0.084651345783562
197449,TRUE,auditory_L,target,-0.0644910371020716
203418,TRUE,auditory_L,target,0.148190631692279
204319,TRUE,auditory_L,target,-0.0130853214769435
233326,FALSE,auditory_L,target,0.0895993712885663
300618,TRUE,auditory_L,target,0.169841009167066
317332,TRUE,auditory_L,target,0.0346198143327036
346945,TRUE,auditory_L,target,0.124640933328267
352738,TRUE,auditory_L,target,0.0299131315246177
393550,FALSE,auditory_L,target,-0.0469433219454131
448347,TRUE,auditory_L,target,0.111361570495948
580650,TRUE,auditory_L,target,0.0341401440600584
594156,TRUE,auditory_L,target,0.0608381750004553
601127,TRUE,auditory_L,target,0.0699175579540745
765864,TRUE,auditory_L,target,0.160346869155264
814649,TRUE,auditory_L,target,0.0128490401714345
843151,TRUE,auditory_L,target,0.0636957170709304
849971,TRUE,auditory_L,target,0.0737917832338789
873968,TRUE,auditory_L,target,-0.0543137417362747
877168,TRUE,auditory_L,target,0.107428271868972
DMCC1328342,FALSE,auditory_L,target,0.0593107579664776
DMCC1596165,FALSE,auditory_L,target,-0.0298542710507997
DMCC1971064,TRUE,auditory_L,target,-0.00456753138019396
DMCC2442951,TRUE,auditory_L,target,-0.00321946964168505
DMCC2803654,FALSE,auditory_L,target,0.0663534802506351
DMCC2834766,FALSE,auditory_L,target,0.0255011935986362
DMCC3062542,TRUE,auditory_L,target,0.125943817472671
DMCC4191255,FALSE,auditory_L,target,0.0210483178224398
DMCC4260551,FALSE,auditory_L,target,-0.0103878917826975
DMCC4854075,TRUE,auditory_L,target,0.0641482768517234
DMCC5009144,TRUE,auditory_L,target,-0.0682946526606651
DMCC5195268,FALSE,auditory_L,target,0.341135464273263
DMCC5775387,FALSE,auditory_L,target,0.0111334057906181
DMCC6371570,FALSE,auditory_L,target,0.0440081700997297
DMCC6418065,TRUE,auditory_L,target,0.0447295234524116
