subj,is.analysis.group,roi,param,beta
107321,TRUE,aud,target,0.0430292213604724
115825,FALSE,aud,target,-0.0552175591040026
123117,TRUE,aud,target,0.016610959147379
130114,TRUE,aud,target,0.0355689538273003
130518,FALSE,aud,target,0.00580746108630252
132017,TRUE,aud,target,0.116883633493773
138837,TRUE,aud,target,0.260361048604439
141422,TRUE,aud,target,0.0762763464099445
150423,TRUE,aud,target,0.0946838191687848
158136,TRUE,aud,target,0.0616249333423149
160830,TRUE,aud,target,-0.105268303531461
161832,TRUE,aud,target,-0.0553825605227502
165032,TRUE,aud,target,0.0967511427710577
171330,TRUE,aud,target,-0.0492306180548643
178243,TRUE,aud,target,0.118149242615325
178647,FALSE,aud,target,-0.0139536849710362
178950,TRUE,aud,target,0.192067901880177
182436,TRUE,aud,target,-0.059085824410309
197449,TRUE,aud,target,0.026985356213921
203418,TRUE,aud,target,0.0619989883121143
204319,TRUE,aud,target,-0.016911933019277
233326,FALSE,aud,target,0.0522617068365544
300618,TRUE,aud,target,0.161744509719273
317332,TRUE,aud,target,-0.00785194996742827
346945,TRUE,aud,target,0.0886714771720941
352738,TRUE,aud,target,-0.0235387460162477
393550,FALSE,aud,target,0.036461195203745
448347,TRUE,aud,target,0.12844239922594
580650,TRUE,aud,target,0.0383001545043385
594156,TRUE,aud,target,-0.0493307581393416
601127,TRUE,aud,target,0.0143971695849963
765864,TRUE,aud,target,0.106442233419702
814649,TRUE,aud,target,0.0570919998529805
843151,TRUE,aud,target,0.0440076280985292
849971,TRUE,aud,target,-0.00827977135653961
873968,TRUE,aud,target,-0.0455068179139382
877168,TRUE,aud,target,0.117979273433048
DMCC1328342,FALSE,aud,target,0.0492377752521651
DMCC1596165,FALSE,aud,target,-0.0363467573848805
DMCC1971064,TRUE,aud,target,-0.01547079946227
DMCC2442951,TRUE,aud,target,-0.02070075555954
DMCC2803654,FALSE,aud,target,0.0619988903645082
DMCC2834766,FALSE,aud,target,0.00542490211671884
DMCC3062542,TRUE,aud,target,0.129206712614567
DMCC4191255,FALSE,aud,target,7.72085433870253e-05
DMCC4260551,FALSE,aud,target,-0.00465323773020977
DMCC4854075,FALSE,aud,target,0.0434966721809738
DMCC5009144,TRUE,aud,target,-0.057278414138539
DMCC5195268,FALSE,aud,target,0.171820553780231
DMCC5775387,FALSE,aud,target,-0.00672754571509262
DMCC6371570,FALSE,aud,target,0.0423098144133268
DMCC6418065,TRUE,aud,target,0.0203244326871896
DMCC6484785,TRUE,aud,target,0.0684704398280409
