subj,is.analysis.group,roi,param,beta
107321,TRUE,aud,target,0.0522041465917807
115825,FALSE,aud,target,0.00166033458406439
123117,TRUE,aud,target,0.0331906063917068
130114,TRUE,aud,target,0.0168220050205484
130518,FALSE,aud,target,-0.0242439282756444
132017,TRUE,aud,target,0.123439152025931
138837,TRUE,aud,target,0.304437248384796
141422,TRUE,aud,target,0.0199176803550517
150423,TRUE,aud,target,0.0916890289452566
158136,TRUE,aud,target,0.0555389176448778
160830,TRUE,aud,target,-0.0923244507005703
161832,TRUE,aud,target,-0.0274136062281287
165032,TRUE,aud,target,0.124819625385189
171330,TRUE,aud,target,-0.0649200338322819
178243,TRUE,aud,target,0.134379261002007
178647,FALSE,aud,target,-0.0376271881475275
178950,TRUE,aud,target,0.211099480644432
182436,TRUE,aud,target,-0.0596166902020862
197449,TRUE,aud,target,0.00918090799013937
203418,TRUE,aud,target,0.0939124521141611
204319,TRUE,aud,target,-0.0104199207376592
233326,FALSE,aud,target,0.0273483676199085
300618,TRUE,aud,target,0.185604839573099
317332,TRUE,aud,target,-0.0247858840260741
346945,TRUE,aud,target,0.0775310547511772
352738,TRUE,aud,target,-0.00509978217897722
393550,FALSE,aud,target,0.0538321449689953
448347,TRUE,aud,target,0.171700519415775
580650,TRUE,aud,target,0.043689381908499
594156,TRUE,aud,target,-0.00111426366081775
601127,TRUE,aud,target,0.0504268255962993
765864,TRUE,aud,target,0.118232965397432
814649,TRUE,aud,target,0.0621101796505449
843151,TRUE,aud,target,0.0154042100785465
849971,TRUE,aud,target,-0.0394491277506695
873968,TRUE,aud,target,-0.05407358332124
877168,TRUE,aud,target,0.137715714966248
DMCC1328342,FALSE,aud,target,0.0671606460394412
DMCC1596165,FALSE,aud,target,0.0123086598712537
DMCC1971064,TRUE,aud,target,-0.0282296988159371
DMCC2442951,TRUE,aud,target,-0.0113344904151461
DMCC2803654,FALSE,aud,target,0.0610572138843652
DMCC2834766,FALSE,aud,target,0.046351954357132
DMCC3062542,TRUE,aud,target,0.142919798621662
DMCC4191255,FALSE,aud,target,-0.0169782528680755
DMCC4260551,FALSE,aud,target,0.000148391549558964
562345,TRUE,aud,target,0.006179611182297
DMCC5009144,TRUE,aud,target,-0.035981385574227
DMCC5195268,FALSE,aud,target,0.145286716716954
DMCC5775387,FALSE,aud,target,-0.00370457248728646
DMCC6371570,FALSE,aud,target,0.0520956276228796
DMCC6418065,TRUE,aud,target,-0.0449206015104594
DMCC6484785,TRUE,aud,target,0.0422897776828061
DMCC6661074,TRUE,aud,target,0.0450843522477016
DMCC6671683,TRUE,aud,target,0.0318247083394854
DMCC6705371,FALSE,aud,target,0.0318812279438769
DMCC6721369,TRUE,aud,target,0.0229506393880546
DMCC6904377,FALSE,aud,target,0.142617802603413
DMCC7297690,TRUE,aud,target,0.0567246058492824
DMCC7921988,TRUE,aud,target,0.0125096902042264
DMCC8033964,TRUE,aud,target,0.0787375348717023
DMCC8050964,TRUE,aud,target,0.0959327136126637
DMCC8078683,FALSE,aud,target,0.161465099280792
DMCC9441378,TRUE,aud,target,0.0226887817383013
DMCC9478705,TRUE,aud,target,0.146548015635619
DMCC9953810,TRUE,aud,target,-0.0504977110544106
107321,TRUE,dlpfc_L,target,-0.0600896912139578
115825,FALSE,dlpfc_L,target,-0.0220684513405462
123117,TRUE,dlpfc_L,target,-0.00347391612779047
130114,TRUE,dlpfc_L,target,-0.062018311881016
130518,FALSE,dlpfc_L,target,0.217454521302434
132017,TRUE,dlpfc_L,target,0.121750357709035
138837,TRUE,dlpfc_L,target,0.0130892402472353
141422,TRUE,dlpfc_L,target,0.0892849580635485
150423,TRUE,dlpfc_L,target,0.0617016630527869
158136,TRUE,dlpfc_L,target,0.0438538899884018
160830,TRUE,dlpfc_L,target,-0.0402130813714038
161832,TRUE,dlpfc_L,target,0.0417286973117369
165032,TRUE,dlpfc_L,target,0.0131818203632757
171330,TRUE,dlpfc_L,target,-0.0646718642531778
178243,TRUE,dlpfc_L,target,-0.0792240309241787
178647,FALSE,dlpfc_L,target,-0.0894394159463607
178950,TRUE,dlpfc_L,target,0.0510663301647754
182436,TRUE,dlpfc_L,target,0.106607916168476
197449,TRUE,dlpfc_L,target,0.0189933882364267
203418,TRUE,dlpfc_L,target,-0.0116994677369011
204319,TRUE,dlpfc_L,target,0.0426765656291917
233326,FALSE,dlpfc_L,target,0.0669331660777126
300618,TRUE,dlpfc_L,target,-0.0278861669961747
317332,TRUE,dlpfc_L,target,0.0417918274475157
346945,TRUE,dlpfc_L,target,0.167802193516184
352738,TRUE,dlpfc_L,target,-0.0422605179473778
393550,FALSE,dlpfc_L,target,0.0335581108828908
448347,TRUE,dlpfc_L,target,0.277908179012294
580650,TRUE,dlpfc_L,target,0.105426122761603
594156,TRUE,dlpfc_L,target,0.0565911492893951
601127,TRUE,dlpfc_L,target,-0.0301515466877958
765864,TRUE,dlpfc_L,target,0.0477721854310722
814649,TRUE,dlpfc_L,target,-0.011313795294202
843151,TRUE,dlpfc_L,target,0.144775458889141
849971,TRUE,dlpfc_L,target,-0.0670160493868897
873968,TRUE,dlpfc_L,target,-0.0334798705303703
877168,TRUE,dlpfc_L,target,0.215144954852819
DMCC1328342,FALSE,dlpfc_L,target,0.0842820092601812
DMCC1596165,FALSE,dlpfc_L,target,-0.0730329926917528
DMCC1971064,TRUE,dlpfc_L,target,0.0674048385698429
DMCC2442951,TRUE,dlpfc_L,target,0.0358941405041682
DMCC2803654,FALSE,dlpfc_L,target,0.109388082245418
DMCC2834766,FALSE,dlpfc_L,target,-0.00461527252712138
DMCC3062542,TRUE,dlpfc_L,target,0.0282883636723528
DMCC4191255,FALSE,dlpfc_L,target,0.0293109203684181
DMCC4260551,FALSE,dlpfc_L,target,-0.0444705622879287
562345,TRUE,dlpfc_L,target,0.0180097566104751
DMCC5009144,TRUE,dlpfc_L,target,-0.0123336372535465
DMCC5195268,FALSE,dlpfc_L,target,0.120809200544114
DMCC5775387,FALSE,dlpfc_L,target,-9.83017798395358e-05
DMCC6371570,FALSE,dlpfc_L,target,-0.0805890832835443
DMCC6418065,TRUE,dlpfc_L,target,0.00748205159647607
DMCC6484785,TRUE,dlpfc_L,target,0.0859588559841692
DMCC6661074,TRUE,dlpfc_L,target,-0.0337131616627385
DMCC6671683,TRUE,dlpfc_L,target,0.096928312928293
DMCC6705371,FALSE,dlpfc_L,target,-0.0421970337902912
DMCC6721369,TRUE,dlpfc_L,target,0.0420547877502717
DMCC6904377,FALSE,dlpfc_L,target,0.109504457995294
DMCC7297690,TRUE,dlpfc_L,target,0.105772676813803
DMCC7921988,TRUE,dlpfc_L,target,0.0339516043080832
DMCC8033964,TRUE,dlpfc_L,target,0.174146470484994
DMCC8050964,TRUE,dlpfc_L,target,0.0316254986712576
DMCC8078683,FALSE,dlpfc_L,target,-0.0088041003438689
DMCC9441378,TRUE,dlpfc_L,target,-0.0182560788743053
DMCC9478705,TRUE,dlpfc_L,target,-0.060846173662721
DMCC9953810,TRUE,dlpfc_L,target,-0.126695524411412
107321,TRUE,dlpfc_R,target,0.0357257703678422
115825,FALSE,dlpfc_R,target,0.0307097179214919
123117,TRUE,dlpfc_R,target,-0.0591472644367083
130114,TRUE,dlpfc_R,target,-0.0218933979739958
130518,FALSE,dlpfc_R,target,0.249404704679729
