subj,is.analysis.group,roi,model,y,param,coef,beta,partr
107321,TRUE,aud,continu,r,target,0.0464536343936501,0.389876149870315,0.124020163149164
107321,TRUE,aud,continu,r,cielab,2.02840024306667e-06,0.216891978319365,0.128202915937483
107321,TRUE,aud,continu,r,tphono,-0.00271052572238264,-0.561093230921436,-0.211174083414546
107321,TRUE,aud,continu,r,distractor,0.0152716428293548,0.128171872582643,0.0133226347288573
107321,TRUE,aud,continu,r,silhou,-0.0160044947344558,-0.0728040073228334,-0.00762064972451037
107321,TRUE,aud,continu,r,dphono,-0.000504729099006737,-0.104481606119131,-0.0405065148568947
107321,TRUE,aud,continu,r,incongruency,-0.00306728079743642,-0.0320175515277305,-0.0319759276224926
107321,TRUE,aud,continu,r,congruency,0.0134029433015034,0.0612906129967678,0.0602521464413744
115825,FALSE,aud,continu,r,target,-0.0101848685305287,-0.128080441377035,-0.0398557809279755
115825,FALSE,aud,continu,r,cielab,-4.91447078622129e-07,-0.0787384771497035,-0.0455419325827324
115825,FALSE,aud,continu,r,tphono,0.000475180725266993,0.147387526178465,0.0550472518195098
115825,FALSE,aud,continu,r,distractor,0.0270730743389654,0.340459113475444,0.0343610605743051
115825,FALSE,aud,continu,r,silhou,-0.0644012754725114,-0.438963290322085,-0.0445930815952607
115825,FALSE,aud,continu,r,dphono,0.000484172843207918,0.150176625036953,0.0565160060581528
115825,FALSE,aud,continu,r,incongruency,0.00204260181220526,0.0319476348056724,0.0309962638123161
115825,FALSE,aud,continu,r,congruency,-0.0118730140440084,-0.0813533016658267,-0.0775986501590527
123117,TRUE,aud,continu,r,target,-0.0146332487284913,-0.221921440279099,-0.0727841496649214
123117,TRUE,aud,continu,r,cielab,-1.25186645879549e-06,-0.241879674988344,-0.14628990092966
123117,TRUE,aud,continu,r,tphono,0.00125826866088428,0.470659049050312,0.18276794533478
123117,TRUE,aud,continu,r,distractor,0.0748587734483827,1.1352753670377,0.120181418984047
123117,TRUE,aud,continu,r,silhou,-0.141611416175238,-1.16402717509315,-0.124024010258069
123117,TRUE,aud,continu,r,dphono,1.91902855015937e-05,0.00717818205758779,0.00285702306550299
123117,TRUE,aud,continu,r,incongruency,-0.0110352865368776,-0.208146797051808,-0.208651161014133
123117,TRUE,aud,continu,r,congruency,0.0071874018274638,0.059390536294231,0.0598914294141332
130114,TRUE,aud,continu,r,target,-0.0889687778230288,-0.363852985631835,-0.117204347360821
130114,TRUE,aud,continu,r,cielab,-8.29472205646703e-07,-0.0432188315637775,-0.0260536469813097
130114,TRUE,aud,continu,r,tphono,0.00467228651130292,0.471294433213421,0.180590146107561
130114,TRUE,aud,continu,r,distractor,-0.0593629416407854,-0.242774870919911,-0.0255263067544779
130114,TRUE,aud,continu,r,silhou,-0.0512407046300372,-0.113582064220013,-0.0120286673685276
130114,TRUE,aud,continu,r,dphono,0.00422638364868585,0.426316126254512,0.165068567894662
