subj,is.analysis.group,roi,param,taua
107321,TRUE,vwfa,target,0.0190476190476191
115825,FALSE,vwfa,target,0.0151260504201681
123117,TRUE,vwfa,target,-0.015406162464986
130114,TRUE,vwfa,target,-0.0338935574229692
130518,FALSE,vwfa,target,0.0658263305322129
132017,TRUE,vwfa,target,0.0148459383753501
138837,TRUE,vwfa,target,0.0151260504201681
141422,TRUE,vwfa,target,0.0240896358543417
150423,TRUE,vwfa,target,0.0602240896358543
158136,TRUE,vwfa,target,0.0448179271708684
160830,TRUE,vwfa,target,-0.0131652661064426
161832,TRUE,vwfa,target,0.0243697478991597
165032,TRUE,vwfa,target,-0.0182072829131653
171330,TRUE,vwfa,target,-0.0260504201680672
178243,TRUE,vwfa,target,0.0408963585434174
178647,FALSE,vwfa,target,0.0316526610644258
178950,TRUE,vwfa,target,-0.00196078431372549
182436,TRUE,vwfa,target,-0.00756302521008403
197449,TRUE,vwfa,target,0.0106442577030812
203418,TRUE,vwfa,target,0.0302521008403361
204319,TRUE,vwfa,target,0.00980392156862745
233326,FALSE,vwfa,target,0.0509803921568627
300618,TRUE,vwfa,target,0.0266106442577031
317332,TRUE,vwfa,target,0.0260504201680672
346945,TRUE,vwfa,target,0.049859943977591
352738,TRUE,vwfa,target,0.0310924369747899
393550,FALSE,vwfa,target,0.011484593837535
448347,TRUE,vwfa,target,-0.0131652661064426
580650,TRUE,vwfa,target,0.00700280112044818
594156,TRUE,vwfa,target,0.0201680672268908
601127,TRUE,vwfa,target,0.046218487394958
765864,TRUE,vwfa,target,0.0260504201680672
814649,TRUE,vwfa,target,-0.0215686274509804
843151,TRUE,vwfa,target,0.0330532212885154
849971,TRUE,vwfa,target,-0.00700280112044818
873968,TRUE,vwfa,target,0.0661064425770308
877168,TRUE,vwfa,target,-0.00140056022408964
DMCC1328342,FALSE,vwfa,target,0.0030812324929972
DMCC1596165,FALSE,vwfa,target,-0.0277310924369748
DMCC1971064,TRUE,vwfa,target,0.0221288515406162
DMCC2442951,TRUE,vwfa,target,0.0403361344537815
DMCC2803654,FALSE,vwfa,target,0.0487394957983193
DMCC2834766,FALSE,vwfa,target,-0.0254901960784314
DMCC3062542,TRUE,vwfa,target,-0.00700280112044818
DMCC4191255,FALSE,vwfa,target,0.00336134453781513
DMCC4260551,FALSE,vwfa,target,-0.0285714285714286
DMCC4854075,TRUE,vwfa,target,-0.0145658263305322
DMCC5009144,TRUE,vwfa,target,-0.0201680672268908
DMCC5195268,FALSE,vwfa,target,0.0403361344537815
DMCC5775387,FALSE,vwfa,target,0.0215686274509804
DMCC6371570,FALSE,vwfa,target,-0.0190476190476191
DMCC6418065,TRUE,vwfa,target,-0.0389355742296919
DMCC6484785,TRUE,vwfa,target,0.0184873949579832
DMCC6661074,TRUE,vwfa,target,0.0235294117647059
DMCC6671683,TRUE,vwfa,target,0.0092436974789916
DMCC6705371,FALSE,vwfa,target,-0.0109243697478992
DMCC6721369,TRUE,vwfa,target,0.0103641456582633
DMCC6904377,FALSE,vwfa,target,-0.00112044817927171
DMCC7297690,TRUE,vwfa,target,0.0535014005602241
DMCC7921988,TRUE,vwfa,target,0.0588235294117647
DMCC8033964,TRUE,vwfa,target,0.0568627450980392
DMCC8050964,TRUE,vwfa,target,0.0288515406162465
DMCC8078683,FALSE,vwfa,target,0.0030812324929972
DMCC9441378,TRUE,vwfa,target,0.00112044817927171
DMCC9478705,TRUE,vwfa,target,0.030812324929972
DMCC9953810,TRUE,vwfa,target,0.00336134453781513
107321,TRUE,vwfa,distractor,0.0156862745098039
115825,FALSE,vwfa,distractor,0.0291316526610644
123117,TRUE,vwfa,distractor,0.00224089635854342
130114,TRUE,vwfa,distractor,-0.00504201680672269
130518,FALSE,vwfa,distractor,-0.0176470588235294
132017,TRUE,vwfa,distractor,0.00644257703081232
138837,TRUE,vwfa,distractor,0.0159663865546218
141422,TRUE,vwfa,distractor,-0.0518207282913165
150423,TRUE,vwfa,distractor,0.0140056022408964
158136,TRUE,vwfa,distractor,0.0431372549019608
160830,TRUE,vwfa,distractor,0.0184873949579832
161832,TRUE,vwfa,distractor,-0.000280112044817927
165032,TRUE,vwfa,distractor,0.0123249299719888
171330,TRUE,vwfa,distractor,0.00700280112044818
178243,TRUE,vwfa,distractor,-0.0285714285714286
178647,FALSE,vwfa,distractor,-0.0126050420168067
178950,TRUE,vwfa,distractor,0.0448179271708684
182436,TRUE,vwfa,distractor,-0.00728291316526611
197449,TRUE,vwfa,distractor,-0.0473389355742297
203418,TRUE,vwfa,distractor,0.0126050420168067
204319,TRUE,vwfa,distractor,-0.00728291316526611
233326,FALSE,vwfa,distractor,-0.0103641456582633
300618,TRUE,vwfa,distractor,0.00336134453781513
317332,TRUE,vwfa,distractor,-0.0112044817927171
346945,TRUE,vwfa,distractor,-0.0456582633053221
352738,TRUE,vwfa,distractor,0.0134453781512605
393550,FALSE,vwfa,distractor,0.000280112044817927
448347,TRUE,vwfa,distractor,0.0859943977591036
580650,TRUE,vwfa,distractor,0.00532212885154062
594156,TRUE,vwfa,distractor,-0.00812324929971989
601127,TRUE,vwfa,distractor,-0.038655462184874
765864,TRUE,vwfa,distractor,-0.0324929971988796
814649,TRUE,vwfa,distractor,0.0470588235294118
843151,TRUE,vwfa,distractor,-0.00672268907563025
849971,TRUE,vwfa,distractor,0.0240896358543417
873968,TRUE,vwfa,distractor,-0.0330532212885154
877168,TRUE,vwfa,distractor,-0.0156862745098039
DMCC1328342,FALSE,vwfa,distractor,0.0599439775910364
DMCC1596165,FALSE,vwfa,distractor,0.0103641456582633
DMCC1971064,TRUE,vwfa,distractor,-0.0658263305322129
DMCC2442951,TRUE,vwfa,distractor,-0.0106442577030812
DMCC2803654,FALSE,vwfa,distractor,0.00476190476190476
DMCC2834766,FALSE,vwfa,distractor,-0.0420168067226891
DMCC3062542,TRUE,vwfa,distractor,-0.00700280112044818
DMCC4191255,FALSE,vwfa,distractor,-0.0131652661064426
DMCC4260551,FALSE,vwfa,distractor,0.0955182072829132
DMCC4854075,TRUE,vwfa,distractor,0.0207282913165266
DMCC5009144,TRUE,vwfa,distractor,-0.0338935574229692
DMCC5195268,FALSE,vwfa,distractor,0.00560224089635854
DMCC5775387,FALSE,vwfa,distractor,0.0274509803921569
DMCC6371570,FALSE,vwfa,distractor,0.0705882352941176
DMCC6418065,TRUE,vwfa,distractor,0.0697478991596639
DMCC6484785,TRUE,vwfa,distractor,0.0235294117647059
