subj,is.analysis.group,roi,param,beta
107321,TRUE,aud,target,0.0626638889180271
115825,FALSE,aud,target,-0.0117958082072242
123117,TRUE,aud,target,0.0473947246575582
130114,TRUE,aud,target,0.0113733748452895
130518,FALSE,aud,target,-0.00661693257853625
132017,TRUE,aud,target,0.11422919412471
138837,TRUE,aud,target,0.290298623490691
141422,TRUE,aud,target,0.034746302327842
150423,TRUE,aud,target,0.0747720831821771
158136,TRUE,aud,target,0.04001973138766
160830,TRUE,aud,target,-0.122360476066353
161832,TRUE,aud,target,-0.0351222033975519
165032,TRUE,aud,target,0.098492295512728
171330,TRUE,aud,target,-0.0847367584127432
178243,TRUE,aud,target,0.145475032574203
178647,FALSE,aud,target,-0.0276092018512754
178950,TRUE,aud,target,0.199627905444813
182436,TRUE,aud,target,-0.0604181940973713
197449,TRUE,aud,target,0.00798338090396359
203418,TRUE,aud,target,0.101750097001459
204319,TRUE,aud,target,-0.020644204257513
233326,FALSE,aud,target,0.0485838298570308
300618,TRUE,aud,target,0.180050815370175
317332,TRUE,aud,target,-0.0413977294233798
346945,TRUE,aud,target,0.0876367755704734
352738,TRUE,aud,target,-0.00181649842913879
393550,FALSE,aud,target,0.0631626628969471
448347,TRUE,aud,target,0.161338202531252
580650,TRUE,aud,target,0.0448774890648542
594156,TRUE,aud,target,-0.0260421833187741
601127,TRUE,aud,target,0.0653260588459283
765864,TRUE,aud,target,0.10516534433309
814649,TRUE,aud,target,0.0355650570843499
843151,TRUE,aud,target,0.0399935972475098
849971,TRUE,aud,target,0.000940430399003143
873968,TRUE,aud,target,-0.0383117315188037
877168,TRUE,aud,target,0.128988766599227
DMCC1328342,FALSE,aud,target,0.0440075958904771
DMCC1596165,FALSE,aud,target,0.000130020694064101
DMCC1971064,TRUE,aud,target,-0.0276107919767327
DMCC2442951,TRUE,aud,target,-0.00276821341120834
DMCC2803654,FALSE,aud,target,0.0496476312475225
DMCC2834766,FALSE,aud,target,0.038010771412643
DMCC3062542,TRUE,aud,target,0.130014323021577
DMCC4191255,FALSE,aud,target,-0.0102228952235974
DMCC4260551,FALSE,aud,target,-0.025766461103481
562345,TRUE,aud,target,0.014726888591294
DMCC5009144,TRUE,aud,target,-0.0300455831238793
DMCC5195268,FALSE,aud,target,0.142135246920997
DMCC5775387,FALSE,aud,target,-0.00896803555433494
DMCC6371570,FALSE,aud,target,0.0499848415645931
DMCC6418065,TRUE,aud,target,-0.0436143015579961
DMCC6484785,TRUE,aud,target,0.0814649927269564
DMCC6661074,TRUE,aud,target,0.0399867610498129
DMCC6671683,TRUE,aud,target,0.00363038470822492
DMCC6705371,FALSE,aud,target,-0.0032155597887137
DMCC6721369,TRUE,aud,target,0.0260965881521745
DMCC6904377,FALSE,aud,target,0.126393141541821
DMCC7297690,TRUE,aud,target,0.0524821323789538
DMCC7921988,TRUE,aud,target,0.0145208634755212
DMCC8033964,TRUE,aud,target,0.0882635003780667
DMCC8050964,TRUE,aud,target,0.134489787426038
DMCC8078683,FALSE,aud,target,0.160952957028172
DMCC9441378,TRUE,aud,target,0.00884241338408334
DMCC9478705,TRUE,aud,target,0.144116648941405
DMCC9953810,TRUE,aud,target,-0.0686020174606393
107321,TRUE,dlpfc_L,target,-0.0357594306595764
115825,FALSE,dlpfc_L,target,-0.0440643471305437
123117,TRUE,dlpfc_L,target,0.0359951137775603
130114,TRUE,dlpfc_L,target,-0.0392857249200019
130518,FALSE,dlpfc_L,target,0.235030595512295
132017,TRUE,dlpfc_L,target,0.106539280858626
138837,TRUE,dlpfc_L,target,-0.0276956081162056
141422,TRUE,dlpfc_L,target,0.104361949128589
150423,TRUE,dlpfc_L,target,0.0454736723931145
158136,TRUE,dlpfc_L,target,0.0313075730446436
160830,TRUE,dlpfc_L,target,-0.0571906739062097
161832,TRUE,dlpfc_L,target,0.0540477379756423
165032,TRUE,dlpfc_L,target,0.00218201518889053
171330,TRUE,dlpfc_L,target,-0.0735577430462394
178243,TRUE,dlpfc_L,target,-0.0791852785481827
178647,FALSE,dlpfc_L,target,-0.096844929632023
178950,TRUE,dlpfc_L,target,0.0635720140126701
182436,TRUE,dlpfc_L,target,0.102006632630716
197449,TRUE,dlpfc_L,target,0.0205346163617416
203418,TRUE,dlpfc_L,target,0.000369894188584812
204319,TRUE,dlpfc_L,target,0.036935527188061
233326,FALSE,dlpfc_L,target,0.0625367141209519
300618,TRUE,dlpfc_L,target,-0.038212528793868
317332,TRUE,dlpfc_L,target,0.0288075051936015
346945,TRUE,dlpfc_L,target,0.182272406048389
352738,TRUE,dlpfc_L,target,-0.0297493948407838
393550,FALSE,dlpfc_L,target,0.0271526576079709
448347,TRUE,dlpfc_L,target,0.266183762892372
580650,TRUE,dlpfc_L,target,0.112879908622884
594156,TRUE,dlpfc_L,target,0.0614753777912749
601127,TRUE,dlpfc_L,target,-0.0151159722023558
765864,TRUE,dlpfc_L,target,0.0298858231588651
814649,TRUE,dlpfc_L,target,-0.0410432524174906
843151,TRUE,dlpfc_L,target,0.149676323647593
849971,TRUE,dlpfc_L,target,-0.0571671173978823
873968,TRUE,dlpfc_L,target,-0.0313419997709985
877168,TRUE,dlpfc_L,target,0.229022984323593
DMCC1328342,FALSE,dlpfc_L,target,0.0636533796221026
DMCC1596165,FALSE,dlpfc_L,target,-0.0610686985689098
DMCC1971064,TRUE,dlpfc_L,target,0.048386843795964
DMCC2442951,TRUE,dlpfc_L,target,0.0150002999068748
DMCC2803654,FALSE,dlpfc_L,target,0.0890002582144382
DMCC2834766,FALSE,dlpfc_L,target,-0.0279546394000414
DMCC3062542,TRUE,dlpfc_L,target,0.0544330661776649
DMCC4191255,FALSE,dlpfc_L,target,0.0127029649454866
DMCC4260551,FALSE,dlpfc_L,target,-0.0405955724311924
562345,TRUE,dlpfc_L,target,0.0111568934024457
DMCC5009144,TRUE,dlpfc_L,target,-0.00473796342824775
DMCC5195268,FALSE,dlpfc_L,target,0.109326495502582
DMCC5775387,FALSE,dlpfc_L,target,-0.009915690338151
DMCC6371570,FALSE,dlpfc_L,target,-0.0897607695026802
DMCC6418065,TRUE,dlpfc_L,target,0.00834612563460887
DMCC6484785,TRUE,dlpfc_L,target,0.0869788974544719
DMCC6661074,TRUE,dlpfc_L,target,-0.0461295338800745
DMCC6671683,TRUE,dlpfc_L,target,0.108308163985902
DMCC6705371,FALSE,dlpfc_L,target,-0.0633667479773073
DMCC6721369,TRUE,dlpfc_L,target,0.0464172725503421
DMCC6904377,FALSE,dlpfc_L,target,0.129912258728615
DMCC7297690,TRUE,dlpfc_L,target,0.101918787188475
DMCC7921988,TRUE,dlpfc_L,target,0.02086404399186
DMCC8033964,TRUE,dlpfc_L,target,0.176981643316639
DMCC8050964,TRUE,dlpfc_L,target,0.0538194775009677
DMCC8078683,FALSE,dlpfc_L,target,-0.0111681152281299
DMCC9441378,TRUE,dlpfc_L,target,-0.0415227075901859
DMCC9478705,TRUE,dlpfc_L,target,-0.045371407764773
DMCC9953810,TRUE,dlpfc_L,target,-0.123861767688476
107321,TRUE,dlpfc_R,target,0.0462302715484801
115825,FALSE,dlpfc_R,target,0.0355199071899614
123117,TRUE,dlpfc_R,target,-0.0216648757257506
130114,TRUE,dlpfc_R,target,-0.0198190177846187
130518,FALSE,dlpfc_R,target,0.270128451784549
132017,TRUE,dlpfc_R,target,-0.0396728091401242
138837,TRUE,dlpfc_R,target,0.0402617099225985
141422,TRUE,dlpfc_R,target,0.0395594239293669
150423,TRUE,dlpfc_R,target,0.00632440565314142
158136,TRUE,dlpfc_R,target,-0.090203562223786
160830,TRUE,dlpfc_R,target,-0.0130290354829364
161832,TRUE,dlpfc_R,target,0.0817760228811238
165032,TRUE,dlpfc_R,target,0.182357990456117
171330,TRUE,dlpfc_R,target,-0.0814783185129375
178243,TRUE,dlpfc_R,target,0.137294332213989
178647,FALSE,dlpfc_R,target,-0.073152206342539
178950,TRUE,dlpfc_R,target,0.193527025659773
182436,TRUE,dlpfc_R,target,0.118471327793528
197449,TRUE,dlpfc_R,target,-0.00919157043243531
203418,TRUE,dlpfc_R,target,-0.00466757125041723
204319,TRUE,dlpfc_R,target,0.0739080559012954
233326,FALSE,dlpfc_R,target,0.0217277781973283
300618,TRUE,dlpfc_R,target,0.00155669688065663
317332,TRUE,dlpfc_R,target,-0.00584917792974521
346945,TRUE,dlpfc_R,target,0.160544266626828
352738,TRUE,dlpfc_R,target,-0.0687740169014394
393550,FALSE,dlpfc_R,target,0.0929928796908415
448347,TRUE,dlpfc_R,target,0.12274954928462
580650,TRUE,dlpfc_R,target,0.101810944172631
594156,TRUE,dlpfc_R,target,0.0974390949358342
601127,TRUE,dlpfc_R,target,0.132794984817052
765864,TRUE,dlpfc_R,target,0.0714745522177931
814649,TRUE,dlpfc_R,target,-0.0261352827706636
843151,TRUE,dlpfc_R,target,0.112030294709886
849971,TRUE,dlpfc_R,target,0.120313882464236
873968,TRUE,dlpfc_R,target,0.119845460808657
877168,TRUE,dlpfc_R,target,0.0385557304962753
DMCC1328342,FALSE,dlpfc_R,target,-0.0574189194532116
DMCC1596165,FALSE,dlpfc_R,target,0.0772257867233654
DMCC1971064,TRUE,dlpfc_R,target,0.0492523660408723
DMCC2442951,TRUE,dlpfc_R,target,0.0178215345669257
DMCC2803654,FALSE,dlpfc_R,target,0.176239519142239
DMCC2834766,FALSE,dlpfc_R,target,-0.0265947088617461
DMCC3062542,TRUE,dlpfc_R,target,0.0567202928201803
DMCC4191255,FALSE,dlpfc_R,target,0.0686801631512772
DMCC4260551,FALSE,dlpfc_R,target,0.0160602798832005
562345,TRUE,dlpfc_R,target,-0.0145106599596471
DMCC5009144,TRUE,dlpfc_R,target,0.0473771731590653
DMCC5195268,FALSE,dlpfc_R,target,0.101867351598572
DMCC5775387,FALSE,dlpfc_R,target,-0.0631879015961035
DMCC6371570,FALSE,dlpfc_R,target,-0.0526808146209172
DMCC6418065,TRUE,dlpfc_R,target,0.00429138150257182
DMCC6484785,TRUE,dlpfc_R,target,0.0375112175305796
DMCC6661074,TRUE,dlpfc_R,target,-0.136792139807088
DMCC6671683,TRUE,dlpfc_R,target,0.0871069072446091
DMCC6705371,FALSE,dlpfc_R,target,0.0426193206089949
DMCC6721369,TRUE,dlpfc_R,target,0.015003846788102
DMCC6904377,FALSE,dlpfc_R,target,0.0422348855197381
DMCC7297690,TRUE,dlpfc_R,target,0.140916143746774
DMCC7921988,TRUE,dlpfc_R,target,-0.0294685665240793
DMCC8033964,TRUE,dlpfc_R,target,0.2004536509401
DMCC8050964,TRUE,dlpfc_R,target,-0.0594003450306319
DMCC8078683,FALSE,dlpfc_R,target,0.0452127314415589
DMCC9441378,TRUE,dlpfc_R,target,-0.103249670429299
DMCC9478705,TRUE,dlpfc_R,target,0.0663981627948896
DMCC9953810,TRUE,dlpfc_R,target,0.00541585624757245
107321,TRUE,dlpfc.alt_L,target,-0.00399606958274442
115825,FALSE,dlpfc.alt_L,target,-0.037756928183593
123117,TRUE,dlpfc.alt_L,target,0.0311257848554589
130114,TRUE,dlpfc.alt_L,target,-0.028075398706628
130518,FALSE,dlpfc.alt_L,target,0.280044703593737
132017,TRUE,dlpfc.alt_L,target,0.0994086668360714
138837,TRUE,dlpfc.alt_L,target,-0.0221206685578656
141422,TRUE,dlpfc.alt_L,target,0.0790863500814468
150423,TRUE,dlpfc.alt_L,target,0.0737168387040583
158136,TRUE,dlpfc.alt_L,target,-0.00911770743620614
