subj,is.analysis.group,roi,param,beta
107321,TRUE,V1_R,target,0.047530855440573
115825,FALSE,V1_R,target,0.0600139469766221
123117,TRUE,V1_R,target,0.0247815335866225
130114,TRUE,V1_R,target,-0.0287003624938193
130518,FALSE,V1_R,target,0.151081194189177
132017,TRUE,V1_R,target,-0.072478858117632
138837,TRUE,V1_R,target,0.160834851603501
141422,TRUE,V1_R,target,0.0422066932454996
150423,TRUE,V1_R,target,0.0443547824803361
158136,TRUE,V1_R,target,-0.0184016052028056
160830,TRUE,V1_R,target,0.00340728316502327
161832,TRUE,V1_R,target,-0.0940378283421679
165032,TRUE,V1_R,target,0.208491832936835
171330,TRUE,V1_R,target,-0.093578250019996
178243,TRUE,V1_R,target,-0.00647147149509011
178647,FALSE,V1_R,target,0.0323939200775848
178950,TRUE,V1_R,target,-0.00839361715894899
182436,TRUE,V1_R,target,-0.00191323286584241
197449,TRUE,V1_R,target,-0.0895912786172264
203418,TRUE,V1_R,target,0.125435277664268
204319,TRUE,V1_R,target,0.0182181201715573
233326,FALSE,V1_R,target,0.0010258446588916
300618,TRUE,V1_R,target,0.00713635138952507
317332,TRUE,V1_R,target,0.0227673235592028
346945,TRUE,V1_R,target,0.16275816236058
352738,TRUE,V1_R,target,0.0574456189383143
393550,FALSE,V1_R,target,0.0115374186833204
448347,TRUE,V1_R,target,0.0639389243695174
580650,TRUE,V1_R,target,-0.0168593535257511
594156,TRUE,V1_R,target,0.00412415852968164
601127,TRUE,V1_R,target,-0.019595399027011
765864,TRUE,V1_R,target,0.102120890823414
814649,TRUE,V1_R,target,-0.0191985488019276
843151,TRUE,V1_R,target,0.0848604891184272
849971,TRUE,V1_R,target,0.00700352762949423
873968,TRUE,V1_R,target,-0.0426016597573367
877168,TRUE,V1_R,target,-0.0693258157164321
DMCC1328342,FALSE,V1_R,target,-0.0950200723489333
DMCC1596165,FALSE,V1_R,target,-0.0475564868706761
DMCC1971064,TRUE,V1_R,target,0.0444196611862798
DMCC2442951,TRUE,V1_R,target,-0.0552220546819447
DMCC2803654,FALSE,V1_R,target,0.0811951308474077
DMCC2834766,FALSE,V1_R,target,0.131488328750829
DMCC3062542,TRUE,V1_R,target,0.146850874266802
DMCC4191255,FALSE,V1_R,target,0.0308415691911749
DMCC4260551,FALSE,V1_R,target,0.132974024638788
562345,TRUE,V1_R,target,-0.0482785792288507
DMCC5009144,TRUE,V1_R,target,-0.0480716761712524
DMCC5195268,FALSE,V1_R,target,0.035565767002589
DMCC5775387,FALSE,V1_R,target,-0.0108656446164835
DMCC6371570,FALSE,V1_R,target,-0.156003205990777
DMCC6418065,TRUE,V1_R,target,0.0350113987726337
DMCC6484785,TRUE,V1_R,target,-0.0207278733305073
DMCC6661074,TRUE,V1_R,target,0.0580240294562204
DMCC6671683,TRUE,V1_R,target,-0.0703882676362926
DMCC6705371,FALSE,V1_R,target,0.0107255322812564
DMCC6721369,TRUE,V1_R,target,0.00697225405408885
DMCC6904377,FALSE,V1_R,target,-0.107560172434494
DMCC7297690,TRUE,V1_R,target,0.0614368628954831
DMCC7921988,TRUE,V1_R,target,-0.0140255271963635
DMCC8033964,TRUE,V1_R,target,0.21515122861597
DMCC8050964,TRUE,V1_R,target,-0.0678882652099464
DMCC8078683,FALSE,V1_R,target,-0.0691409150036885
DMCC9441378,TRUE,V1_R,target,0.0821191873525332
DMCC9478705,TRUE,V1_R,target,0.0233155469511362
DMCC9953810,TRUE,V1_R,target,0.14984728752495
107321,TRUE,MST_R,target,0.0179010185724836
115825,FALSE,MST_R,target,0.0548193752718988
123117,TRUE,MST_R,target,-0.0261519789359039
130114,TRUE,MST_R,target,-0.0188561328556702
130518,FALSE,MST_R,target,0.231624913687034
132017,TRUE,MST_R,target,-0.044879311269928
138837,TRUE,MST_R,target,0.080991547635205
141422,TRUE,MST_R,target,0.0368719101654339
150423,TRUE,MST_R,target,-0.0214551663294961
158136,TRUE,MST_R,target,0.0534900210344358
160830,TRUE,MST_R,target,-0.0096953895707781
161832,TRUE,MST_R,target,-0.0949956204576873
165032,TRUE,MST_R,target,0.122943130710956
171330,TRUE,MST_R,target,-0.0724550889328955
178243,TRUE,MST_R,target,0.111130295692143
178647,FALSE,MST_R,target,-0.00179609397337172
178950,TRUE,MST_R,target,0.079362410561867
182436,TRUE,MST_R,target,0.0326898710301071
197449,TRUE,MST_R,target,-0.110475892665304
203418,TRUE,MST_R,target,0.000773274705584368
204319,TRUE,MST_R,target,-0.0257973142556398
233326,FALSE,MST_R,target,-0.0824900098774889
300618,TRUE,MST_R,target,-0.0834207135948543
317332,TRUE,MST_R,target,0.0761770279097412
346945,TRUE,MST_R,target,0.049462114723376
352738,TRUE,MST_R,target,-0.0549567437350037
393550,FALSE,MST_R,target,-0.0269854556586055
448347,TRUE,MST_R,target,0.129274706719703
580650,TRUE,MST_R,target,0.00549092410085999
594156,TRUE,MST_R,target,-0.142531151234252
601127,TRUE,MST_R,target,-0.0921472362922268
765864,TRUE,MST_R,target,0.110323718958559
814649,TRUE,MST_R,target,-0.0257930356361866
843151,TRUE,MST_R,target,0.236498976448833
849971,TRUE,MST_R,target,0.102492188664344
873968,TRUE,MST_R,target,0.136501606124918
877168,TRUE,MST_R,target,0.0374144710044986
DMCC1328342,FALSE,MST_R,target,0.0425011237004244
DMCC1596165,FALSE,MST_R,target,-0.00706781266928279
DMCC1971064,TRUE,MST_R,target,-0.0513953638639235
DMCC2442951,TRUE,MST_R,target,-0.0231059694460835
DMCC2803654,FALSE,MST_R,target,0.026965856870382
DMCC2834766,FALSE,MST_R,target,0.0235193402772657
DMCC3062542,TRUE,MST_R,target,0.0768671320648474
DMCC4191255,FALSE,MST_R,target,0.0256992955801011
DMCC4260551,FALSE,MST_R,target,-0.107056459812063
562345,TRUE,MST_R,target,0.0905232524970696
DMCC5009144,TRUE,MST_R,target,0.0270409914793286
DMCC5195268,FALSE,MST_R,target,-0.0359673447863621
DMCC5775387,FALSE,MST_R,target,0.0470343612718291
DMCC6371570,FALSE,MST_R,target,0.0529037290963221
DMCC6418065,TRUE,MST_R,target,0.0566469880406166
DMCC6484785,TRUE,MST_R,target,0.0240533207275165
DMCC6661074,TRUE,MST_R,target,-0.161582453014143
DMCC6671683,TRUE,MST_R,target,-0.0377985341271285
DMCC6705371,FALSE,MST_R,target,0.0996215312365735
DMCC6721369,TRUE,MST_R,target,0.0267268326758779
DMCC6904377,FALSE,MST_R,target,0.0723082769845152
DMCC7297690,TRUE,MST_R,target,0.115751151680596
DMCC7921988,TRUE,MST_R,target,-0.0119176847425247
DMCC8033964,TRUE,MST_R,target,0.177706831874746
DMCC8050964,TRUE,MST_R,target,0.03441116217436
DMCC8078683,FALSE,MST_R,target,0.0408956766479595
DMCC9441378,TRUE,MST_R,target,0.000125794333066116
DMCC9478705,TRUE,MST_R,target,-0.0190725247817366
DMCC9953810,TRUE,MST_R,target,0.0838418727253092
107321,TRUE,V6_R,target,0.0987332257552503
115825,FALSE,V6_R,target,-0.0807584612462381
123117,TRUE,V6_R,target,0.0138957039991912
130114,TRUE,V6_R,target,0.150336158343396
130518,FALSE,V6_R,target,0.0880095197896682
132017,TRUE,V6_R,target,0.0610977004950254
138837,TRUE,V6_R,target,0.141641009151931
141422,TRUE,V6_R,target,-0.0485687548982464
150423,TRUE,V6_R,target,0.120762513079804
158136,TRUE,V6_R,target,0.0879430989624361
160830,TRUE,V6_R,target,-0.0696080392244898
161832,TRUE,V6_R,target,-0.0607577505301301
165032,TRUE,V6_R,target,0.237892782960101
171330,TRUE,V6_R,target,-0.0315554757974298
178243,TRUE,V6_R,target,0.0210994613442641
178647,FALSE,V6_R,target,0.00961815882239314
178950,TRUE,V6_R,target,0.0140329562469688
182436,TRUE,V6_R,target,0.0294843835119136
197449,TRUE,V6_R,target,0.0578141148541579
203418,TRUE,V6_R,target,0.00280334957773153
204319,TRUE,V6_R,target,-0.0149784620475899
233326,FALSE,V6_R,target,0.00865472030816651
300618,TRUE,V6_R,target,0.0295304200490272
317332,TRUE,V6_R,target,-0.0376705219229533
346945,TRUE,V6_R,target,-0.038726937497802
352738,TRUE,V6_R,target,-0.00561006345985696
393550,FALSE,V6_R,target,0.0635797410792813
448347,TRUE,V6_R,target,0.126289263996916
580650,TRUE,V6_R,target,0.0303022365634639
594156,TRUE,V6_R,target,-0.128540616190913
601127,TRUE,V6_R,target,-0.0384481521686537
765864,TRUE,V6_R,target,0.100239516104314
814649,TRUE,V6_R,target,0.194064912402332
843151,TRUE,V6_R,target,-0.045324818195924
849971,TRUE,V6_R,target,-0.0203244420879125
873968,TRUE,V6_R,target,0.0354570880299719
877168,TRUE,V6_R,target,0.00885489933841
DMCC1328342,FALSE,V6_R,target,0.0178541555731835
DMCC1596165,FALSE,V6_R,target,0.0546778520111088
DMCC1971064,TRUE,V6_R,target,-0.0259295264378436
DMCC2442951,TRUE,V6_R,target,0.0117811812025093
DMCC2803654,FALSE,V6_R,target,0.0170476796611723
DMCC2834766,FALSE,V6_R,target,-0.11791268776467
DMCC3062542,TRUE,V6_R,target,-0.0887571381326974
DMCC4191255,FALSE,V6_R,target,-0.00674203003976703
DMCC4260551,FALSE,V6_R,target,-0.0144413183762699
562345,TRUE,V6_R,target,0.0768323639442709
DMCC5009144,TRUE,V6_R,target,-0.0320271173251365
DMCC5195268,FALSE,V6_R,target,0.175375109801697
DMCC5775387,FALSE,V6_R,target,-0.0550068346165385
DMCC6371570,FALSE,V6_R,target,0.00718511543034602
DMCC6418065,TRUE,V6_R,target,0.0477770191805888
DMCC6484785,TRUE,V6_R,target,-0.135361857179563
DMCC6661074,TRUE,V6_R,target,0.00718229693945786
DMCC6671683,TRUE,V6_R,target,0.191797108996479
DMCC6705371,FALSE,V6_R,target,-0.07628030646376
DMCC6721369,TRUE,V6_R,target,-0.0106929535335904
DMCC6904377,FALSE,V6_R,target,0.0206437312103824
DMCC7297690,TRUE,V6_R,target,-0.00442294455957981
DMCC7921988,TRUE,V6_R,target,0.00363502524669618
DMCC8033964,TRUE,V6_R,target,0.0757744919422171
DMCC8050964,TRUE,V6_R,target,-0.0149474496151375
DMCC8078683,FALSE,V6_R,target,-0.0236083776417486
DMCC9441378,TRUE,V6_R,target,0.175376141403384
DMCC9478705,TRUE,V6_R,target,-0.00403422849004352
DMCC9953810,TRUE,V6_R,target,-0.0555001195897918
107321,TRUE,V2_R,target,0.0239366724285122
115825,FALSE,V2_R,target,0.0507305755383038
123117,TRUE,V2_R,target,0.130084328286566
130114,TRUE,V2_R,target,0.00836647207569931
130518,FALSE,V2_R,target,0.0538391826831115
132017,TRUE,V2_R,target,0.0370012653074286
138837,TRUE,V2_R,target,0.0916753558842196
141422,TRUE,V2_R,target,-0.0275507196532425
150423,TRUE,V2_R,target,0.0885483976774703
158136,TRUE,V2_R,target,0.136409904074538
160830,TRUE,V2_R,target,0.0562352130472681
161832,TRUE,V2_R,target,-0.0892679501946057
165032,TRUE,V2_R,target,0.163747752108618
171330,TRUE,V2_R,target,-0.0622545705988548
178243,TRUE,V2_R,target,0.20212076089747
178647,FALSE,V2_R,target,-0.0166772124641529
178950,TRUE,V2_R,target,0.0308796425762154
182436,TRUE,V2_R,target,0.0456287147818431
197449,TRUE,V2_R,target,-0.012568210603881
203418,TRUE,V2_R,target,0.099040655916657
204319,TRUE,V2_R,target,0.118396253562639
233326,FALSE,V2_R,target,0.0156282316107107
300618,TRUE,V2_R,target,-0.00706573978503172
317332,TRUE,V2_R,target,-0.00049735824859904
346945,TRUE,V2_R,target,0.0581248493333507
352738,TRUE,V2_R,target,0.0634798633611587
393550,FALSE,V2_R,target,-0.0291252950150874
448347,TRUE,V2_R,target,0.0465545270082656
580650,TRUE,V2_R,target,-0.0733000197832401
594156,TRUE,V2_R,target,-0.0202562124907982
601127,TRUE,V2_R,target,0.000264030457547397
765864,TRUE,V2_R,target,0.118922116586116
814649,TRUE,V2_R,target,0.151299546076957
843151,TRUE,V2_R,target,0.0469278559903183
849971,TRUE,V2_R,target,0.014150858367854
873968,TRUE,V2_R,target,-0.0522423235500999
877168,TRUE,V2_R,target,-0.0582851387593812
DMCC1328342,FALSE,V2_R,target,0.0336650405746647
DMCC1596165,FALSE,V2_R,target,-0.132840894308631
DMCC1971064,TRUE,V2_R,target,-0.0204035010217341
DMCC2442951,TRUE,V2_R,target,-0.032377110548814
DMCC2803654,FALSE,V2_R,target,0.0431020613269044
DMCC2834766,FALSE,V2_R,target,0.00943415806712309
DMCC3062542,TRUE,V2_R,target,0.252543786816663
DMCC4191255,FALSE,V2_R,target,-0.031048272902353
DMCC4260551,FALSE,V2_R,target,0.0164433566477943
562345,TRUE,V2_R,target,-0.0435408942428603
DMCC5009144,TRUE,V2_R,target,0.0154413970166108
DMCC5195268,FALSE,V2_R,target,0.108588519064661
DMCC5775387,FALSE,V2_R,target,0.0140357978640425
DMCC6371570,FALSE,V2_R,target,-0.0236697870227058
DMCC6418065,TRUE,V2_R,target,-0.0422283930151139
DMCC6484785,TRUE,V2_R,target,-0.0756695673465808
DMCC6661074,TRUE,V2_R,target,-0.00188625094440078
DMCC6671683,TRUE,V2_R,target,0.0259682178032285
DMCC6705371,FALSE,V2_R,target,0.0353877810236858
DMCC6721369,TRUE,V2_R,target,-0.0322975044991081
DMCC6904377,FALSE,V2_R,target,-0.0485897855056468
DMCC7297690,TRUE,V2_R,target,0.00794754134693509
DMCC7921988,TRUE,V2_R,target,0.0510716629027247
DMCC8033964,TRUE,V2_R,target,0.16430221043714
DMCC8050964,TRUE,V2_R,target,-0.0211793560297612
DMCC8078683,FALSE,V2_R,target,-0.0949538893756067
DMCC9441378,TRUE,V2_R,target,0.00320797315512514
DMCC9478705,TRUE,V2_R,target,0.0279656520573896
DMCC9953810,TRUE,V2_R,target,-0.0123151776571128
107321,TRUE,V3_R,target,0.0455635931262398
115825,FALSE,V3_R,target,0.051028625739443
123117,TRUE,V3_R,target,0.0613404678577397
130114,TRUE,V3_R,target,0.110004284011976
130518,FALSE,V3_R,target,0.0471155908603146
132017,TRUE,V3_R,target,0.0451537004690821
138837,TRUE,V3_R,target,0.0833037693699472
141422,TRUE,V3_R,target,-0.00546933053045448
150423,TRUE,V3_R,target,0.0382010088824848
158136,TRUE,V3_R,target,0.104575300712723
160830,TRUE,V3_R,target,-0.107595631345091
161832,TRUE,V3_R,target,-0.0156205726714406
165032,TRUE,V3_R,target,0.162876044191391
171330,TRUE,V3_R,target,-0.0553536274499982
