roi,n.total
anat_aud,0
anat_dlpfc_L,0
anat_dlpfc_R,0
anat_dpm_L,0
anat_dpm_R,0
anat_evis,0
anat_fpc_L,0
anat_fpc_R,0
anat_ifc_L,0
anat_ifc_R,0
anat_ifj_L,0
anat_ifj_R,0
anat_ins_L,0
anat_ins_R,0
anat_lppc_L,0
anat_lppc_R,0
anat_mfc_L,0
anat_mfc_R,0
anat_ofc_L,0
anat_ofc_R,0
anat_smmouth,0
anat_vpm_L,0
anat_vpm_R,0
anat_vvis_L,0
anat_vvis_R,0
anatfunc_aud,0
anatfunc_dlpfc_L,0
anatfunc_dlpfc_R,0
anatfunc_dpm_L,0
anatfunc_dpm_R,0
anatfunc_evis,0
anatfunc_fpc_L,0
anatfunc_fpc_R,0
anatfunc_ifc_L,0
anatfunc_ifc_R,0
anatfunc_ifj_L,0
anatfunc_ifj_R,0
anatfunc_ins_L,0
anatfunc_ins_R,0
anatfunc_lppc_L,0
anatfunc_lppc_R,0
anatfunc_mfc_L,0
anatfunc_mfc_R,0
anatfunc_ofc_L,0
anatfunc_ofc_R,0
anatfunc_vpm_L,0
anatfunc_vpm_R,0
anatfunc_vvis_L,0
anatfunc_vvis_R,0
md_core_L,0
md_core_R,0
md_extended_L,0
md_extended_R,0
vwfa,939
