roi,n.total
anat_aud,0
anat_dlpfc_L,0
anat_dlpfc_R,0
anat_dpm_L,0
anat_dpm_R,0
anat_evis,0
anat_fpc_L,0
anat_fpc_R,0
anat_ifc_L,0
anat_ifc_R,0
anat_ins_L,0
anat_ins_R,0
anat_lppc_L,0
anat_lppc_R,0
anat_mfc_L,0
anat_mfc_R,0
anat_ofc_L,0
anat_ofc_R,0
anat_smmouth,0
anat_vpm_L,0
anat_vpm_R,0
anat_vvis_L,0
anat_vvis_R,0
anatfunc_aud,0
anatfunc_dlpfc_L,0
anatfunc_dlpfc_R,0
anatfunc_dpm_L,0
anatfunc_dpm_R,0
anatfunc_evis,0
anatfunc_fpc_L,0
anatfunc_fpc_R,0
anatfunc_ifc_L,0
anatfunc_ifc_R,0
anatfunc_ins_L,0
anatfunc_ins_R,0
anatfunc_lppc_L,0
anatfunc_lppc_R,0
anatfunc_mfc_L,0
anatfunc_mfc_R,0
anatfunc_ofc_L,0
anatfunc_ofc_R,0
anatfunc_vpm_L,0
anatfunc_vpm_R,0
anatfunc_vvis_L,0
anatfunc_vvis_R,0
md_core_L,0
md_core_R,0
md_extended_L,0
md_extended_R,0
mmpcommunities_dmfc_latpar_aCC_and_mPFC_L,0
mmpcommunities_dmfc_latpar_aCC_and_mPFC_R,0
mmpcommunities_dmfc_latpar_aud_assoc_L,0
mmpcommunities_dmfc_latpar_aud_assoc_R,0
mmpcommunities_dmfc_latpar_d_vis_L,0
mmpcommunities_dmfc_latpar_d_vis_R,0
mmpcommunities_dmfc_latpar_dlPFC_L,0
mmpcommunities_dmfc_latpar_dlPFC_R,0
mmpcommunities_dmfc_latpar_dMFC_L,0
mmpcommunities_dmfc_latpar_dMFC_R,0
mmpcommunities_dmfc_latpar_early_aud_L,0
mmpcommunities_dmfc_latpar_early_aud_R,0
mmpcommunities_dmfc_latpar_early_vis_L,0
mmpcommunities_dmfc_latpar_early_vis_R,0
mmpcommunities_dmfc_latpar_iFC_L,0
mmpcommunities_dmfc_latpar_iFC_R,0
mmpcommunities_dmfc_latpar_insular_and_FO_L,0
mmpcommunities_dmfc_latpar_insular_and_FO_R,0
mmpcommunities_dmfc_latpar_latpar_L,0
mmpcommunities_dmfc_latpar_latpar_R,0
mmpcommunities_dmfc_latpar_lT_L,0
mmpcommunities_dmfc_latpar_lT_R,0
mmpcommunities_dmfc_latpar_M1_and_S1_L,0
mmpcommunities_dmfc_latpar_M1_and_S1_R,0
mmpcommunities_dmfc_latpar_mT_L,0
mmpcommunities_dmfc_latpar_MT_L,0
mmpcommunities_dmfc_latpar_mT_R,0
mmpcommunities_dmfc_latpar_MT_R,0
mmpcommunities_dmfc_latpar_oFC_and_pFC_L,0
mmpcommunities_dmfc_latpar_oFC_and_pFC_R,0
mmpcommunities_dmfc_latpar_pCC_L,0
mmpcommunities_dmfc_latpar_pCC_R,0
mmpcommunities_dmfc_latpar_PL_and_mid_cing_L,0
mmpcommunities_dmfc_latpar_PL_and_mid_cing_R,0
mmpcommunities_dmfc_latpar_PM_L,0
mmpcommunities_dmfc_latpar_PM_R,0
mmpcommunities_dmfc_latpar_pOperc_L,0
mmpcommunities_dmfc_latpar_pOperc_R,0
mmpcommunities_dmfc_latpar_TPOJ_L,0
mmpcommunities_dmfc_latpar_TPOJ_R,0
mmpcommunities_dmfc_latpar_v_vis_L,0
mmpcommunities_dmfc_latpar_v_vis_R,0
mmpcommunities_dmfc_latpar_V1_L,0
mmpcommunities_dmfc_latpar_V1_R,0
vwfa,939
