roi,subj,n.silent
auditory_L,107321,
cingulooperc_L,107321,
cinguloparietal_L,107321,
default_L,107321,
dorsalattn_L,107321,
frontoparietal_L,107321,
none_L,107321,
retrosplenialtemporal_L,107321,
salience_L,107321,
smhand_L,107321,
smmouth_L,107321,
subcortical_L,107321,
ventralattn_L,107321,
visual_L,107321,
auditory_R,107321,
cingulooperc_R,107321,
cinguloparietal_R,107321,
default_R,107321,
dorsalattn_R,107321,
frontoparietal_R,107321,
none_R,107321,
retrosplenialtemporal_R,107321,
salience_R,107321,
smhand_R,107321,
smmouth_R,107321,
subcortical_R,107321,
ventralattn_R,107321,
visual_R,107321,1
auditory_L,115825,
cingulooperc_L,115825,
cinguloparietal_L,115825,
default_L,115825,
dorsalattn_L,115825,
frontoparietal_L,115825,
none_L,115825,
retrosplenialtemporal_L,115825,
salience_L,115825,
smhand_L,115825,
smmouth_L,115825,
subcortical_L,115825,
ventralattn_L,115825,
visual_L,115825,
auditory_R,115825,
cingulooperc_R,115825,
cinguloparietal_R,115825,
default_R,115825,
dorsalattn_R,115825,
frontoparietal_R,115825,
none_R,115825,
retrosplenialtemporal_R,115825,
salience_R,115825,
smhand_R,115825,
smmouth_R,115825,
subcortical_R,115825,
ventralattn_R,115825,
visual_R,115825,0
auditory_L,123117,
cingulooperc_L,123117,
cinguloparietal_L,123117,
default_L,123117,
dorsalattn_L,123117,
frontoparietal_L,123117,
none_L,123117,
retrosplenialtemporal_L,123117,
salience_L,123117,
smhand_L,123117,
smmouth_L,123117,
subcortical_L,123117,
ventralattn_L,123117,
visual_L,123117,
auditory_R,123117,
cingulooperc_R,123117,
cinguloparietal_R,123117,
default_R,123117,
dorsalattn_R,123117,
frontoparietal_R,123117,
none_R,123117,
retrosplenialtemporal_R,123117,
salience_R,123117,
smhand_R,123117,
smmouth_R,123117,
subcortical_R,123117,
ventralattn_R,123117,
visual_R,123117,2
auditory_L,130114,
cingulooperc_L,130114,
cinguloparietal_L,130114,
default_L,130114,
dorsalattn_L,130114,
frontoparietal_L,130114,
none_L,130114,
retrosplenialtemporal_L,130114,
salience_L,130114,
smhand_L,130114,
smmouth_L,130114,
subcortical_L,130114,
ventralattn_L,130114,
visual_L,130114,
auditory_R,130114,
cingulooperc_R,130114,
cinguloparietal_R,130114,
default_R,130114,
dorsalattn_R,130114,
frontoparietal_R,130114,
none_R,130114,
retrosplenialtemporal_R,130114,
salience_R,130114,
smhand_R,130114,
smmouth_R,130114,
subcortical_R,130114,
ventralattn_R,130114,
visual_R,130114,0
auditory_L,130518,
cingulooperc_L,130518,
cinguloparietal_L,130518,
default_L,130518,
dorsalattn_L,130518,
frontoparietal_L,130518,
none_L,130518,
retrosplenialtemporal_L,130518,
salience_L,130518,
smhand_L,130518,
smmouth_L,130518,
subcortical_L,130518,
ventralattn_L,130518,
visual_L,130518,
auditory_R,130518,
cingulooperc_R,130518,
cinguloparietal_R,130518,
default_R,130518,
dorsalattn_R,130518,
frontoparietal_R,130518,
none_R,130518,
retrosplenialtemporal_R,130518,
salience_R,130518,
smhand_R,130518,
smmouth_R,130518,
subcortical_R,130518,
ventralattn_R,130518,
visual_R,130518,6
auditory_L,132017,
cingulooperc_L,132017,
cinguloparietal_L,132017,
default_L,132017,
dorsalattn_L,132017,
frontoparietal_L,132017,
none_L,132017,
retrosplenialtemporal_L,132017,
salience_L,132017,
smhand_L,132017,
smmouth_L,132017,
subcortical_L,132017,
ventralattn_L,132017,
visual_L,132017,
auditory_R,132017,
cingulooperc_R,132017,
cinguloparietal_R,132017,
default_R,132017,
dorsalattn_R,132017,
frontoparietal_R,132017,
none_R,132017,
retrosplenialtemporal_R,132017,
salience_R,132017,
smhand_R,132017,
smmouth_R,132017,
subcortical_R,132017,
ventralattn_R,132017,
visual_R,132017,3
auditory_L,138837,
cingulooperc_L,138837,
cinguloparietal_L,138837,
default_L,138837,
dorsalattn_L,138837,
frontoparietal_L,138837,
none_L,138837,
retrosplenialtemporal_L,138837,
salience_L,138837,
smhand_L,138837,
smmouth_L,138837,
subcortical_L,138837,
ventralattn_L,138837,
visual_L,138837,
auditory_R,138837,
cingulooperc_R,138837,
cinguloparietal_R,138837,
default_R,138837,
dorsalattn_R,138837,
frontoparietal_R,138837,
none_R,138837,
retrosplenialtemporal_R,138837,
salience_R,138837,
smhand_R,138837,
smmouth_R,138837,
subcortical_R,138837,
ventralattn_R,138837,
visual_R,138837,2
auditory_L,141422,
cingulooperc_L,141422,
cinguloparietal_L,141422,
default_L,141422,
dorsalattn_L,141422,
frontoparietal_L,141422,
none_L,141422,
retrosplenialtemporal_L,141422,
salience_L,141422,
smhand_L,141422,
smmouth_L,141422,
subcortical_L,141422,
ventralattn_L,141422,
visual_L,141422,
auditory_R,141422,
cingulooperc_R,141422,
cinguloparietal_R,141422,
default_R,141422,
dorsalattn_R,141422,
frontoparietal_R,141422,
none_R,141422,
retrosplenialtemporal_R,141422,
salience_R,141422,
smhand_R,141422,
smmouth_R,141422,
subcortical_R,141422,
ventralattn_R,141422,
visual_R,141422,0
auditory_L,150423,
cingulooperc_L,150423,
cinguloparietal_L,150423,
default_L,150423,
dorsalattn_L,150423,
frontoparietal_L,150423,
none_L,150423,
retrosplenialtemporal_L,150423,
salience_L,150423,
smhand_L,150423,
smmouth_L,150423,
subcortical_L,150423,
ventralattn_L,150423,
visual_L,150423,
auditory_R,150423,
cingulooperc_R,150423,
cinguloparietal_R,150423,
default_R,150423,
dorsalattn_R,150423,
frontoparietal_R,150423,
none_R,150423,
retrosplenialtemporal_R,150423,
salience_R,150423,
smhand_R,150423,
smmouth_R,150423,
subcortical_R,150423,
ventralattn_R,150423,
visual_R,150423,0
auditory_L,158136,
cingulooperc_L,158136,
cinguloparietal_L,158136,
default_L,158136,
dorsalattn_L,158136,
frontoparietal_L,158136,
none_L,158136,
retrosplenialtemporal_L,158136,
salience_L,158136,
smhand_L,158136,
smmouth_L,158136,
subcortical_L,158136,
ventralattn_L,158136,
visual_L,158136,
auditory_R,158136,
cingulooperc_R,158136,
cinguloparietal_R,158136,
default_R,158136,
dorsalattn_R,158136,
frontoparietal_R,158136,
none_R,158136,
retrosplenialtemporal_R,158136,
salience_R,158136,
smhand_R,158136,
smmouth_R,158136,
subcortical_R,158136,
ventralattn_R,158136,
visual_R,158136,7
auditory_L,160830,
cingulooperc_L,160830,
cinguloparietal_L,160830,
default_L,160830,
dorsalattn_L,160830,
frontoparietal_L,160830,
none_L,160830,
retrosplenialtemporal_L,160830,
salience_L,160830,
smhand_L,160830,
smmouth_L,160830,
subcortical_L,160830,
ventralattn_L,160830,
visual_L,160830,
auditory_R,160830,
cingulooperc_R,160830,
cinguloparietal_R,160830,
default_R,160830,
dorsalattn_R,160830,
frontoparietal_R,160830,
none_R,160830,
retrosplenialtemporal_R,160830,
salience_R,160830,
smhand_R,160830,
smmouth_R,160830,
subcortical_R,160830,
ventralattn_R,160830,
visual_R,160830,12
auditory_L,161832,
cingulooperc_L,161832,
cinguloparietal_L,161832,
default_L,161832,
dorsalattn_L,161832,
frontoparietal_L,161832,
none_L,161832,
retrosplenialtemporal_L,161832,
salience_L,161832,
smhand_L,161832,
smmouth_L,161832,
subcortical_L,161832,
ventralattn_L,161832,
visual_L,161832,
auditory_R,161832,
cingulooperc_R,161832,
cinguloparietal_R,161832,
default_R,161832,
dorsalattn_R,161832,
frontoparietal_R,161832,
none_R,161832,
retrosplenialtemporal_R,161832,
salience_R,161832,
smhand_R,161832,
smmouth_R,161832,
subcortical_R,161832,
ventralattn_R,161832,
visual_R,161832,9
auditory_L,165032,
cingulooperc_L,165032,
cinguloparietal_L,165032,
default_L,165032,
dorsalattn_L,165032,
frontoparietal_L,165032,
none_L,165032,
retrosplenialtemporal_L,165032,
salience_L,165032,
smhand_L,165032,
smmouth_L,165032,
subcortical_L,165032,
ventralattn_L,165032,
visual_L,165032,
auditory_R,165032,
cingulooperc_R,165032,
cinguloparietal_R,165032,
default_R,165032,
dorsalattn_R,165032,
frontoparietal_R,165032,
none_R,165032,
retrosplenialtemporal_R,165032,
salience_R,165032,
smhand_R,165032,
smmouth_R,165032,
subcortical_R,165032,
ventralattn_R,165032,
visual_R,165032,3
auditory_L,171330,
cingulooperc_L,171330,
cinguloparietal_L,171330,
default_L,171330,
dorsalattn_L,171330,
frontoparietal_L,171330,
none_L,171330,
retrosplenialtemporal_L,171330,
salience_L,171330,
smhand_L,171330,
smmouth_L,171330,
subcortical_L,171330,
ventralattn_L,171330,
visual_L,171330,
auditory_R,171330,
cingulooperc_R,171330,
cinguloparietal_R,171330,
default_R,171330,
dorsalattn_R,171330,
frontoparietal_R,171330,
none_R,171330,
retrosplenialtemporal_R,171330,
salience_R,171330,
smhand_R,171330,
smmouth_R,171330,
subcortical_R,171330,
ventralattn_R,171330,
visual_R,171330,0
auditory_L,178243,
cingulooperc_L,178243,
cinguloparietal_L,178243,
default_L,178243,
dorsalattn_L,178243,
frontoparietal_L,178243,
none_L,178243,
retrosplenialtemporal_L,178243,
salience_L,178243,
smhand_L,178243,
smmouth_L,178243,
subcortical_L,178243,
ventralattn_L,178243,
visual_L,178243,
auditory_R,178243,
cingulooperc_R,178243,
cinguloparietal_R,178243,
default_R,178243,
dorsalattn_R,178243,
frontoparietal_R,178243,
none_R,178243,
retrosplenialtemporal_R,178243,
salience_R,178243,
smhand_R,178243,
smmouth_R,178243,
subcortical_R,178243,
ventralattn_R,178243,
visual_R,178243,6
auditory_L,178647,
cingulooperc_L,178647,
cinguloparietal_L,178647,
default_L,178647,
dorsalattn_L,178647,
frontoparietal_L,178647,
none_L,178647,
retrosplenialtemporal_L,178647,
salience_L,178647,
smhand_L,178647,
smmouth_L,178647,
subcortical_L,178647,
ventralattn_L,178647,
visual_L,178647,
auditory_R,178647,
cingulooperc_R,178647,
cinguloparietal_R,178647,
default_R,178647,
dorsalattn_R,178647,
frontoparietal_R,178647,
none_R,178647,
retrosplenialtemporal_R,178647,
salience_R,178647,
smhand_R,178647,
smmouth_R,178647,
subcortical_R,178647,
ventralattn_R,178647,
visual_R,178647,0
auditory_L,178950,
cingulooperc_L,178950,
cinguloparietal_L,178950,
default_L,178950,
dorsalattn_L,178950,
frontoparietal_L,178950,
none_L,178950,
retrosplenialtemporal_L,178950,
salience_L,178950,
smhand_L,178950,
smmouth_L,178950,
subcortical_L,178950,
ventralattn_L,178950,
visual_L,178950,
auditory_R,178950,
cingulooperc_R,178950,
cinguloparietal_R,178950,
default_R,178950,
dorsalattn_R,178950,
frontoparietal_R,178950,
none_R,178950,
retrosplenialtemporal_R,178950,
salience_R,178950,
smhand_R,178950,
smmouth_R,178950,
subcortical_R,178950,
ventralattn_R,178950,
visual_R,178950,20
auditory_L,182436,
cingulooperc_L,182436,
cinguloparietal_L,182436,
default_L,182436,
dorsalattn_L,182436,
frontoparietal_L,182436,
none_L,182436,
retrosplenialtemporal_L,182436,
salience_L,182436,
smhand_L,182436,
smmouth_L,182436,
subcortical_L,182436,
ventralattn_L,182436,
visual_L,182436,
auditory_R,182436,
cingulooperc_R,182436,
cinguloparietal_R,182436,
default_R,182436,
dorsalattn_R,182436,
frontoparietal_R,182436,
none_R,182436,
retrosplenialtemporal_R,182436,
salience_R,182436,
smhand_R,182436,
smmouth_R,182436,
subcortical_R,182436,
ventralattn_R,182436,
visual_R,182436,0
auditory_L,197449,
cingulooperc_L,197449,
cinguloparietal_L,197449,
default_L,197449,
dorsalattn_L,197449,
frontoparietal_L,197449,
none_L,197449,
retrosplenialtemporal_L,197449,
salience_L,197449,
smhand_L,197449,
smmouth_L,197449,
subcortical_L,197449,
ventralattn_L,197449,
visual_L,197449,
