roi,subj,n.silent
anat_aud,107321,
anat_dlpfc_L,107321,
anat_dlpfc_R,107321,
anat_dpm_L,107321,
anat_dpm_R,107321,
anat_evis,107321,
anat_fpc_L,107321,
anat_fpc_R,107321,
anat_ifc_L,107321,
anat_ifc_R,107321,
anat_ifj_L,107321,
anat_ifj_R,107321,
anat_ins_L,107321,
anat_ins_R,107321,
anat_lppc_L,107321,
anat_lppc_R,107321,
anat_mfc_L,107321,
anat_mfc_R,107321,
anat_ofc_L,107321,
anat_ofc_R,107321,
anat_smmouth,107321,
anat_vpm_L,107321,
anat_vpm_R,107321,
anat_vvis_L,107321,
anat_vvis_R,107321,
anatfunc_aud,107321,
anatfunc_dlpfc_L,107321,
anatfunc_dlpfc_R,107321,
anatfunc_dpm_L,107321,
anatfunc_dpm_R,107321,
anatfunc_evis,107321,
anatfunc_fpc_L,107321,
anatfunc_fpc_R,107321,
anatfunc_ifc_L,107321,
anatfunc_ifc_R,107321,
anatfunc_ifj_L,107321,
anatfunc_ifj_R,107321,
anatfunc_ins_L,107321,
anatfunc_ins_R,107321,
anatfunc_lppc_L,107321,
anatfunc_lppc_R,107321,
anatfunc_mfc_L,107321,
anatfunc_mfc_R,107321,
anatfunc_ofc_L,107321,
anatfunc_ofc_R,107321,
anatfunc_vpm_L,107321,
anatfunc_vpm_R,107321,
anatfunc_vvis_L,107321,
anatfunc_vvis_R,107321,
md_core_L,107321,
md_core_R,107321,
md_extended_L,107321,
md_extended_R,107321,
orig_dlpfc.L,107321,
orig_dlpfc.R,107321,
orig_evis.L,107321,
orig_evis.R,107321,
orig_ifc.L,107321,
orig_ifc.R,107321,
orig_ins.L,107321,
orig_ins.R,107321,
orig_ips.L,107321,
orig_ips.R,107321,
orig_lang.L,107321,
orig_lang.R,107321,
orig_mpfc.L,107321,
orig_mpfc.R,107321,
orig_premotor.L,107321,
orig_premotor.R,107321,
orig_vvis.L,107321,
orig_vvis.R,107321,
vwfa,107321,3
anat_aud,115825,
anat_dlpfc_L,115825,
anat_dlpfc_R,115825,
anat_dpm_L,115825,
anat_dpm_R,115825,
anat_evis,115825,
anat_fpc_L,115825,
anat_fpc_R,115825,
anat_ifc_L,115825,
anat_ifc_R,115825,
anat_ifj_L,115825,
anat_ifj_R,115825,
anat_ins_L,115825,
anat_ins_R,115825,
anat_lppc_L,115825,
anat_lppc_R,115825,
anat_mfc_L,115825,
anat_mfc_R,115825,
anat_ofc_L,115825,
anat_ofc_R,115825,
anat_smmouth,115825,
anat_vpm_L,115825,
anat_vpm_R,115825,
anat_vvis_L,115825,
anat_vvis_R,115825,
anatfunc_aud,115825,
anatfunc_dlpfc_L,115825,
anatfunc_dlpfc_R,115825,
anatfunc_dpm_L,115825,
anatfunc_dpm_R,115825,
anatfunc_evis,115825,
anatfunc_fpc_L,115825,
anatfunc_fpc_R,115825,
anatfunc_ifc_L,115825,
anatfunc_ifc_R,115825,
anatfunc_ifj_L,115825,
anatfunc_ifj_R,115825,
anatfunc_ins_L,115825,
anatfunc_ins_R,115825,
anatfunc_lppc_L,115825,
anatfunc_lppc_R,115825,
anatfunc_mfc_L,115825,
anatfunc_mfc_R,115825,
anatfunc_ofc_L,115825,
anatfunc_ofc_R,115825,
anatfunc_vpm_L,115825,
anatfunc_vpm_R,115825,
anatfunc_vvis_L,115825,
anatfunc_vvis_R,115825,
md_core_L,115825,
md_core_R,115825,
md_extended_L,115825,
md_extended_R,115825,
orig_dlpfc.L,115825,
orig_dlpfc.R,115825,
orig_evis.L,115825,
orig_evis.R,115825,
orig_ifc.L,115825,
orig_ifc.R,115825,
orig_ins.L,115825,
orig_ins.R,115825,
orig_ips.L,115825,
orig_ips.R,115825,
orig_lang.L,115825,
orig_lang.R,115825,
orig_mpfc.L,115825,
orig_mpfc.R,115825,
orig_premotor.L,115825,
orig_premotor.R,115825,
orig_vvis.L,115825,
orig_vvis.R,115825,
vwfa,115825,0
anat_aud,123117,
anat_dlpfc_L,123117,
anat_dlpfc_R,123117,
anat_dpm_L,123117,
anat_dpm_R,123117,
anat_evis,123117,
anat_fpc_L,123117,
anat_fpc_R,123117,
anat_ifc_L,123117,
anat_ifc_R,123117,
anat_ifj_L,123117,
anat_ifj_R,123117,
anat_ins_L,123117,
anat_ins_R,123117,
anat_lppc_L,123117,
anat_lppc_R,123117,
anat_mfc_L,123117,
anat_mfc_R,123117,
anat_ofc_L,123117,
anat_ofc_R,123117,
anat_smmouth,123117,
anat_vpm_L,123117,
anat_vpm_R,123117,
anat_vvis_L,123117,
anat_vvis_R,123117,
anatfunc_aud,123117,
anatfunc_dlpfc_L,123117,
anatfunc_dlpfc_R,123117,
anatfunc_dpm_L,123117,
anatfunc_dpm_R,123117,
anatfunc_evis,123117,
anatfunc_fpc_L,123117,
anatfunc_fpc_R,123117,
anatfunc_ifc_L,123117,
anatfunc_ifc_R,123117,
anatfunc_ifj_L,123117,
anatfunc_ifj_R,123117,
anatfunc_ins_L,123117,
anatfunc_ins_R,123117,
anatfunc_lppc_L,123117,
anatfunc_lppc_R,123117,
anatfunc_mfc_L,123117,
anatfunc_mfc_R,123117,
anatfunc_ofc_L,123117,
anatfunc_ofc_R,123117,
anatfunc_vpm_L,123117,
anatfunc_vpm_R,123117,
anatfunc_vvis_L,123117,
anatfunc_vvis_R,123117,
md_core_L,123117,
md_core_R,123117,
md_extended_L,123117,
md_extended_R,123117,
orig_dlpfc.L,123117,
orig_dlpfc.R,123117,
orig_evis.L,123117,
orig_evis.R,123117,
orig_ifc.L,123117,
orig_ifc.R,123117,
orig_ins.L,123117,
orig_ins.R,123117,
orig_ips.L,123117,
orig_ips.R,123117,
orig_lang.L,123117,
orig_lang.R,123117,
