roi,subj,n.silent
anat_aud,107321,
anat_dlpfc_L,107321,
anat_dlpfc_R,107321,
anat_dpm_L,107321,
anat_dpm_R,107321,
anat_evis,107321,
anat_fpc_L,107321,
anat_fpc_R,107321,
anat_ifc_L,107321,
anat_ifc_R,107321,
anat_ins_L,107321,
anat_ins_R,107321,
anat_lppc_L,107321,
anat_lppc_R,107321,
anat_mfc_L,107321,
anat_mfc_R,107321,
anat_ofc_L,107321,
anat_ofc_R,107321,
anat_smmouth,107321,
anat_vpm_L,107321,
anat_vpm_R,107321,
anat_vvis_L,107321,
anat_vvis_R,107321,
anatfunc_aud,107321,
anatfunc_dlpfc_L,107321,
anatfunc_dlpfc_R,107321,
anatfunc_dpm_L,107321,
anatfunc_dpm_R,107321,
anatfunc_evis,107321,
anatfunc_fpc_L,107321,
anatfunc_fpc_R,107321,
anatfunc_ifc_L,107321,
anatfunc_ifc_R,107321,
anatfunc_ins_L,107321,
anatfunc_ins_R,107321,
anatfunc_lppc_L,107321,
anatfunc_lppc_R,107321,
anatfunc_mfc_L,107321,
anatfunc_mfc_R,107321,
anatfunc_ofc_L,107321,
anatfunc_ofc_R,107321,
anatfunc_vpm_L,107321,
anatfunc_vpm_R,107321,
anatfunc_vvis_L,107321,
anatfunc_vvis_R,107321,
md_core_L,107321,
md_core_R,107321,
md_extended_L,107321,
md_extended_R,107321,
mmpcommunities_dmfc_latpar_aCC_and_mPFC_L,107321,
mmpcommunities_dmfc_latpar_aCC_and_mPFC_R,107321,
mmpcommunities_dmfc_latpar_aud_assoc_L,107321,
mmpcommunities_dmfc_latpar_aud_assoc_R,107321,
mmpcommunities_dmfc_latpar_d_vis_L,107321,
mmpcommunities_dmfc_latpar_d_vis_R,107321,
mmpcommunities_dmfc_latpar_dlPFC_L,107321,
mmpcommunities_dmfc_latpar_dlPFC_R,107321,
mmpcommunities_dmfc_latpar_dMFC_L,107321,
mmpcommunities_dmfc_latpar_dMFC_R,107321,
mmpcommunities_dmfc_latpar_early_aud_L,107321,
mmpcommunities_dmfc_latpar_early_aud_R,107321,
mmpcommunities_dmfc_latpar_early_vis_L,107321,
mmpcommunities_dmfc_latpar_early_vis_R,107321,
mmpcommunities_dmfc_latpar_iFC_L,107321,
mmpcommunities_dmfc_latpar_iFC_R,107321,
mmpcommunities_dmfc_latpar_insular_and_FO_L,107321,
mmpcommunities_dmfc_latpar_insular_and_FO_R,107321,
mmpcommunities_dmfc_latpar_latpar_L,107321,
mmpcommunities_dmfc_latpar_latpar_R,107321,
mmpcommunities_dmfc_latpar_lT_L,107321,
mmpcommunities_dmfc_latpar_lT_R,107321,
mmpcommunities_dmfc_latpar_M1_and_S1_L,107321,
mmpcommunities_dmfc_latpar_M1_and_S1_R,107321,
mmpcommunities_dmfc_latpar_mT_L,107321,
mmpcommunities_dmfc_latpar_MT_L,107321,
mmpcommunities_dmfc_latpar_mT_R,107321,
mmpcommunities_dmfc_latpar_MT_R,107321,
mmpcommunities_dmfc_latpar_oFC_and_pFC_L,107321,
mmpcommunities_dmfc_latpar_oFC_and_pFC_R,107321,
mmpcommunities_dmfc_latpar_pCC_L,107321,
mmpcommunities_dmfc_latpar_pCC_R,107321,
mmpcommunities_dmfc_latpar_PL_and_mid_cing_L,107321,
mmpcommunities_dmfc_latpar_PL_and_mid_cing_R,107321,
mmpcommunities_dmfc_latpar_PM_L,107321,
mmpcommunities_dmfc_latpar_PM_R,107321,
mmpcommunities_dmfc_latpar_pOperc_L,107321,
mmpcommunities_dmfc_latpar_pOperc_R,107321,
mmpcommunities_dmfc_latpar_TPOJ_L,107321,
mmpcommunities_dmfc_latpar_TPOJ_R,107321,
mmpcommunities_dmfc_latpar_v_vis_L,107321,
mmpcommunities_dmfc_latpar_v_vis_R,107321,
mmpcommunities_dmfc_latpar_V1_L,107321,
mmpcommunities_dmfc_latpar_V1_R,107321,
vwfa,107321,3
anat_aud,115825,
anat_dlpfc_L,115825,
anat_dlpfc_R,115825,
anat_dpm_L,115825,
anat_dpm_R,115825,
anat_evis,115825,
anat_fpc_L,115825,
anat_fpc_R,115825,
anat_ifc_L,115825,
anat_ifc_R,115825,
anat_ins_L,115825,
anat_ins_R,115825,
anat_lppc_L,115825,
anat_lppc_R,115825,
anat_mfc_L,115825,
anat_mfc_R,115825,
anat_ofc_L,115825,
anat_ofc_R,115825,
anat_smmouth,115825,
anat_vpm_L,115825,
anat_vpm_R,115825,
anat_vvis_L,115825,
anat_vvis_R,115825,
anatfunc_aud,115825,
anatfunc_dlpfc_L,115825,
anatfunc_dlpfc_R,115825,
anatfunc_dpm_L,115825,
anatfunc_dpm_R,115825,
anatfunc_evis,115825,
anatfunc_fpc_L,115825,
anatfunc_fpc_R,115825,
anatfunc_ifc_L,115825,
anatfunc_ifc_R,115825,
anatfunc_ins_L,115825,
anatfunc_ins_R,115825,
anatfunc_lppc_L,115825,
anatfunc_lppc_R,115825,
anatfunc_mfc_L,115825,
anatfunc_mfc_R,115825,
anatfunc_ofc_L,115825,
anatfunc_ofc_R,115825,
anatfunc_vpm_L,115825,
anatfunc_vpm_R,115825,
anatfunc_vvis_L,115825,
anatfunc_vvis_R,115825,
md_core_L,115825,
md_core_R,115825,
md_extended_L,115825,
md_extended_R,115825,
mmpcommunities_dmfc_latpar_aCC_and_mPFC_L,115825,
mmpcommunities_dmfc_latpar_aCC_and_mPFC_R,115825,
mmpcommunities_dmfc_latpar_aud_assoc_L,115825,
mmpcommunities_dmfc_latpar_aud_assoc_R,115825,
mmpcommunities_dmfc_latpar_d_vis_L,115825,
mmpcommunities_dmfc_latpar_d_vis_R,115825,
mmpcommunities_dmfc_latpar_dlPFC_L,115825,
