roi,subj,n.silent
aud,107321,
dlpfc_L,107321,
dlpfc_R,107321,
dlpfc.alt_L,107321,
dlpfc.alt_R,107321,
dmfc_L,107321,
dmfc_R,107321,
dmfc.alt_L,107321,
dmfc.alt_R,107321,
dpm_L,107321,
dpm_R,107321,
evis,107321,
fpc_L,107321,
fpc_R,107321,
ifc_L,107321,
ifc_R,107321,
ins_L,107321,
ins_R,107321,
lppc_L,107321,
lppc_R,107321,
ofc_L,107321,
ofc_R,107321,
smmouth,107321,
V1,107321,
vpm_L,107321,
vpm_R,107321,
vvis_L,107321,
vvis_R,107321,
vwfa,107321,0
aud,115825,
dlpfc_L,115825,
dlpfc_R,115825,
dlpfc.alt_L,115825,
dlpfc.alt_R,115825,
dmfc_L,115825,
dmfc_R,115825,
dmfc.alt_L,115825,
dmfc.alt_R,115825,
dpm_L,115825,
dpm_R,115825,
evis,115825,
fpc_L,115825,
fpc_R,115825,
ifc_L,115825,
ifc_R,115825,
ins_L,115825,
ins_R,115825,
lppc_L,115825,
lppc_R,115825,
ofc_L,115825,
ofc_R,115825,
smmouth,115825,
V1,115825,
vpm_L,115825,
vpm_R,115825,
vvis_L,115825,
vvis_R,115825,
vwfa,115825,0
aud,123117,
dlpfc_L,123117,
dlpfc_R,123117,
dlpfc.alt_L,123117,
dlpfc.alt_R,123117,
dmfc_L,123117,
dmfc_R,123117,
dmfc.alt_L,123117,
dmfc.alt_R,123117,
dpm_L,123117,
dpm_R,123117,
evis,123117,
fpc_L,123117,
fpc_R,123117,
ifc_L,123117,
ifc_R,123117,
ins_L,123117,
ins_R,123117,
lppc_L,123117,
lppc_R,123117,
ofc_L,123117,
ofc_R,123117,
smmouth,123117,
V1,123117,
vpm_L,123117,
vpm_R,123117,
vvis_L,123117,
vvis_R,123117,
vwfa,123117,0
aud,130114,
dlpfc_L,130114,
dlpfc_R,130114,
dlpfc.alt_L,130114,
dlpfc.alt_R,130114,
dmfc_L,130114,
dmfc_R,130114,
dmfc.alt_L,130114,
dmfc.alt_R,130114,
dpm_L,130114,
dpm_R,130114,
evis,130114,
fpc_L,130114,
fpc_R,130114,
ifc_L,130114,
ifc_R,130114,
ins_L,130114,
ins_R,130114,
lppc_L,130114,
lppc_R,130114,
ofc_L,130114,
ofc_R,130114,
smmouth,130114,
V1,130114,
vpm_L,130114,
vpm_R,130114,
vvis_L,130114,
vvis_R,130114,
vwfa,130114,0
aud,130518,
dlpfc_L,130518,
dlpfc_R,130518,
dlpfc.alt_L,130518,
dlpfc.alt_R,130518,
dmfc_L,130518,
dmfc_R,130518,
dmfc.alt_L,130518,
dmfc.alt_R,130518,
dpm_L,130518,
dpm_R,130518,
evis,130518,
fpc_L,130518,
fpc_R,130518,
ifc_L,130518,
ifc_R,130518,
ins_L,130518,
ins_R,130518,
lppc_L,130518,
lppc_R,130518,
ofc_L,130518,
ofc_R,130518,
smmouth,130518,
V1,130518,
vpm_L,130518,
vpm_R,130518,
vvis_L,130518,
vvis_R,130518,
vwfa,130518,0
aud,132017,
dlpfc_L,132017,
dlpfc_R,132017,
dlpfc.alt_L,132017,
dlpfc.alt_R,132017,
dmfc_L,132017,
dmfc_R,132017,
dmfc.alt_L,132017,
dmfc.alt_R,132017,
dpm_L,132017,
dpm_R,132017,
evis,132017,
fpc_L,132017,
fpc_R,132017,
ifc_L,132017,
ifc_R,132017,
ins_L,132017,
ins_R,132017,
lppc_L,132017,
lppc_R,132017,
ofc_L,132017,
ofc_R,132017,
smmouth,132017,
V1,132017,
vpm_L,132017,
vpm_R,132017,
vvis_L,132017,
vvis_R,132017,
vwfa,132017,0
aud,138837,
dlpfc_L,138837,
dlpfc_R,138837,
dlpfc.alt_L,138837,
dlpfc.alt_R,138837,
dmfc_L,138837,
dmfc_R,138837,
dmfc.alt_L,138837,
dmfc.alt_R,138837,
dpm_L,138837,
dpm_R,138837,
evis,138837,
fpc_L,138837,
fpc_R,138837,
ifc_L,138837,
ifc_R,138837,
ins_L,138837,
ins_R,138837,
lppc_L,138837,
lppc_R,138837,
ofc_L,138837,
ofc_R,138837,
smmouth,138837,
V1,138837,
vpm_L,138837,
vpm_R,138837,
vvis_L,138837,
vvis_R,138837,
vwfa,138837,0
aud,141422,
dlpfc_L,141422,
dlpfc_R,141422,
dlpfc.alt_L,141422,
dlpfc.alt_R,141422,
dmfc_L,141422,
dmfc_R,141422,
dmfc.alt_L,141422,
dmfc.alt_R,141422,
dpm_L,141422,
dpm_R,141422,
evis,141422,
fpc_L,141422,
fpc_R,141422,
ifc_L,141422,
ifc_R,141422,
ins_L,141422,
ins_R,141422,
lppc_L,141422,
lppc_R,141422,
ofc_L,141422,
ofc_R,141422,
smmouth,141422,
V1,141422,
vpm_L,141422,
vpm_R,141422,
vvis_L,141422,
vvis_R,141422,
vwfa,141422,0
aud,150423,
dlpfc_L,150423,
dlpfc_R,150423,
dlpfc.alt_L,150423,
dlpfc.alt_R,150423,
dmfc_L,150423,
dmfc_R,150423,
dmfc.alt_L,150423,
dmfc.alt_R,150423,
dpm_L,150423,
dpm_R,150423,
evis,150423,
fpc_L,150423,
fpc_R,150423,
ifc_L,150423,
ifc_R,150423,
ins_L,150423,
ins_R,150423,
lppc_L,150423,
lppc_R,150423,
ofc_L,150423,
ofc_R,150423,
smmouth,150423,
V1,150423,
vpm_L,150423,
vpm_R,150423,
vvis_L,150423,
vvis_R,150423,
vwfa,150423,0
aud,158136,
dlpfc_L,158136,
dlpfc_R,158136,
dlpfc.alt_L,158136,
dlpfc.alt_R,158136,
dmfc_L,158136,
dmfc_R,158136,
dmfc.alt_L,158136,
dmfc.alt_R,158136,
dpm_L,158136,
dpm_R,158136,
evis,158136,
fpc_L,158136,
fpc_R,158136,
ifc_L,158136,
ifc_R,158136,
ins_L,158136,
ins_R,158136,
lppc_L,158136,
lppc_R,158136,
ofc_L,158136,
ofc_R,158136,
smmouth,158136,
V1,158136,
vpm_L,158136,
vpm_R,158136,
vvis_L,158136,
vvis_R,158136,
vwfa,158136,0
aud,160830,
dlpfc_L,160830,
dlpfc_R,160830,
dlpfc.alt_L,160830,
dlpfc.alt_R,160830,
dmfc_L,160830,
dmfc_R,160830,
dmfc.alt_L,160830,
dmfc.alt_R,160830,
dpm_L,160830,
dpm_R,160830,
evis,160830,
fpc_L,160830,
fpc_R,160830,
ifc_L,160830,
ifc_R,160830,
ins_L,160830,
ins_R,160830,
lppc_L,160830,
lppc_R,160830,
ofc_L,160830,
ofc_R,160830,
smmouth,160830,
V1,160830,
vpm_L,160830,
vpm_R,160830,
vvis_L,160830,
vvis_R,160830,
vwfa,160830,0
aud,161832,
dlpfc_L,161832,
dlpfc_R,161832,
dlpfc.alt_L,161832,
dlpfc.alt_R,161832,
dmfc_L,161832,
dmfc_R,161832,
dmfc.alt_L,161832,
dmfc.alt_R,161832,
dpm_L,161832,
dpm_R,161832,
evis,161832,
fpc_L,161832,
fpc_R,161832,
ifc_L,161832,
ifc_R,161832,
ins_L,161832,
ins_R,161832,
lppc_L,161832,
lppc_R,161832,
ofc_L,161832,
ofc_R,161832,
smmouth,161832,
V1,161832,
vpm_L,161832,
vpm_R,161832,
vvis_L,161832,
vvis_R,161832,
vwfa,161832,0
aud,165032,
dlpfc_L,165032,
dlpfc_R,165032,
dlpfc.alt_L,165032,
dlpfc.alt_R,165032,
dmfc_L,165032,
dmfc_R,165032,
dmfc.alt_L,165032,
dmfc.alt_R,165032,
dpm_L,165032,
dpm_R,165032,
evis,165032,
fpc_L,165032,
fpc_R,165032,
ifc_L,165032,
ifc_R,165032,
ins_L,165032,
ins_R,165032,
lppc_L,165032,
lppc_R,165032,
ofc_L,165032,
ofc_R,165032,
smmouth,165032,
V1,165032,
vpm_L,165032,
vpm_R,165032,
vvis_L,165032,
vvis_R,165032,
vwfa,165032,0
aud,171330,
dlpfc_L,171330,
dlpfc_R,171330,
dlpfc.alt_L,171330,
dlpfc.alt_R,171330,
dmfc_L,171330,
dmfc_R,171330,
dmfc.alt_L,171330,
dmfc.alt_R,171330,
dpm_L,171330,
dpm_R,171330,
evis,171330,
fpc_L,171330,
fpc_R,171330,
ifc_L,171330,
ifc_R,171330,
ins_L,171330,
ins_R,171330,
lppc_L,171330,
lppc_R,171330,
ofc_L,171330,
ofc_R,171330,
smmouth,171330,
V1,171330,
vpm_L,171330,
vpm_R,171330,
vvis_L,171330,
vvis_R,171330,
vwfa,171330,0
aud,178243,
dlpfc_L,178243,
dlpfc_R,178243,
dlpfc.alt_L,178243,
dlpfc.alt_R,178243,
dmfc_L,178243,
dmfc_R,178243,
dmfc.alt_L,178243,
dmfc.alt_R,178243,
dpm_L,178243,
dpm_R,178243,
evis,178243,
fpc_L,178243,
fpc_R,178243,
ifc_L,178243,
ifc_R,178243,
ins_L,178243,
ins_R,178243,
lppc_L,178243,
lppc_R,178243,
ofc_L,178243,
ofc_R,178243,
smmouth,178243,
V1,178243,
vpm_L,178243,
vpm_R,178243,
vvis_L,178243,
vvis_R,178243,
vwfa,178243,0
aud,178647,
dlpfc_L,178647,
dlpfc_R,178647,
dlpfc.alt_L,178647,
dlpfc.alt_R,178647,
dmfc_L,178647,
dmfc_R,178647,
dmfc.alt_L,178647,
dmfc.alt_R,178647,
dpm_L,178647,
dpm_R,178647,
evis,178647,
fpc_L,178647,
fpc_R,178647,
ifc_L,178647,
ifc_R,178647,
ins_L,178647,
ins_R,178647,
lppc_L,178647,
lppc_R,178647,
ofc_L,178647,
ofc_R,178647,
smmouth,178647,
V1,178647,
vpm_L,178647,
vpm_R,178647,
vvis_L,178647,
vvis_R,178647,
vwfa,178647,0
aud,178950,
dlpfc_L,178950,
dlpfc_R,178950,
dlpfc.alt_L,178950,
dlpfc.alt_R,178950,
dmfc_L,178950,
dmfc_R,178950,
dmfc.alt_L,178950,
dmfc.alt_R,178950,
dpm_L,178950,
dpm_R,178950,
evis,178950,
fpc_L,178950,
fpc_R,178950,
ifc_L,178950,
ifc_R,178950,
ins_L,178950,
ins_R,178950,
lppc_L,178950,
lppc_R,178950,
ofc_L,178950,
ofc_R,178950,
smmouth,178950,
V1,178950,
vpm_L,178950,
vpm_R,178950,
vvis_L,178950,
vvis_R,178950,
vwfa,178950,0
aud,182436,
dlpfc_L,182436,
dlpfc_R,182436,
dlpfc.alt_L,182436,
dlpfc.alt_R,182436,
dmfc_L,182436,
dmfc_R,182436,
dmfc.alt_L,182436,
dmfc.alt_R,182436,
dpm_L,182436,
dpm_R,182436,
evis,182436,
fpc_L,182436,
fpc_R,182436,
ifc_L,182436,
ifc_R,182436,
ins_L,182436,
ins_R,182436,
lppc_L,182436,
lppc_R,182436,
ofc_L,182436,
ofc_R,182436,
smmouth,182436,
V1,182436,
vpm_L,182436,
vpm_R,182436,
vvis_L,182436,
vvis_R,182436,
vwfa,182436,0
aud,197449,
dlpfc_L,197449,
dlpfc_R,197449,
dlpfc.alt_L,197449,
dlpfc.alt_R,197449,
dmfc_L,197449,
dmfc_R,197449,
dmfc.alt_L,197449,
dmfc.alt_R,197449,
dpm_L,197449,
dpm_R,197449,
evis,197449,
fpc_L,197449,
fpc_R,197449,
ifc_L,197449,
ifc_R,197449,
ins_L,197449,
ins_R,197449,
lppc_L,197449,
lppc_R,197449,
ofc_L,197449,
ofc_R,197449,
smmouth,197449,
V1,197449,
vpm_L,197449,
vpm_R,197449,
vvis_L,197449,
vvis_R,197449,
vwfa,197449,0
aud,203418,
dlpfc_L,203418,
dlpfc_R,203418,
dlpfc.alt_L,203418,
dlpfc.alt_R,203418,
dmfc_L,203418,
dmfc_R,203418,
dmfc.alt_L,203418,
dmfc.alt_R,203418,
dpm_L,203418,
dpm_R,203418,
evis,203418,
fpc_L,203418,
fpc_R,203418,
ifc_L,203418,
ifc_R,203418,
ins_L,203418,
ins_R,203418,
lppc_L,203418,
lppc_R,203418,
ofc_L,203418,
ofc_R,203418,
smmouth,203418,
V1,203418,
vpm_L,203418,
vpm_R,203418,
vvis_L,203418,
vvis_R,203418,
vwfa,203418,0
aud,204319,
dlpfc_L,204319,
dlpfc_R,204319,
dlpfc.alt_L,204319,
dlpfc.alt_R,204319,
dmfc_L,204319,
dmfc_R,204319,
dmfc.alt_L,204319,
dmfc.alt_R,204319,
dpm_L,204319,
dpm_R,204319,
evis,204319,
fpc_L,204319,
fpc_R,204319,
ifc_L,204319,
ifc_R,204319,
ins_L,204319,
ins_R,204319,
lppc_L,204319,
lppc_R,204319,
ofc_L,204319,
ofc_R,204319,
smmouth,204319,
V1,204319,
vpm_L,204319,
vpm_R,204319,
vvis_L,204319,
vvis_R,204319,
vwfa,204319,0
aud,233326,
dlpfc_L,233326,
dlpfc_R,233326,
dlpfc.alt_L,233326,
dlpfc.alt_R,233326,
dmfc_L,233326,
dmfc_R,233326,
dmfc.alt_L,233326,
dmfc.alt_R,233326,
dpm_L,233326,
dpm_R,233326,
evis,233326,
fpc_L,233326,
fpc_R,233326,
ifc_L,233326,
ifc_R,233326,
ins_L,233326,
ins_R,233326,
lppc_L,233326,
lppc_R,233326,
ofc_L,233326,
ofc_R,233326,
smmouth,233326,
V1,233326,
vpm_L,233326,
vpm_R,233326,
vvis_L,233326,
vvis_R,233326,
vwfa,233326,0
aud,300618,
dlpfc_L,300618,
dlpfc_R,300618,
dlpfc.alt_L,300618,
dlpfc.alt_R,300618,
dmfc_L,300618,
dmfc_R,300618,
dmfc.alt_L,300618,
dmfc.alt_R,300618,
dpm_L,300618,
dpm_R,300618,
evis,300618,
fpc_L,300618,
fpc_R,300618,
ifc_L,300618,
ifc_R,300618,
ins_L,300618,
ins_R,300618,
lppc_L,300618,
lppc_R,300618,
ofc_L,300618,
ofc_R,300618,
smmouth,300618,
V1,300618,
vpm_L,300618,
vpm_R,300618,
vvis_L,300618,
vvis_R,300618,
vwfa,300618,0
aud,317332,
dlpfc_L,317332,
dlpfc_R,317332,
dlpfc.alt_L,317332,
dlpfc.alt_R,317332,
dmfc_L,317332,
dmfc_R,317332,
dmfc.alt_L,317332,
dmfc.alt_R,317332,
dpm_L,317332,
dpm_R,317332,
evis,317332,
fpc_L,317332,
fpc_R,317332,
ifc_L,317332,
ifc_R,317332,
ins_L,317332,
ins_R,317332,
lppc_L,317332,
lppc_R,317332,
ofc_L,317332,
ofc_R,317332,
smmouth,317332,
V1,317332,
vpm_L,317332,
vpm_R,317332,
vvis_L,317332,
vvis_R,317332,
vwfa,317332,0
aud,346945,
dlpfc_L,346945,
dlpfc_R,346945,
dlpfc.alt_L,346945,
dlpfc.alt_R,346945,
dmfc_L,346945,
dmfc_R,346945,
dmfc.alt_L,346945,
dmfc.alt_R,346945,
dpm_L,346945,
dpm_R,346945,
evis,346945,
fpc_L,346945,
fpc_R,346945,
ifc_L,346945,
ifc_R,346945,
ins_L,346945,
ins_R,346945,
lppc_L,346945,
lppc_R,346945,
ofc_L,346945,
ofc_R,346945,
smmouth,346945,
V1,346945,
vpm_L,346945,
vpm_R,346945,
vvis_L,346945,
vvis_R,346945,
vwfa,346945,0
aud,352738,
dlpfc_L,352738,
dlpfc_R,352738,
dlpfc.alt_L,352738,
dlpfc.alt_R,352738,
dmfc_L,352738,
dmfc_R,352738,
dmfc.alt_L,352738,
dmfc.alt_R,352738,
dpm_L,352738,
dpm_R,352738,
evis,352738,
fpc_L,352738,
fpc_R,352738,
ifc_L,352738,
ifc_R,352738,
ins_L,352738,
ins_R,352738,
lppc_L,352738,
lppc_R,352738,
ofc_L,352738,
ofc_R,352738,
smmouth,352738,
V1,352738,
vpm_L,352738,
vpm_R,352738,
vvis_L,352738,
vvis_R,352738,
vwfa,352738,0
aud,393550,
dlpfc_L,393550,
dlpfc_R,393550,
dlpfc.alt_L,393550,
dlpfc.alt_R,393550,
dmfc_L,393550,
dmfc_R,393550,
