roi,subj,n.silent
V1_R,107321,
MST_R,107321,
V6_R,107321,
V2_R,107321,
V3_R,107321,
V4_R,107321,
V8_R,107321,
4_R,107321,
3b_R,107321,
FEF_R,107321,
PEF_R,107321,
55b_R,107321,
V3A_R,107321,
RSC_R,107321,
POS2_R,107321,
V7_R,107321,
IPS1_R,107321,
FFC_R,107321,
V3B_R,107321,
LO1_R,107321,
LO2_R,107321,
PIT_R,107321,
MT_R,107321,
A1_R,107321,
PSL_R,107321,
SFL_R,107321,
PCV_R,107321,
STV_R,107321,
7Pm_R,107321,
7m_R,107321,
POS1_R,107321,
23d_R,107321,
v23ab_R,107321,
d23ab_R,107321,
31pv_R,107321,
5m_R,107321,
5mv_R,107321,
23c_R,107321,
5L_R,107321,
24dd_R,107321,
24dv_R,107321,
7AL_R,107321,
SCEF_R,107321,
6ma_R,107321,
7Am_R,107321,
7PL_R,107321,
7PC_R,107321,
LIPv_R,107321,
VIP_R,107321,
MIP_R,107321,
1_R,107321,
2_R,107321,
3a_R,107321,
6d_R,107321,
6mp_R,107321,
6v_R,107321,
p24pr_R,107321,
33pr_R,107321,
a24pr_R,107321,
p32pr_R,107321,
a24_R,107321,
d32_R,107321,
8BM_R,107321,
p32_R,107321,
10r_R,107321,
47m_R,107321,
8Av_R,107321,
8Ad_R,107321,
9m_R,107321,
8BL_R,107321,
9p_R,107321,
10d_R,107321,
8C_R,107321,
44_R,107321,
45_R,107321,
47l_R,107321,
a47r_R,107321,
6r_R,107321,
IFJa_R,107321,
IFJp_R,107321,
IFSp_R,107321,
IFSa_R,107321,
p9-46v_R,107321,
46_R,107321,
a9-46v_R,107321,
9-46d_R,107321,
9a_R,107321,
10v_R,107321,
a10p_R,107321,
10pp_R,107321,
11l_R,107321,
13l_R,107321,
OFC_R,107321,
47s_R,107321,
LIPd_R,107321,
6a_R,107321,
i6-8_R,107321,
s6-8_R,107321,
43_R,107321,
OP4_R,107321,
OP1_R,107321,
OP2-3_R,107321,
52_R,107321,
RI_R,107321,
PFcm_R,107321,
PoI2_R,107321,
TA2_R,107321,
FOP4_R,107321,
MI_R,107321,
Pir_R,107321,
AVI_R,107321,
AAIC_R,107321,
FOP1_R,107321,
FOP3_R,107321,
FOP2_R,107321,
PFt_R,107321,
AIP_R,107321,
EC_R,107321,
PreS_R,107321,
H_R,107321,
ProS_R,107321,
PeEc_R,107321,
STGa_R,107321,
PBelt_R,107321,
A5_R,107321,
PHA1_R,107321,
PHA3_R,107321,
STSda_R,107321,
STSdp_R,107321,
STSvp_R,107321,
TGd_R,107321,
TE1a_R,107321,
TE1p_R,107321,
TE2a_R,107321,
TF_R,107321,
TE2p_R,107321,
PHT_R,107321,
PH_R,107321,
TPOJ1_R,107321,
TPOJ2_R,107321,
TPOJ3_R,107321,
DVT_R,107321,
PGp_R,107321,
IP2_R,107321,
IP1_R,107321,
IP0_R,107321,
PFop_R,107321,
PF_R,107321,
PFm_R,107321,
PGi_R,107321,
PGs_R,107321,
V6A_R,107321,
VMV1_R,107321,
VMV3_R,107321,
PHA2_R,107321,
V4t_R,107321,
FST_R,107321,
V3CD_R,107321,
LO3_R,107321,
VMV2_R,107321,
31pd_R,107321,
31a_R,107321,
VVC_R,107321,
25_R,107321,
s32_R,107321,
pOFC_R,107321,
PoI1_R,107321,
Ig_R,107321,
FOP5_R,107321,
p10p_R,107321,
p47r_R,107321,
TGv_R,107321,
MBelt_R,107321,
LBelt_R,107321,
A4_R,107321,
STSva_R,107321,
TE1m_R,107321,
PI_R,107321,
a32pr_R,107321,
p24_R,107321,
V1_L,107321,
MST_L,107321,
V6_L,107321,
V2_L,107321,
V3_L,107321,
V4_L,107321,
V8_L,107321,
4_L,107321,
3b_L,107321,
FEF_L,107321,
PEF_L,107321,
55b_L,107321,
V3A_L,107321,
RSC_L,107321,
POS2_L,107321,
V7_L,107321,
IPS1_L,107321,
FFC_L,107321,
V3B_L,107321,
LO1_L,107321,
LO2_L,107321,
PIT_L,107321,
MT_L,107321,
A1_L,107321,
PSL_L,107321,
SFL_L,107321,
PCV_L,107321,
STV_L,107321,
7Pm_L,107321,
7m_L,107321,
POS1_L,107321,
23d_L,107321,
v23ab_L,107321,
d23ab_L,107321,
31pv_L,107321,
5m_L,107321,
5mv_L,107321,
23c_L,107321,
5L_L,107321,
24dd_L,107321,
24dv_L,107321,
7AL_L,107321,
SCEF_L,107321,
6ma_L,107321,
7Am_L,107321,
7PL_L,107321,
7PC_L,107321,
LIPv_L,107321,
VIP_L,107321,
MIP_L,107321,
1_L,107321,
2_L,107321,
3a_L,107321,
6d_L,107321,
6mp_L,107321,
6v_L,107321,
p24pr_L,107321,
33pr_L,107321,
a24pr_L,107321,
p32pr_L,107321,
a24_L,107321,
d32_L,107321,
8BM_L,107321,
p32_L,107321,
10r_L,107321,
47m_L,107321,
8Av_L,107321,
8Ad_L,107321,
9m_L,107321,
8BL_L,107321,
9p_L,107321,
10d_L,107321,
8C_L,107321,
44_L,107321,
45_L,107321,
47l_L,107321,
a47r_L,107321,
6r_L,107321,
IFJa_L,107321,
IFJp_L,107321,
IFSp_L,107321,
IFSa_L,107321,
p9-46v_L,107321,
46_L,107321,
a9-46v_L,107321,
9-46d_L,107321,
9a_L,107321,
10v_L,107321,
a10p_L,107321,
10pp_L,107321,
11l_L,107321,
13l_L,107321,
OFC_L,107321,
47s_L,107321,
LIPd_L,107321,
6a_L,107321,
i6-8_L,107321,
s6-8_L,107321,
